日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-08-01,蓝晓科技,58.41,1.00%,0.57%,0.5918479999999999,0.418595,0.17325299999999993,0.10%,1.01,0.28,0.83,2.2,302000000.0,,54.83,17635000000.0
2023-07-31,蓝晓科技,57.83,-1.72%,0.67%,0.49386499999999994,0.69147,-0.197605,-0.11%,1.19,-0.29,1.0,1.99,302000000.0,,54.28,17460000000.0
2023-07-28,蓝晓科技,58.84,3.39%,0.74%,0.7616310000000001,0.54323,0.218401,0.12%,1.3,0.17,1.23,3.78,302000000.0,,55.23,17765000000.0
2023-07-27,蓝晓科技,56.91,-1.47%,0.76%,0.561465,0.749772,-0.188307,-0.11%,1.31,-0.09,1.34,1.92,302000000.0,,53.42,17182000000.0
2023-07-26,蓝晓科技,57.76,-2.25%,0.76%,0.692589,0.648433,0.044156,0.03%,1.34,0.1,1.33,2.89,302000000.0,,54.22,17439000000.0
2023-07-24,蓝晓科技,59.16,-0.74%,0.57%,0.563239,0.4539229999999999,0.10931600000000008,0.06%,1.02,-0.2,0.53,2.16,302000000.0,,55.53,17861000000.0
2023-07-21,蓝晓科技,59.6,0.46%,0.40%,0.371719,0.345989,0.025730000000000003,0.01%,0.717707,-0.07,0.36,2.16,302000000.0,,55.94,17994000000.0
2023-07-20,蓝晓科技,59.12,-0.64%,0.42%,0.352673,0.387921,-0.035248,-0.02%,0.748398,-0.12,0.54,1.9,302000000.0,,55.69,17913000000.0
2023-07-19,蓝晓科技,59.31,-1.93%,0.75%,0.515242,0.826166,-0.310924,-0.17%,1.34,0.0,0.82,2.2,302000000.0,,55.85,17964000000.0
2023-07-17,蓝晓科技,57.28,-0.69%,0.94%,0.595626,1.04,-0.444374,-0.26%,1.64,0.3,1.78,5.08,302000000.0,,53.93,17345000000.0
2023-07-14,蓝晓科技,57.68,-1.67%,0.59%,0.572244,0.456214,0.11602999999999992,0.07%,1.03,-0.12,0.96,2.3,302000000.0,,54.14,17415000000.0
2023-07-13,蓝晓科技,58.66,0.65%,0.39%,0.4121479999999999,0.27100300000000005,0.14114499999999988,0.08%,0.6831510000000001,-0.03,0.45,2.27,302000000.0,,55.06,17711000000.0
2023-07-12,蓝晓科技,58.41,-0.46%,0.38%,0.344816,0.310548,0.034268,0.02%,0.660235,-0.22,0.39,1.52,302000000.0,,54.7,17596000000.0
2023-07-11,蓝晓科技,58.68,0.60%,0.54%,0.47357,0.470162,0.003408,0.00%,0.955174,0.09,0.49,2.09,302000000.0,,55.08,17717000000.0
2023-07-10,蓝晓科技,58.33,-0.56%,0.77%,0.754632,0.616058,0.138574,0.08%,1.37,0.16,0.68,2.9,302000000.0,,54.75,17611000000.0
2023-07-07,蓝晓科技,58.66,0.58%,0.96%,0.8574069999999999,0.8435379999999999,0.013869000000000149,0.01%,1.7,-0.07,0.87,4.01,302000000.0,,55.06,17711000000.0
2023-07-06,蓝晓科技,58.32,-2.83%,1.67%,1.44,1.5,-0.06,-0.03%,2.94,-0.07,1.89,4.87,302000000.0,176.08,54.74,
2023-07-05,蓝晓科技,60.02,-2.56%,0.97%,0.670842,1.1,-0.429158,-0.24%,1.77,-0.38,1.22,2.14,302000000.0,181.21,56.34,
2023-07-04,蓝晓科技,61.6,0.87%,1.14%,0.971083,1.17,-0.198917,-0.11%,2.14,-0.19,1.67,6.76,302000000.0,185.98,57.82,
2023-07-03,蓝晓科技,61.07,-2.16%,0.92%,0.6219100000000001,1.1,-0.47809,-0.26%,1.72,-0.15,1.46,4.08,302000000.0,184.38,57.32,
2023-06-30,蓝晓科技,62.42,1.33%,0.82%,0.887318,0.657809,0.22950900000000002,0.12%,1.55,-0.05,1.53,4.92,302000000.0,188.46,58.59,
2023-06-29,蓝晓科技,61.6,-1.04%,0.55%,0.407736,0.615549,-0.207813,-0.11%,1.02,-0.39,1.07,2.31,302000000.0,185.98,57.82,
2023-06-28,蓝晓科技,62.25,0.32%,0.55%,0.49990100000000004,0.527563,-0.027662,-0.01%,1.03,0.0,1.06,1.76,302000000.0,187.94,58.43,
2023-06-27,蓝晓科技,62.05,2.06%,0.58%,0.59459,0.493239,0.101351,0.05%,1.09,-0.02,0.94,2.43,302000000.0,187.34,58.24,
2023-06-26,蓝晓科技,60.99,-1.05%,0.63%,0.5123479999999999,0.6506109999999999,-0.13826300000000008,-0.08%,1.17,-0.26,1.11,3.12,302000000.0,183.57,57.07,
