日期,上证收盘价,上证涨跌幅,深证收盘价,深证涨跌幅,主力净流入净额,主力净流入净占比,超大单净流入净额,超大单净流入净占比,大单净流入净额,大单净流入净占比,中单净流入净额,中单净流入净占比,小单净流入净额,小单净流入净占比
2023-05-09,3357.67,-1.10%,11125.02,-0.90%,-403.28亿,-3.30%,-218.65亿,-1.79%,-184.63亿,-1.51%,22.63亿,0.19%,380.65亿,3.12%
2023-05-08,3395.0,1.81%,11225.77,0.40%,-56.11亿,-0.49%,32.11亿,0.28%,-88.22亿,-0.78%,-44.89亿,-0.39%,101.01亿,0.89%
2023-05-05,3334.5,-0.48%,11180.87,-0.82%,-353.91亿,-3.30%,-239.74亿,-2.24%,-114.17亿,-1.07%,70.92亿,0.66%,282.99亿,2.64%
2023-05-04,3350.46,0.82%,11273.87,-0.57%,-232.55亿,-1.98%,-111.37亿,-0.95%,-121.18亿,-1.03%,51.34亿,0.44%,181.21亿,1.55%
2023-04-28,3323.27,1.14%,11338.67,1.08%,92.48亿,0.83%,129.50亿,1.16%,-37.02亿,-0.33%,-119.72亿,-1.07%,27.24亿,0.24%
2023-04-27,3285.88,0.67%,11217.0,0.28%,-308.52亿,-2.95%,-191.66亿,-1.83%,-116.86亿,-1.12%,25.04亿,0.24%,283.48亿,2.71%
2023-04-26,3264.1,-0.02%,11185.68,0.33%,-281.98亿,-2.51%,-125.64亿,-1.12%,-156.35亿,-1.39%,18.07亿,0.16%,263.92亿,2.35%
2023-04-25,3264.87,-0.32%,11149.01,-1.48%,-633.51亿,-5.59%,-333.99亿,-2.95%,-299.53亿,-2.64%,73.80亿,0.65%,559.72亿,4.94%
2023-04-24,3275.41,-0.78%,11317.01,-1.17%,-403.38亿,-3.72%,-188.55亿,-1.74%,-214.83亿,-1.98%,14.46亿,0.13%,388.92亿,3.59%
2023-04-21,3301.26,-1.95%,11450.43,-2.28%,-858.11亿,-7.05%,-470.36亿,-3.86%,-387.75亿,-3.18%,113.75亿,0.93%,744.36亿,6.11%
2023-04-20,3367.03,-0.09%,11717.26,-0.37%,-268.34亿,-2.36%,-101.25亿,-0.89%,-167.08亿,-1.47%,-54.06亿,-0.47%,322.40亿,2.83%
2023-04-19,3370.13,-0.68%,11760.27,-0.84%,-407.85亿,-3.77%,-187.20亿,-1.73%,-220.66亿,-2.04%,37.89亿,0.35%,369.96亿,3.42%
2023-04-18,3393.33,0.23%,11860.4,0.04%,-277.83亿,-2.62%,-135.90亿,-1.28%,-141.93亿,-1.34%,39.37亿,0.37%,238.45亿,2.25%
2023-04-17,3385.61,1.42%,11855.48,0.47%,-166.36亿,-1.48%,-61.74亿,-0.55%,-104.62亿,-0.93%,2.60亿,0.02%,163.77亿,1.46%
2023-04-14,3338.15,0.60%,11800.09,0.51%,-102.56亿,-0.92%,-7.54亿,-0.07%,-95.02亿,-0.85%,-62.76亿,-0.56%,165.32亿,1.48%
2023-04-13,3318.36,-0.27%,11739.84,-1.21%,-528.64亿,-4.65%,-295.80亿,-2.60%,-232.84亿,-2.05%,86.48亿,0.76%,442.15亿,3.89%
2023-04-12,3327.18,0.41%,11883.51,0.05%,-107.39亿,-0.95%,186.32万,0.00%,-107.41亿,-0.95%,1232.90万,0.00%,107.26亿,0.95%
2023-04-11,3313.57,-0.05%,11877.15,0.04%,-222.43亿,-2.05%,-98.32亿,-0.91%,-124.11亿,-1.15%,-2.50亿,-0.02%,224.93亿,2.08%
2023-04-10,3315.36,-0.37%,11871.93,-0.80%,-628.43亿,-5.13%,-352.17亿,-2.87%,-276.26亿,-2.25%,115.60亿,0.94%,512.82亿,4.18%
2023-04-07,3327.65,0.45%,11967.74,0.85%,-125.91亿,-1.19%,-37.11亿,-0.35%,-88.80亿,-0.84%,-28.88亿,-0.27%,154.79亿,1.47%
2023-04-06,3312.63,0.00%,11866.31,0.06%,-237.49亿,-1.99%,-100.93亿,-0.85%,-136.55亿,-1.14%,-3.29亿,-0.03%,240.77亿,2.02%
2023-04-04,3312.56,0.49%,11859.48,-0.25%,-443.69亿,-3.35%,-254.13亿,-1.92%,-189.56亿,-1.43%,69.31亿,0.52%,374.38亿,2.83%
2023-04-03,3296.4,0.72%,11889.42,1.39%,105.42亿,0.84%,158.92亿,1.27%,-53.50亿,-0.43%,-79.76亿,-0.64%,-25.66亿,-0.20%
2023-03-31,3272.86,0.36%,11726.4,0.64%,-67.69亿,-0.71%,6.55亿,0.07%,-74.24亿,-0.78%,-46.88亿,-0.49%,114.57亿,1.20%
2023-03-30,3261.25,0.65%,11651.83,0.62%,-290.96亿,-3.08%,-138.16亿,-1.46%,-152.80亿,-1.62%,3.36亿,0.04%,287.60亿,3.04%
2023-03-29,3240.06,-0.16%,11579.91,0.13%,-289.44亿,-2.95%,-133.04亿,-1.36%,-156.40亿,-1.59%,-15.40亿,-0.16%,304.84亿,3.11%
2023-03-28,3245.38,-0.19%,11564.45,-0.72%,-467.61亿,-4.66%,-241.67亿,-2.41%,-225.94亿,-2.25%,79.31亿,0.79%,388.30亿,3.87%
2023-03-27,3251.4,-0.44%,11647.94,0.12%,-292.16亿,-2.56%,-150.37亿,-1.32%,-141.79亿,-1.24%,55.52亿,0.49%,236.65亿,2.08%
2023-03-24,3265.65,-0.64%,11634.22,0.25%,-260.18亿,-2.42%,-127.20亿,-1.18%,-132.98亿,-1.24%,19.55亿,0.18%,240.63亿,2.24%
2023-03-23,3286.65,0.64%,11605.29,0.94%,-76.89亿,-0.75%,22.33亿,0.22%,-99.22亿,-0.97%,-19.41亿,-0.19%,96.30亿,0.94%
2023-03-22,3265.75,0.31%,11496.93,0.61%,-123.58亿,-1.29%,-26.19亿,-0.27%,-97.39亿,-1.02%,-21.27亿,-0.22%,144.85亿,1.51%
2023-03-21,3255.65,0.64%,11427.25,1.60%,-29.40亿,-0.33%,-14.57亿,-0.16%,-14.83亿,-0.17%,-36.39亿,-0.41%,65.79亿,0.74%
2023-03-20,3234.91,-0.48%,11247.13,-0.27%,-373.73亿,-3.53%,-229.96亿,-2.17%,-143.77亿,-1.36%,33.05亿,0.31%,340.67亿,3.22%
2023-03-17,3250.55,0.73%,11278.05,0.36%,-8.43亿,-0.09%,49.53亿,0.51%,-57.96亿,-0.60%,-71.53亿,-0.74%,79.96亿,0.82%
2023-03-16,3226.89,-1.12%,11237.7,-1.54%,-525.85亿,-6.22%,-284.79亿,-3.37%,-241.05亿,-2.85%,55.20亿,0.65%,470.65亿,5.57%
2023-03-15,3263.31,0.55%,11413.43,-0.03%,-144.05亿,-1.76%,-50.49亿,-0.62%,-93.57亿,-1.14%,-20.30亿,-0.25%,164.35亿,2.01%
2023-03-14,3245.31,-0.72%,11416.57,-0.77%,-401.35亿,-4.30%,-204.18亿,-2.19%,-197.17亿,-2.11%,48.91亿,0.52%,352.44亿,3.78%
2023-03-13,3268.7,1.20%,11505.02,0.55%,-137.31亿,-1.64%,-28.85亿,-0.34%,-108.46亿,-1.29%,-7.36亿,-0.09%,144.67亿,1.72%
2023-03-10,3230.08,-1.40%,11442.54,-1.19%,-485.11亿,-5.99%,-263.96亿,-3.26%,-221.15亿,-2.73%,41.95亿,0.52%,443.16亿,5.47%
2023-03-09,3276.09,-0.22%,11579.99,-0.16%,-208.15亿,-2.75%,-101.03亿,-1.34%,-107.12亿,-1.42%,36.83亿,0.49%,171.31亿,2.26%
2023-03-08,3283.25,-0.06%,11598.29,-0.09%,-211.50亿,-2.94%,-92.64亿,-1.29%,-118.86亿,-1.65%,-24.79亿,-0.35%,236.29亿,3.29%
2023-03-07,3285.1,-1.11%,11608.58,-1.98%,-618.51亿,-6.63%,-307.41亿,-3.30%,-311.10亿,-3.34%,54.12亿,0.58%,564.39亿,6.05%
2023-03-06,3322.03,-0.19%,11842.88,-0.08%,-308.82亿,-3.25%,-186.55亿,-1.96%,-122.26亿,-1.29%,79.31亿,0.83%,229.50亿,2.41%
2023-03-03,3328.39,0.54%,11851.92,0.02%,-163.49亿,-1.88%,-62.51亿,-0.72%,-100.98亿,-1.16%,-5813.04万,-0.01%,164.08亿,1.89%
2023-03-02,3310.65,-0.05%,11849.51,-0.54%,-375.69亿,-4.02%,-210.31亿,-2.25%,-165.37亿,-1.77%,54.15亿,0.58%,321.53亿,3.44%
2023-03-01,3312.35,1.00%,11914.32,1.11%,90.47亿,0.98%,103.97亿,1.13%,-13.49亿,-0.15%,-64.69亿,-0.70%,-25.78亿,-0.28%
2023-02-28,3279.61,0.66%,11783.8,0.70%,-166.28亿,-2.20%,-64.51亿,-0.85%,-101.77亿,-1.34%,-9.90亿,-0.13%,176.18亿,2.33%
2023-02-27,3258.03,-0.28%,11701.95,-0.73%,-316.23亿,-4.20%,-175.95亿,-2.33%,-140.28亿,-1.86%,31.36亿,0.42%,284.87亿,3.78%
2023-02-24,3267.16,-0.62%,11787.45,-0.81%,-328.38亿,-4.52%,-175.39亿,-2.42%,-152.99亿,-2.11%,37.36亿,0.51%,291.02亿,4.01%
2023-02-23,3287.48,-0.11%,11884.3,-0.13%,-324.72亿,-4.02%,-169.54亿,-2.10%,-155.18亿,-1.92%,54.88亿,0.68%,269.84亿,3.34%
2023-02-22,3291.15,-0.46%,11900.12,-0.57%,-237.80亿,-3.04%,-101.77亿,-1.30%,-136.03亿,-1.74%,25.57亿,0.33%,212.23亿,2.71%
2023-02-21,3306.52,0.49%,11968.6,0.12%,-196.97亿,-2.14%,-91.73亿,-1.00%,-105.25亿,-1.14%,25.08亿,0.27%,171.90亿,1.87%
2023-02-20,3290.34,2.06%,11954.13,2.03%,131.18亿,1.38%,95.91亿,1.01%,35.28亿,0.37%,-37.76亿,-0.40%,-93.42亿,-0.98%
2023-02-17,3224.02,-0.77%,11715.77,-1.61%,-508.87亿,-5.57%,-258.52亿,-2.83%,-250.34亿,-2.74%,55.93亿,0.61%,452.94亿,4.95%
2023-02-16,3249.03,-0.96%,11907.4,-1.30%,-627.26亿,-5.26%,-266.15亿,-2.23%,-361.11亿,-3.03%,10.19亿,0.09%,617.07亿,5.17%
2023-02-15,3280.49,-0.39%,12064.38,-0.25%,-251.37亿,-2.68%,-110.55亿,-1.18%,-140.82亿,-1.50%,23.50亿,0.25%,227.87亿,2.43%
2023-02-14,3293.28,0.28%,12094.94,-0.15%,-324.62亿,-3.55%,-166.00亿,-1.82%,-158.62亿,-1.74%,66.04亿,0.72%,258.58亿,2.83%
2023-02-13,3284.16,0.72%,12113.61,1.14%,30.70亿,0.31%,53.36亿,0.54%,-22.66亿,-0.23%,-40.70亿,-0.42%,10.00亿,0.10%
2023-02-10,3260.67,-0.30%,11976.85,-0.59%,-392.26亿,-4.39%,-196.91亿,-2.21%,-195.35亿,-2.19%,68.41亿,0.77%,323.85亿,3.63%
2023-02-09,3270.38,1.18%,12048.27,1.64%,8377.68万,0.01%,62.38亿,0.69%,-61.54亿,-0.68%,-120.23亿,-1.33%,119.39亿,1.32%
2023-02-08,3232.11,-0.49%,11853.46,-0.62%,-348.08亿,-4.33%,-175.93亿,-2.19%,-172.14亿,-2.14%,53.08亿,0.66%,295.00亿,3.67%
2023-02-07,3248.09,0.29%,11926.88,0.12%,-160.59亿,-1.90%,-62.67亿,-0.74%,-97.92亿,-1.16%,33.57亿,0.40%,127.02亿,1.50%
2023-02-06,3238.7,-0.76%,11912.56,-1.18%,-332.53亿,-3.80%,-167.31亿,-1.91%,-165.22亿,-1.89%,65.06亿,0.74%,267.47亿,3.06%
2023-02-03,3263.41,-0.68%,12054.3,-0.63%,-348.34亿,-3.81%,-133.94亿,-1.46%,-214.40亿,-2.34%,9.39亿,0.10%,338.95亿,3.71%
2023-07-03,3243.97,1.31%,11091.56,0.59%,-80.35亿,-0.78%,-20.85亿,-0.20%,-59.50亿,-0.58%,-23.05亿,-0.22%,103.40亿,1.01%
2023-02-02,3285.67,0.02%,12131.2,-0.22%,-308.60亿,-3.01%,-151.38亿,-1.48%,-157.23亿,-1.54%,46.85亿,0.46%,261.76亿,2.56%
2023-06-30,3202.06,0.62%,11026.58,1.02%,-25.24亿,-0.27%,17.93亿,0.20%,-43.17亿,-0.47%,-70.54亿,-0.77%,95.78亿,1.04%
2023-02-01,3284.92,0.90%,12158.19,1.31%,53.00亿,0.53%,72.88亿,0.73%,-19.88亿,-0.20%,-23.42亿,-0.23%,-29.58亿,-0.29%
2023-01-31,3255.67,-0.42%,12001.26,-0.80%,-313.24亿,-3.48%,-165.24亿,-1.84%,-148.00亿,-1.64%,26.76亿,0.30%,286.48亿,3.18%
2023-01-30,3269.32,0.14%,12097.76,0.98%,-196.79亿,-1.85%,-75.26亿,-0.71%,-121.53亿,-1.14%,20.64亿,0.19%,176.16亿,1.66%
2023-01-20,3264.81,0.76%,11980.62,0.57%,23.83亿,0.32%,50.38亿,0.67%,-26.55亿,-0.35%,-52.20亿,-0.70%,28.37亿,0.38%
