日期,上证收盘价,上证涨跌幅,深证收盘价,深证涨跌幅,主力净流入净额,主力净流入净占比,超大单净流入净额,超大单净流入净占比,大单净流入净额,大单净流入净占比,中单净流入净额,中单净流入净占比,小单净流入净额,小单净流入净占比
2023-07-10,3203.7,0.22%,10942.83,0.50%,-141.40亿,-1.86%,-62.59亿,-0.82%,-78.81亿,-1.04%,12.18亿,0.16%,129.21亿,1.70%
2023-07-07,3196.61,-0.28%,10888.55,-0.73%,-282.56亿,-3.53%,-138.05亿,-1.73%,-144.50亿,-1.81%,20.63亿,0.26%,261.93亿,3.27%
2023-07-06,3205.57,-0.54%,10968.37,-0.55%,-187.27亿,-2.28%,-70.34亿,-0.86%,-116.93亿,-1.43%,-16.78亿,-0.20%,204.04亿,2.49%
2023-07-05,3222.95,-0.69%,11029.3,-0.91%,-348.14亿,-4.01%,-170.10亿,-1.96%,-178.03亿,-2.05%,33.17亿,0.38%,314.96亿,3.63%
2023-07-04,3245.35,0.04%,11130.3,0.35%,-169.66亿,-1.83%,-40.55亿,-0.44%,-129.11亿,-1.39%,-11.16亿,-0.12%,180.82亿,1.95%
2023-07-03,3243.98,1.31%,11091.56,0.59%,-80.35亿,-0.78%,-20.85亿,-0.20%,-59.50亿,-0.58%,-23.05亿,-0.22%,103.40亿,1.01%
2023-06-30,3202.06,0.62%,11026.59,1.02%,-25.24亿,-0.27%,17.93亿,0.20%,-43.17亿,-0.47%,-70.54亿,-0.77%,95.78亿,1.04%
2023-06-29,3182.38,-0.22%,10915.5,-0.10%,-177.49亿,-2.05%,-53.99亿,-0.62%,-123.51亿,-1.43%,-5945.34万,-0.01%,178.09亿,2.06%
2023-06-28,3189.38,0.00%,10926.32,-0.47%,-297.16亿,-3.35%,-120.59亿,-1.36%,-176.57亿,-1.99%,23.39亿,0.26%,273.77亿,3.08%
2023-06-27,3189.44,1.23%,10978.08,0.97%,-47.73亿,-0.57%,8.45亿,0.10%,-56.18亿,-0.67%,-27.15亿,-0.32%,74.88亿,0.89%
2023-06-26,3150.62,-1.48%,10872.3,-1.68%,-510.46亿,-5.22%,-264.57亿,-2.71%,-245.89亿,-2.52%,5.58亿,0.06%,504.88亿,5.17%
2023-06-21,3197.9,-1.31%,11058.63,-2.18%,-627.28亿,-6.14%,-364.21亿,-3.56%,-263.07亿,-2.57%,63.78亿,0.62%,563.50亿,5.51%
2023-06-20,3240.36,-0.47%,11305.35,0.28%,-287.26亿,-2.64%,-112.11亿,-1.03%,-175.15亿,-1.61%,-4.86亿,-0.04%,292.13亿,2.68%
2023-06-19,3255.81,-0.54%,11274.05,-0.29%,-327.46亿,-2.96%,-121.54亿,-1.10%,-205.91亿,-1.86%,43.24亿,0.39%,284.21亿,2.57%
2023-06-16,3273.33,0.63%,11306.53,1.11%,34.99亿,0.33%,90.30亿,0.85%,-55.31亿,-0.52%,-61.89亿,-0.58%,26.89亿,0.25%
2023-06-15,3252.98,0.74%,11182.94,1.81%,-117.80亿,-1.10%,-20.09亿,-0.19%,-97.71亿,-0.91%,-31.49亿,-0.29%,149.29亿,1.39%
2023-06-14,3228.99,-0.14%,10984.56,0.26%,-225.61亿,-2.25%,-100.31亿,-1.00%,-125.29亿,-1.25%,7.71亿,0.08%,217.90亿,2.18%
2023-06-13,3233.67,0.15%,10955.96,0.76%,-89.44亿,-0.95%,-3.84亿,-0.04%,-85.60亿,-0.91%,-49.30亿,-0.52%,138.74亿,1.47%
2023-06-12,3228.83,-0.08%,10873.74,0.74%,-163.79亿,-1.70%,-40.56亿,-0.42%,-123.23亿,-1.28%,-8.07亿,-0.08%,171.86亿,1.78%
2023-06-09,3231.41,0.55%,10793.93,0.66%,-2542.67万,0.00%,64.97亿,0.66%,-65.23亿,-0.66%,-48.31亿,-0.49%,48.56亿,0.49%
2023-06-08,3213.59,0.50%,10722.87,0.13%,-251.38亿,-2.92%,-111.55亿,-1.30%,-139.83亿,-1.63%,21.74亿,0.25%,229.64亿,2.67%
2023-06-07,3197.76,0.08%,10708.82,-0.60%,-166.67亿,-2.05%,-49.17亿,-0.60%,-117.50亿,-1.44%,-19.84亿,-0.24%,186.50亿,2.29%
2023-06-06,3195.34,-1.15%,10773.45,-1.58%,-525.32亿,-5.60%,-266.99亿,-2.85%,-258.33亿,-2.76%,45.62亿,0.49%,479.69亿,5.12%
2023-06-05,3232.44,0.07%,10946.08,-0.47%,-264.48亿,-3.03%,-125.33亿,-1.43%,-139.15亿,-1.59%,38.27亿,0.44%,226.21亿,2.59%
2023-06-02,3230.07,0.79%,10998.07,1.50%,-89.60亿,-0.95%,5.32亿,0.06%,-94.93亿,-1.01%,-45.65亿,-0.49%,135.25亿,1.44%
2023-06-01,3204.63,0.00%,10835.9,0.39%,-118.83亿,-1.20%,6940.08万,0.01%,-119.53亿,-1.21%,-70.59亿,-0.72%,189.42亿,1.92%
2023-05-31,3204.56,-0.61%,10793.85,-0.70%,-310.04亿,-3.30%,-140.70亿,-1.50%,-169.34亿,-1.80%,52.10亿,0.55%,257.95亿,2.75%
2023-05-30,3224.21,0.09%,10869.55,0.44%,-157.19亿,-1.68%,-26.00亿,-0.28%,-131.19亿,-1.41%,-66.41亿,-0.71%,223.61亿,2.40%
2023-05-29,3221.45,0.28%,10822.09,-0.80%,-325.91亿,-3.54%,-145.94亿,-1.58%,-179.98亿,-1.95%,54.91亿,0.60%,271.01亿,2.94%
2023-05-26,3212.5,0.35%,10909.65,0.12%,-118.02亿,-1.44%,-4.89亿,-0.06%,-113.13亿,-1.38%,-53.00亿,-0.65%,171.02亿,2.08%
2023-05-25,3201.26,-0.11%,10896.58,-0.22%,-324.58亿,-3.79%,-143.20亿,-1.67%,-181.38亿,-2.12%,3.71亿,0.04%,320.87亿,3.74%
2023-05-24,3204.75,-1.28%,10920.33,-0.84%,-266.89亿,-3.32%,-100.15亿,-1.25%,-166.74亿,-2.08%,-19.66亿,-0.24%,286.55亿,3.57%
2023-05-23,3246.24,-1.52%,11012.58,-1.03%,-368.19亿,-4.81%,-171.00亿,-2.23%,-197.19亿,-2.58%,28.13亿,0.37%,340.05亿,4.44%
2023-05-22,3296.47,0.39%,11127.04,0.32%,-198.60亿,-2.50%,-85.35亿,-1.07%,-113.25亿,-1.42%,-8.13亿,-0.10%,206.72亿,2.60%
2023-05-19,3283.54,-0.42%,11091.36,0.12%,-244.08亿,-2.88%,-125.38亿,-1.48%,-118.71亿,-1.40%,-26.20亿,-0.31%,270.28亿,3.19%
2023-05-18,3297.32,0.40%,11078.28,-0.12%,-126.17亿,-1.43%,-7.34亿,-0.08%,-118.84亿,-1.35%,-19.99亿,-0.23%,146.16亿,1.66%
2023-05-17,3284.23,-0.21%,11091.08,-0.07%,-154.55亿,-1.98%,-43.35亿,-0.55%,-111.20亿,-1.42%,-39.30亿,-0.50%,193.84亿,2.48%
2023-05-16,3290.99,-0.60%,11099.26,-0.71%,-358.22亿,-4.14%,-225.53亿,-2.60%,-132.68亿,-1.53%,84.35亿,0.97%,273.87亿,3.16%
2023-05-15,3310.74,1.17%,11178.62,1.57%,-176.62亿,-1.88%,-68.34亿,-0.73%,-108.28亿,-1.15%,-16.22亿,-0.17%,192.84亿,2.06%
2023-05-12,3272.36,-1.12%,11005.64,-1.23%,-450.10亿,-5.31%,-230.62亿,-2.72%,-219.49亿,-2.59%,49.30亿,0.58%,400.81亿,4.73%
2023-05-11,3309.55,-0.29%,11142.53,0.02%,-245.59亿,-2.74%,-116.86亿,-1.30%,-128.73亿,-1.44%,25.31亿,0.28%,220.29亿,2.46%
2023-05-10,3319.15,-1.15%,11140.19,0.14%,-401.66亿,-3.94%,-273.18亿,-2.68%,-128.49亿,-1.26%,55.10亿,0.54%,346.56亿,3.40%
