股票简称,1日净买入率总和,1日最新价涨跌幅,1日净买入率/涨跌幅
弘业期货,7.62%,0.0%,inf
慧博云通,5.26%,0.0%,inf
德尔玛,5.26%,0.0%,inf
威士顿,4.37%,0.0%,inf
箭牌家居,3.68%,0.0%,inf
鹏翎股份,3.31%,0.0%,inf
金科股份,3.29%,0.0%,inf
首创证券,3.28%,0.0%,inf
云中马,3.27%,0.0%,inf
经纬股份,3.13%,0.0%,inf
康鹏科技,3.07%,0.0%,inf
水羊股份,3.03%,0.0%,inf
星源卓镁,2.78%,0.0%,inf
豪恩汽电,2.75%,0.0%,inf
御银股份,2.72%,0.0%,inf
泰慕士,2.71%,0.0%,inf
卓创资讯,2.6%,0.0%,inf
三六五网,2.58%,0.0%,inf
戎美股份,2.57%,0.0%,inf
豪江智能,2.49%,0.0%,inf
国联证券,2.21%,0.0%,inf
君亭酒店,2.15%,0.0%,inf
通力科技,2.14%,0.0%,inf
深水规院,2.14%,0.0%,inf
梅安森,2.11%,0.0%,inf
华安鑫创,2.09%,0.0%,inf
银之杰,2.09%,0.0%,inf
云意电气,1.97%,0.0%,inf
智翔金泰,1.96%,0.0%,inf
趣睡科技,1.9%,0.0%,inf
东方财富,1.9%,0.0%,inf
福事特,1.86%,0.0%,inf
宁波方正,1.85%,0.0%,inf
恒尚节能,1.85%,0.0%,inf
骏成科技,1.84%,0.0%,inf
康力源,1.84%,0.0%,inf
侨源股份,1.81%,0.0%,inf
金证股份,1.79%,0.0%,inf
永安期货,1.78%,0.0%,inf
洪兴股份,1.78%,0.0%,inf
沪光股份,1.72%,0.0%,inf
海南椰岛,1.71%,0.0%,inf
新力金融,1.69%,0.0%,inf
朗姿股份,1.68%,0.0%,inf
华菱钢铁,1.67%,0.0%,inf
如意集团,1.65%,0.0%,inf
赢时胜,1.62%,0.0%,inf
华创云信,1.55%,0.0%,inf
大智慧,1.54%,0.0%,inf
易联众,1.5%,0.0%,inf
模塑科技,1.49%,0.0%,inf
中原证券,1.44%,0.0%,inf
信达证券,1.38%,0.0%,inf
同花顺,1.38%,0.0%,inf
指南针,1.36%,0.0%,inf
益方生物,1.35%,0.0%,inf
荣盛发展,1.35%,0.0%,inf
天风证券,1.33%,0.0%,inf
财富趋势,1.31%,0.0%,inf
富士莱,1.31%,0.0%,inf
天健集团,1.31%,0.0%,inf
熙菱信息,1.31%,0.0%,inf
新钢股份,1.29%,0.0%,inf
亿田智能,1.29%,0.0%,inf
湘油泵,1.27%,0.0%,inf
华泰证券,1.27%,0.0%,inf
益客食品,1.27%,0.0%,inf
品渥食品,1.25%,0.0%,inf
长安汽车,1.25%,0.0%,inf
海马汽车,1.22%,0.0%,inf
中金公司,1.21%,0.0%,inf
航天软件,1.19%,0.0%,inf
经纬纺机,1.19%,0.0%,inf
汇金科技,1.18%,0.0%,inf
华鹏飞,1.18%,0.0%,inf
三博脑科,1.17%,0.0%,inf
欣贺股份,1.17%,0.0%,inf
鼎际得,1.15%,0.0%,inf
明阳电气,1.14%,0.0%,inf
永鼎股份,1.14%,0.0%,inf
金地集团,1.13%,0.0%,inf
瑞松科技,1.13%,0.0%,inf
南山智尚,1.12%,0.0%,inf
汇金股份,1.1%,0.0%,inf
第一创业,1.09%,0.0%,inf
万事利,1.08%,0.0%,inf
财达证券,1.07%,0.0%,inf
维科精密,1.07%,0.0%,inf
可靠股份,1.06%,0.0%,inf
兰州银行,1.06%,0.0%,inf
中国软件,1.04%,0.0%,inf
顺络电子,1.03%,0.0%,inf
信雅达,1.02%,0.0%,inf
扬州金泉,1.01%,0.0%,inf
