成交时间,成交价,涨跌幅,价格变动,成交量(手),成交额(元),性质
09:17:24,0.0,-100.00%,--,0,0,卖盘
09:23:00,0.0,-100.00%,--,0,0,中性盘
09:25:00,68.9,-0.86%,+68.9,300,2072030,买盘
09:25:00,68.9,-0.86%,--,300,2072030,--
09:25:00,68.9,-0.86%,--,300,2072030,中性盘
09:30:01,69.12,-0.55%,+0.22,41,284152,买盘
09:30:04,69.12,-0.55%,--,107,742349,卖盘
09:30:07,69.1,-0.58%,-0.02,74,514035,卖盘
09:30:10,69.2,-0.43%,+0.1,80,558790,买盘
09:30:13,69.2,-0.43%,--,92,637886,卖盘
09:30:16,69.31,-0.27%,+0.11,13,93569,买盘
09:30:19,69.4,-0.14%,+0.09,70,486980,卖盘
09:30:22,69.45,-0.07%,+0.05,60,422951,买盘
09:30:25,69.38,-0.17%,-0.07,4,29001,中性盘
09:30:28,69.43,-0.10%,+0.05,42,295702,买盘
09:30:31,69.43,-0.10%,--,24,169965,买盘
09:30:34,69.43,-0.10%,--,87,604319,买盘
09:30:37,69.38,-0.17%,-0.05,18,128700,中性盘
09:30:40,69.45,-0.07%,+0.07,56,394407,买盘
09:30:43,69.22,-0.40%,-0.23,174,1209896,中性盘
09:30:46,69.36,-0.20%,+0.14,106,740973,买盘
09:30:49,69.45,-0.07%,+0.09,46,323081,买盘
09:30:52,69.45,-0.07%,--,32,227796,买盘
09:30:55,69.45,-0.07%,--,22,158554,买盘
09:30:58,69.45,-0.07%,--,0,0,买盘
09:31:01,69.22,-0.40%,-0.23,38,266428,卖盘
09:31:04,69.29,-0.30%,+0.07,14,100886,买盘
09:31:07,69.22,-0.40%,-0.07,83,577572,卖盘
09:31:10,69.22,-0.40%,--,5,40978,买盘
09:31:13,69.19,-0.45%,-0.03,55,386219,卖盘
09:31:16,69.1,-0.58%,-0.09,10,69100,卖盘
09:31:19,69.03,-0.68%,-0.07,7,54879,卖盘
09:31:22,69.06,-0.63%,+0.03,65,452550,中性盘
09:31:25,69.05,-0.65%,-0.01,24,165789,中性盘
09:31:28,69.03,-0.68%,-0.02,12,88427,卖盘
09:31:31,69.03,-0.68%,--,240,1662795,买盘
09:31:34,69.07,-0.62%,+0.04,65,449093,买盘
09:31:37,69.07,-0.62%,--,69,483421,买盘
09:31:40,69.14,-0.52%,+0.07,10,69140,买盘
09:31:43,69.43,-0.10%,+0.29,256,1784282,买盘
09:31:46,69.43,-0.10%,--,0,0,买盘
09:31:49,69.24,-0.37%,-0.19,34,238047,卖盘
09:31:52,69.26,-0.35%,+0.02,43,302597,卖盘
09:31:55,69.38,-0.17%,+0.12,2,13876,中性盘
09:31:58,69.25,-0.36%,-0.13,17,120218,卖盘
09:32:01,69.26,-0.35%,+0.01,14,102159,中性盘
09:32:04,69.19,-0.45%,-0.07,12,89739,卖盘
09:32:07,69.1,-0.58%,-0.09,19,131290,卖盘
09:32:10,69.07,-0.62%,-0.03,48,337545,卖盘
09:32:13,68.99,-0.73%,-0.08,181,1254928,卖盘
09:32:16,68.92,-0.83%,-0.07,120,827040,卖盘
09:32:19,68.9,-0.86%,-0.02,128,883849,卖盘
09:32:22,68.94,-0.81%,+0.04,6,44053,中性盘
09:32:25,68.91,-0.85%,-0.03,49,341863,卖盘
09:32:28,68.96,-0.78%,+0.05,152,1051985,中性盘
