代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
BK0800,人工智能,1343.67,1.9100000000000001,7019422464,2.8,7849258752,3.13,-829836288,-0.33,-3748630528,-1.49,-3270505728,-1.3
BK0867,富时罗素,1433.91,0.73,6247550976,1.1400000000000001,7068278784,1.29,-820727808,-0.15,-5554556928,-1.02,-692994048,-0.13
BK0596,融资融券,2105.18,0.78,4906631168,0.56,8777482240,1.0,-3870851072,-0.44,-6088945664,-0.6900000000000001,1206071296,0.14
BK0804,深股通,981.88,0.8200000000000001,4827070720,1.06,6452441344,1.42,-1625370624,-0.36,-4295856128,-0.9500000000000001,-531218432,-0.12
BK0634,大数据,4182.29,2.15,4778677248,3.01,4941405696,3.12,-162728448,-0.1,-2085010176,-1.32,-2710241280,-1.71
BK1104,信创,1506.43,2.36,4384489216,3.27,4653166080,3.47,-268676864,-0.2,-1952923648,-1.46,-2430456576,-1.81
BK0830,区块链,972.08,1.6600000000000001,4278794496,2.9699999999999998,4125982720,2.87,152811776,0.11,-2280341760,-1.58,-1998452992,-1.3900000000000001
BK0683,国企改革,3763.14,0.9400000000000001,4165526528,1.6,4586982400,1.76,-421455872,-0.16,-3121573888,-1.2,-1049128960,-0.4
BK0879,标准普尔,1398.66,0.59,3930592000,0.97,4659950336,1.15,-729358336,-0.18,-3930243072,-0.97,-348160,0.0
BK0579,云计算,2736.52,2.41,3740090112,2.44,4231345664,2.77,-491255552,-0.32,-1868238080,-1.22,-1888247296,-1.23
BK1126,ChatGPT概念,1779.76,2.46,3653874944,4.5,3605035520,4.44,48839424,0.06,-1789659904,-2.2,-1864215296,-2.3
BK0568,深成500,1128.96,0.74,3597825792,1.31,4568114944,1.6600000000000001,-970289152,-0.35000000000000003,-3332587520,-1.21,-265236480,-0.1
BK0500,HS300_,10109.1,0.9500000000000001,3390457600,1.21,4004046592,1.43,-613588992,-0.22,-3194245120,-1.1400000000000001,-196209408,-0.07
BK0821,MSCI中国,1225.77,0.76,3352155392,0.8300000000000001,3741807872,0.93,-389652480,-0.1,-3430903808,-0.85,78749696,0.02
BK1140,央企改革,1033.09,1.6400000000000001,3348824064,1.79,2278982144,1.22,1069841920,0.5700000000000001,-1191120640,-0.64,-2126995712,-1.13
BK1009,元宇宙概念,1851.57,1.62,3077707264,2.98,3368354560,3.26,-290647296,-0.28,-1969835008,-1.9100000000000001,-1109558528,-1.07
BK0696,国产软件,2845.43,2.16,2917618688,3.4,3615133440,4.21,-697514752,-0.81,-1330295040,-1.55,-1585460480,-1.85
BK0923,字节概念,1214.86,1.62,2800036352,5.27,2808224512,5.29,-8188160,-0.02,-1344319488,-2.5300000000000002,-1455716608,-2.74
