代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比),UNKOWN2,UNKNOWN
sz300418,昆仑万维,62.16,11.64,1290937248,12.26,1168300736,11.1,122636512,1.16,-733761488,-6.97,-557175760,-5.29,1686900852,0
sh600519,贵州茅台,1797.69,2.43,891872032,13.23,979928896,14.53,-88056864,-1.31,-891109856,-13.22,-762165,-0.01,1686902402,1
sz002475,立讯精密,29.64,4.37,587039824,16.9,535384288,15.41,51655536,1.49,-269303744,-7.75,-317736080,-9.15,1686900861,0
sz002236,大华股份,21.38,9.98,538589184,15.25,553712400,15.68,-15123216,-0.43,-210330752,-5.96,-328258416,-9.3,1686900846,0
sz300620,光库科技,65.52,20.0,446654496,19.46,387783792,16.9,58870704,2.5700000000000003,-237045200,-10.33,-209609296,-9.13,1686900852,0
sz300678,中科信息,59.16,13.55,439549200,10.1,455183744,10.45,-15634544,-0.36,-261516032,-6.01,-178033152,-4.09,1686900852,0
sz000977,浪潮信息,56.5,8.61,438287712,5.51,710042736,8.92,-271755024,-3.42,-198708944,-2.5,-239578752,-3.01,1686900882,0
sz000858,五 粮 液,184.08,1.1400000000000001,361880704,9.1,152967696,3.85,208913008,5.25,-164019168,-4.13,-197861552,-4.98,1686900879,0
sz002777,久远银海,38.57,10.01,347922151,22.85,325297943,21.37,22624208,1.49,-155837568,-10.24,-192084576,-12.62,1686900861,0
sh601360,三六零,15.14,2.3,345447280,7.1,280988832,5.78,64458448,1.33,-190828288,-3.92,-154618976,-3.18,1686902386,1
sz000063,中兴通讯,39.0,3.45,328258960,7.68,166382704,3.9,161876256,3.79,-120075360,-2.81,-208183600,-4.87,1686900879,0
sz000988,华工科技,41.13,7.84,318263296,6.17,227960768,4.42,90302528,1.75,-213890480,-4.15,-104372816,-2.02,1686900858,0
sz000066,中国长城,14.99,5.12,288185808,15.17,146597168,7.72,141588640,7.45,-114683968,-6.04,-173501840,-9.13,1686900897,0
sh600536,中国软件,52.44,7.35,286301348,12.37,214738692,9.28,71562656,3.09,-109859520,-4.75,-176441824,-7.63,1686902379,1
sz002415,海康威视,35.14,5.08,283324064,13.11,176457216,8.17,106866848,4.95,-134584496,-6.23,-148739552,-6.88,1686900876,0
sh600330,天通股份,12.0,9.99,274668832,14.22,362057536,18.74,-87388704,-4.52,-87370608,-4.52,-187298192,-9.69,1686902381,1
sz002424,贵州百灵,8.67,10.03,267276710,24.35,222767059,20.3,44509651,4.06,-152440253,-13.89,-114836449,-10.46,1686900885,0
sz300058,蓝色光标,11.87,4.49,262864864,7.48,177212768,5.04,85652096,2.44,-64141728,-1.83,-198723120,-5.65,1686900894,0
sh600438,通威股份,34.46,3.24,260986048,11.53,194815280,8.61,66170768,2.92,-137331680,-6.07,-123654336,-5.46,1686902387,1
sh600667,太极实业,7.38,7.89,253336275,21.44,245862805,20.81,7473470,0.63,-88241856,-7.47,-165094431,-13.97,1686902384,1
sh600602,云赛智联,15.69,10.03,247210754,24.06,270127793,26.29,-22917039,-2.23,-108442490,-10.55,-138768273,-13.51,1686902380,1
sh601390,中国中铁,7.88,4.37,238338816,12.7,141139008,7.52,97199808,5.18,-69483152,-3.7,-168855680,-9.0,1686902390,1
sz301225,N恒勃,45.75,28.3,211108712,27.54,31368363,4.09,179740349,23.45,145960532,19.04,-357069254,-46.58,1686900891,0
sh600100,同方股份,9.38,4.11,209527548,11.84,245054908,13.85,-35527360,-2.01,-74154912,-4.19,-135372640,-7.65,1686902390,1
sz002351,漫步者,20.56,6.09,203020916,15.35,179139988,13.54,23880928,1.81,-100061200,-7.5600000000000005,-102959712,-7.78,1686900891,0
sz000617,中油资本,7.88,4.93,202702916,9.01,133270676,5.92,69432240,3.09,-53967888,-2.4,-148735008,-6.61,1686900852,0
sz300750,宁德时代,231.1,0.1,200058032,2.92,44381168,0.65,155676864,2.27,-308003888,-4.5,107945872,1.58,1686900852,0
sz002230,科大讯飞,74.31,1.96,198054528,3.08,439246528,6.82,-241192000,-3.75,-86469408,-1.34,-111585136,-1.73,1686900897,0
sz300459,汤姆猫,7.1,2.45,195369861,8.2,153447973,6.44,41921888,1.76,-79627904,-3.34,-115741984,-4.86,1686900858,0
sh601012,隆基绿能,29.63,1.54,193663168,3.11,170583904,2.74,23079264,0.37,5840208,0.09,-199503376,-3.21,1686902377,1
sh688111,金山办公,485.8,7.96,188767472,6.27,298569680,9.92,-109802208,-3.65,-186715776,-6.2,-2051680,-0.07,1686902378,1
sz000032,深桑达Ａ,37.8,10.01,184021792,8.47,103395120,4.76,80626672,3.71,-29370768,-1.35,-154651024,-7.11,1686900861,0
sh601800,中国交建,11.15,6.29,180884004,13.92,38774452,2.98,142109552,10.94,-24198272,-1.8599999999999999,-156685728,-12.06,1686902382,1
sh600633,浙数文化,17.22,10.03,175762042,12.61,174888970,12.55,873072,0.06,-54979984,-3.94,-120782065,-8.66,1686902395,1
sz000936,华西股份,11.45,9.99,175599135,13.75,197590532,15.47,-21991397,-1.72,-102399457,-8.02,-73199683,-5.73,1686900879,0
sh603629,利通电子,29.16,10.0,174586939,16.93,198515431,19.25,-23928492,-2.32,-82797371,-8.03,-91789573,-8.9,1686902386,1
sh601186,中国铁建,10.42,3.68,173775408,10.63,148273952,9.07,25501456,1.56,-72396000,-4.43,-101379392,-6.2,1686902397,1
sz300229,拓尔思,31.35,2.85,172953185,7.17,82012865,3.4,90940320,3.77,-31204176,-1.29,-141749008,-5.87,1686900849,0
sz300303,聚飞光电,6.76,11.0,172091261,10.76,111304685,6.96,60786576,3.8,-61471696,-3.84,-110619568,-6.92,1686900852,0
sz000815,美利云,12.66,9.99,165939650,22.21,181526590,24.3,-15586940,-2.09,-93421046,-12.5,-72518604,-9.71,1686900897,0
sz002272,川润股份,7.88,10.06,161228514,27.37,154482495,26.23,6746019,1.15,-68153308,-11.57,-93075208,-15.8,1686900867,0
sz300364,中文在线,23.64,7.11,156911024,5.59,121128208,4.32,35782816,1.27,-74873296,-2.67,-82037744,-2.92,1686900852,0
sh600150,中国船舶,28.68,4.29,155092832,4.19,202337280,5.47,-47244448,-1.28,-83376416,-2.26,-71716432,-1.94,1686902397,1
sh601600,中国铝业,5.85,3.54,148858271,16.74,71584955,8.05,77273316,8.69,-45507243,-5.12,-103351017,-11.62,1686902377,1
sh601318,中国平安,48.6,0.37,148159744,5.72,44864336,1.73,103295408,3.99,-99065488,-3.83,-49094256,-1.9,1686902387,1
sz300548,博创科技,42.77,15.31,147215952,6.27,91059744,3.88,56156208,2.39,-131251888,-5.59,-15964064,-0.68,1686900861,0
sh600487,亨通光电,15.48,2.7199999999999998,142648817,7.27,26424401,1.35,116224416,5.92,-79476208,-4.05,-63172608,-3.22,1686902386,1
sz300496,中科创达,107.63,3.64,139026141,6.1,137713357,6.05,1312784,0.06,-133797536,-5.88,-5228608,-0.23,1686900855,0
sz001282,三联锻造,31.26,9.99,137512122,33.38,113668225,27.59,23843897,5.79,-61352259,-14.89,-76159863,-18.49,1686900867,0
sz300212,易华录,39.93,5.63,136849449,6.46,55559945,2.62,81289504,3.84,-19387248,-0.91,-117462192,-5.54,1686900867,0
sh600745,闻泰科技,52.07,2.26,134791658,13.56,107421072,10.81,27370586,2.75,-54280944,-5.46,-80510735,-8.1,1686902403,1
sz002095,生 意 宝,23.34,9.99,134772730,33.35,152177644,37.66,-17404914,-4.31,-68570532,-16.97,-66202197,-16.38,1686900903,0
sz300075,数字政通,28.8,4.99,133731023,8.41,84474671,5.31,49256352,3.1,-44484928,-2.8,-89246112,-5.61,1686900900,0
sz300315,掌趣科技,6.45,2.38,128944286,6.46,40053774,2.01,88890512,4.46,-29929776,-1.5,-99014512,-4.96,1686900894,0
sz002384,东山精密,27.13,4.15,126451697,12.17,67222743,6.47,59228954,5.7,50200672,4.83,-176652359,-17.0,1686900855,0
sz002174,游族网络,21.98,4.27,121465857,7.28,123624065,7.41,-2158208,-0.13,-20515104,-1.23,-100950752,-6.05,1686900855,0
sz002401,中远海科,27.23,6.2,119373621,9.61,137289333,11.05,-17915712,-1.44,-65925200,-5.31,-53448432,-4.3,1686900861,0
sz300033,同花顺,193.0,7.47,116760944,5.05,36760256,1.5899999999999999,80000688,3.46,11486784,0.5,-128247728,-5.54,1686900852,0
sz002049,紫光国微,90.05,0.58,109723008,7.49,-13791616,-0.9400000000000001,123514624,8.44,-12156560,-0.8300000000000001,-97566448,-6.66,1686900861,0
sz002463,沪电股份,22.5,2.27,108184263,5.8,68646407,3.68,39537856,2.12,-37346880,-2.0,-70837392,-3.8,1686900894,0
sh603806,福斯特,33.35,3.09,107732581,10.2,40385249,3.8200000000000003,67347332,6.38,-26238048,-2.48,-81494544,-7.72,1686902378,1
sz002536,飞龙股份,14.39,10.02,107208752,7.14,150577344,10.02,-43368592,-2.89,-33937936,-2.26,-73270816,-4.88,1686900849,0
sz002368,太极股份,42.32,5.62,106897862,11.01,52962936,5.45,53934926,5.55,-32304496,-3.33,-74593362,-7.68,1686900894,0
sz000065,北方国际,16.54,9.97,104328953,11.15,83408129,8.91,20920824,2.24,-30528752,-3.26,-73800215,-7.89,1686900888,0
sz002520,日发精机,6.27,10.0,102359025,26.77,86373656,22.59,15985369,4.18,-38088869,-9.96,-64270156,-16.81,1686900885,0
sh600151,航天机电,8.77,10.04,100013643,25.13,96428875,24.23,3584768,0.9,-48994667,-12.31,-51018976,-12.82,1686902377,1
sz002268,电科网安,30.3,3.7,99126613,11.81,58237572,6.94,40889041,4.87,-43742236,-5.21,-55384371,-6.6,1686900864,0
