代码,股票简称,最新价,涨跌幅,换手率,流入资金(元),流出资金(元),净额(元),成交额(元)
sz300765,新诺威,15.34,20.03%,5.79%,361000000.0,480000000.0,119000000.0,840000000.0
sz300814,中富电路,31.36,20.02%,24.90%,152000000.0,225000000.0,73581800.0,377000000.0
sz300097,智云股份,9.77,20.02%,28.15%,346000000.0,371000000.0,25710400.0,717000000.0
sh688651,盛邦安全,78.64,20.01%,35.54%,220000000.00000003,195000000.0,25673400.0,415000000.00000006
sz300576,容大感光,42.41,20.01%,32.37%,1066000000.0,788000000.0,278000000.0,1854000000.0
sh688496,清越科技,17.36,19.97%,11.59%,85495600.0,72156100.0,13339500.0,158000000.0
sz301421,波长光电,82.2,14.17%,60.93%,714000000.0,593000000.0,121000000.0,1307000000.0
sh688602,康鹏科技,15.2,11.93%,65.57%,445000000.0,378000000.0,67660000.0,823000000.0
sz002565,顺灏股份,3.58,10.15%,7.61%,129000000.0,150000000.0,20953600.0,278000000.0
sh603256,宏和科技,9.08,10.06%,1.65%,46981600.0,83715700.0,36734100.0,131000000.0
sh603963,大理药业,11.28,10.05%,7.96%,89101700.0,100000000.0,11208800.000000002,189000000.0
sz002426,胜利精密,2.41,10.05%,6.56%,231999999.99999997,248000000.0,15461800.0,480000000.0
sz000536,华映科技,2.08,10.05%,4.96%,104000000.0,175000000.0,71724200.0,279000000.0
sh600613,神奇制药,8.01,10.03%,9.41%,181000000.0,161000000.0,19527900.0,342000000.0
sh603931,格林达,29.87,10.02%,2.92%,29821600.0,143000000.0,112999999.99999999,172000000.0
sh603322,超讯通信,25.71,10.01%,13.79%,256000000.0,282000000.0,25961400.0,538000000.0
sz002941,新疆交建,17.8,10.01%,9.95%,313000000.0,808000000.0,495000000.0,1121000000.0
sz002907,华森制药,17.04,10.01%,5.27%,121000000.0,141000000.0,20938700.0,262000000.0
sz002750,龙津药业,10.99,10.01%,8.73%,86212200.0,284000000.0,198000000.0,370000000.0
sz000766,通化金马,7.47,10.01%,6.90%,235000000.0,233000000.0,1870300.0,468000000.0
sh603767,中马传动,18.37,10.00%,10.55%,297000000.0,281000000.0,16310300.0,578000000.0
sh600753,庚星股份,12.98,10.00%,17.01%,193000000.0,275000000.0,82049800.0,467000000.0
sh603005,晶方科技,21.34,10.00%,6.97%,487000000.0,430000000.0,57107400.0,916000000.0
sh600540,新赛股份,5.94,10.00%,5.06%,55824799.99999999,115999999.99999999,59811500.0,171000000.0
sz002855,捷荣技术,12.1,10.00%,1.46%,0.0,43579399.99999999,43579399.99999999,43579399.99999999
sh603125,常青科技,33.79,9.99%,15.85%,73962600.0,173000000.0,99200400.00000001,247000000.00000003
sz001368,通达创智,27.54,9.98%,16.58%,54384700.0,70558800.0,16174100.0,125000000.0
sh600367,红星发展,14.55,9.98%,5.87%,111000000.00000001,128000000.0,17772100.0,239000000.0
sh603326,我乐家居,11.02,9.98%,1.87%,16846900.0,47530900.0,30684000.0,64377900.0
sh600336,澳柯玛,6.06,9.98%,2.42%,2845800.0,113999999.99999999,111000000.00000001,117000000.0
sh600272,开开实业,16.42,9.98%,30.25%,376000000.0,380000000.0,3255700.0,756000000.0
sz001896,豫能控股,4.74,9.98%,4.37%,84999500.0,183000000.0,98126800.0,268000000.00000003
sz000820,神雾节能,4.31,9.95%,10.90%,46690100.0,85117800.0,38427700.0,132000000.0
sz000678,襄阳轴承,7.3,9.94%,5.86%,61092299.99999999,132000000.0,70628100.0,193000000.0
sh688169,石头科技,293.49,9.92%,3.63%,796000000.0,617000000.0,179000000.0,1413000000.0
sh688019,安集科技,156.25,9.16%,3.67%,313000000.0,241000000.0,71807200.0,554000000.0
sz301281,科源制药,51.55,9.05%,67.29%,445000000.0,426999999.99999994,18379300.0,872000000.0000001
sh688693,锴威特,68.14,8.69%,53.43%,325000000.0,260000000.0,65201500.0,584000000.0
sz301139,元道通信,30.58,8.48%,22.89%,279000000.0,199000000.0,80336600.0,478000000.0
sh688512,慧智微,23.19,8.36%,24.27%,169000000.0,102000000.0,66598600.0,271000000.0
sz301348,蓝箭电子,48.0,8.11%,39.45%,455000000.0,417000000.0,37989900.0,873000000.0
sh688372,伟测科技,118.98,7.87%,14.11%,234000000.0,164000000.0,69475100.0,398000000.0
sh603324,盛剑环境,37.13,7.84%,13.62%,99827400.0,122000000.0,22097000.0,222000000.00000003
sh603220,中贝通信,27.1,7.67%,27.94%,1323000000.0,1146000000.0,177000000.0,2470000000.0
sh688633,星球石墨,32.0,7.64%,8.74%,55631500.0,40298400.0,15333200.0,95930000.0
sz300293,蓝英装备,11.02,7.62%,8.28%,139000000.0,113999999.99999999,25253500.0,252999999.99999997
sz300538,同益股份,16.06,7.57%,10.02%,90505400.00000001,90741500.0,236100.0,181000000.0
sh688361,中科飞测,81.2,7.55%,8.96%,252999999.99999997,171000000.0,81941500.0,425000000.0
sz300346,南大光电,31.36,7.43%,6.59%,547000000.0,501999999.99999994,45604700.0,1049000000.0
sz301092,争光股份,31.99,7.39%,18.97%,143000000.0,111000000.00000001,32370700.0,254000000.0
sh688037,芯源微,145.65,7.25%,4.33%,465000000.00000006,371000000.0,94250000.0,836000000.0
sz300331,苏大维格,23.37,7.20%,7.12%,175000000.0,157000000.0,17487700.0,332000000.0
sh600186,莲花健康,3.75,7.14%,5.94%,220000000.00000003,172000000.0,47589000.0,392000000.0
sh688548,广钢气体,13.16,7.08%,27.05%,507000000.0,337000000.0,169000000.0,844000000.0
