代码,股票简称,最新价,涨跌幅,换手率,流入资金(元),流出资金(元),净额(元),成交额(元)
sz002221,东华能源,10.23,-0.97%,1.07%,72665200.0,88314300.0,15649100.0,161000000.0
sh600666,ST瑞德,2.03,-0.98%,0.30%,4837600.0,10096000.0,5258400.0,14933500.0
sz002356,赫美集团,5.06,-0.98%,1.02%,26779300.0,43011800.0,16232500.0,69791100.0
sh688279,峰岹科技,99.02,-0.98%,1.80%,44739000.0,54931899.99999999,10192900.0,99670900.0
sh603578,三星新材,15.23,-0.98%,2.37%,28922100.0,37385500.0,8463400.0,66307700.00000001
sh603359,东珠生态,9.06,-0.98%,1.86%,34639600.0,41690700.0,7051100.0,76330200.0
sz002290,禾盛新材,11.17,-0.98%,0.92%,12426400.000000002,13105400.0,679000.0,25531800.0
sz300783,三只松鼠,18.12,-0.98%,2.07%,37899700.0,70451900.0,32552199.999999996,108000000.0
sh688147,微导纳米,41.93,-0.99%,3.57%,30775100.000000004,30958600.0,183500.0,61733700.0
sh603636,南威软件,12.01,-0.99%,1.70%,56594300.0,68039100.0,11444800.0,125000000.0
sh603336,宏辉果蔬,5.01,-0.99%,4.74%,67206200.0,71779400.0,4573200.0,139000000.0
sh601199,江南水务,6.0,-0.99%,3.02%,65368900.0,108000000.0,42586100.0,173000000.0
sz002646,天佑德酒,13.95,-0.99%,1.76%,55791300.0,61419900.0,5628700.0,118000000.0
sz301319,唯特偶,46.99,-0.99%,4.59%,14375400.0,18043700.0,3668200.0,32419100.0
sz002900,哈三联,11.88,-1.00%,2.38%,21015000.0,28026300.0,7011300.0,49041300.0
sz301052,果麦文化,40.41,-1.00%,6.75%,65094700.0,88124000.0,23029300.0,153000000.0
sh600379,宝光股份,9.9,-1.00%,1.72%,23352199.999999996,34093900.0,10741700.0,57446200.0
sz300354,东华测试,35.76,-1.00%,1.02%,10850900.0,19006800.0,8155900.0,29857700.0
sz301041,金百泽,24.85,-1.00%,7.37%,61743400.0,54286400.0,7457000.0,115999999.99999999
sh688353,华盛锂电,32.28,-1.01%,1.06%,7914200.0,11245200.0,3331000.0,19159400.0
sz301046,能辉科技,25.55,-1.01%,4.17%,25206200.0,39115200.0,13909000.0,64321300.0
sh603055,台华新材,9.82,-1.01%,0.71%,29139400.0,33549200.0,4409800.0,62688600.0
sz300044,赛为智能,3.93,-1.01%,4.58%,52741400.0,75345200.0,22603800.0,128000000.0
sz002643,万润股份,16.72,-1.01%,0.63%,43636800.0,53564799.99999999,9927900.0,97201500.0
sz301138,华研精机,29.22,-1.02%,5.50%,20864100.0,28974600.0,8110599.999999999,49838700.0
sh603099,长白山,12.66,-1.02%,1.24%,18671200.0,23985700.0,5314500.0,42656899.99999999
sh603225,新凤鸣,12.56,-1.02%,0.95%,91631299.99999999,93684200.0,2052900.0,185000000.0
sh600009,上海机场,38.7,-1.02%,1.12%,373000000.0,480000000.0,107000000.0,852999999.9999999
sz300707,威唐工业,13.59,-1.02%,3.50%,27825800.0,33128800.0,5303000.0,60954600.0
sz002465,海格通信,9.71,-1.02%,1.60%,156000000.0,206999999.99999997,50916899.99999999,365000000.0
sz000889,ST中嘉,1.95,-1.02%,1.64%,10710400.0,17376100.0,6665599.999999999,28086500.0
sh688173,希荻微,16.4,-1.03%,1.67%,21384699.999999996,28338000.0,6953300.0,49722700.00000001
sh688369,致远互联,43.21,-1.03%,0.97%,21746900.0,28709500.0,6962600.0,50456500.0
sh688625,呈和科技,36.22,-1.04%,0.53%,5849200.0,10339600.0,4490400.0,16188800.000000002
sz002982,湘佳股份,31.35,-1.04%,2.94%,31565600.0,30640600.0,925000.0,62206200.0
sz301292,海科新源,20.96,-1.04%,12.55%,51144900.0,65150400.0,14005500.0,115999999.99999999
sh603198,迎驾贡酒,73.6,-1.04%,0.57%,155000000.0,186000000.0,30387800.000000004,341000000.0
sz000688,国城矿业,12.42,-1.04%,0.43%,29989100.0,31921300.0,1932100.0,61910400.0
sz000669,ST金鸿,1.89,-1.05%,1.07%,5895400.0,8183099.999999999,2287700.0,14078500.0
sz301388,欣灵电气,23.51,-1.05%,6.59%,15722300.0,25198100.0,9475800.0,40920400.0
sz300350,华鹏飞,4.65,-1.06%,4.58%,45679500.0,57723500.0,12044000.0,103000000.0
sh605338,巴比食品,22.47,-1.06%,1.40%,13050000.0,14690500.0,1640400.0,27740500.0
sz300859,*ST西域,24.34,-1.06%,2.65%,41178000.0,61424799.99999999,20246800.0,103000000.0
sz300575,中旗股份,10.31,-1.06%,1.02%,16351099.999999998,20709100.0,4358000.0,37060300.0
sz002585,双星新材,9.3,-1.06%,2.26%,90392900.00000001,102000000.0,12007100.0,193000000.0
sz000915,华特达因,29.9,-1.06%,0.98%,31488100.0,38415100.0,6927000.0,69903200.0
sh605028,世茂能源,18.44,-1.07%,5.85%,14066700.0,30057199.999999996,15990500.0,44123800.0
sh688670,金迪克,28.65,-1.07%,2.74%,17098500.0,18767100.0,1668600.0000000002,35865600.0
sh603885,吉祥航空,15.73,-1.07%,0.83%,138000000.0,151000000.0,13611600.0,289000000.0
sh601778,晶科科技,3.7,-1.07%,3.47%,166000000.0,305000000.0,139000000.0,471000000.0
sz301512,智信精密,53.99,-1.08%,17.80%,56568700.0,75465900.0,18897200.0,132000000.0
