代码,股票简称,最新价,涨跌幅,换手率,流入资金(元),流出资金(元),净额(元),成交额(元)
sz300169,天晟新材,6.76,20.07%,10.04%,1327000.0,202999999.99999997,202000000.0,204999999.99999997
sz300995,奇德新材,26.09,20.01%,20.57%,36449600.0,114999999.99999999,78111200.0,151000000.0
sz301505,苏州规划,71.72,19.99%,65.75%,424000000.0,408000000.0,15810100.0,831000000.0
sz300778,新城市,20.96,19.98%,12.40%,229000000.0,261000000.0,32165400.0,491000000.0
sz300193,佳士科技,8.85,18.16%,17.69%,280000000.0,392000000.0,112000000.00000001,673000000.0
sz300116,保力新,1.87,16.15%,15.64%,739000000.0,423000000.00000006,317000000.0,1162000000.0
sh688073,毕得医药,73.2,13.75%,21.00%,112000000.00000001,199000000.0,87289900.0,311000000.0
sz300740,水羊股份,21.31,12.34%,18.22%,733000000.0,578000000.0,155000000.0,1310000000.0
sh688318,财富趋势,142.0,12.27%,21.07%,910000000.0,1022000000.0000001,112000000.00000001,1932000000.0
sz300043,星辉娱乐,3.77,11.21%,14.26%,299000000.0,192000000.0,107000000.0,492000000.0
sz300583,赛托生物,30.53,10.86%,7.18%,121000000.0,108000000.0,13041800.0,229999999.99999997
sz301519,舜禹股份,38.7,10.57%,65.08%,453000000.0,451999999.99999994,585800.0,905000000.0000001
sz300159,新研股份,3.72,10.39%,11.51%,344000000.0,269000000.0,74470100.0,613000000.0
sh600743,华远地产,2.15,10.26%,4.23%,60047600.0,148000000.0,88041500.0,208000000.0
sz000882,华联股份,2.15,10.26%,8.99%,235000000.0,272000000.0,37158700.0,508000000.0
sz000961,中南建设,2.38,10.19%,16.38%,809000000.0,626000000.0,183000000.0,1436000000.0
sz002146,荣盛发展,3.04,10.14%,23.84%,1461000000.0,1256000000.0,204999999.99999997,2718000000.0
sz000010,美丽生态,3.15,10.14%,22.58%,177000000.0,180000000.0,2860400.0,356000000.0
sh600322,天房发展,2.51,10.09%,7.45%,82608500.0,119000000.0,36869600.0,202000000.0
sz002377,国创高新,3.71,10.09%,1.34%,0.0,45714300.0,45714300.0,45714200.0
sz000572,海马汽车,5.68,10.08%,6.37%,195000000.0,393000000.0,198000000.0,587000000.0
sz002652,扬子新材,3.17,10.07%,6.35%,41113800.0,59832100.0,18718300.0,101000000.0
sh600824,益民集团,4.16,10.05%,4.24%,106000000.0,74015700.0,31889200.0,180000000.0
sh600682,南京新百,9.09,10.05%,3.20%,128000000.0,199000000.0,70702700.0,328000000.0
sh601086,国芳集团,7.67,10.04%,11.75%,265000000.0,309000000.0,43291600.0,574000000.0
sz002208,合肥城建,7.89,10.04%,8.37%,185000000.0,218000000.00000003,32697800.000000004,403000000.0
sz002336,人人乐,18.66,10.02%,14.44%,547000000.0,415000000.00000006,132000000.0,961999999.9999999
sh603616,韩建河山,6.15,10.02%,10.48%,123000000.0,112000000.00000001,11123599.999999998,235000000.0
sh600280,中央商场,5.71,10.02%,17.86%,534000000.0,544000000.0,10060300.0,1077000000.0
sh600153,建发股份,11.2,10.02%,3.15%,394000000.0,605000000.0,211000000.0,999000000.0
sz002961,瑞达期货,18.01,10.02%,5.02%,99569000.0,301000000.0,200999999.99999997,400000000.0
sh600266,城建发展,7.47,10.01%,0.69%,796300.0,115999999.99999999,114999999.99999999,115999999.99999999
sz000719,中原传媒,10.77,10.01%,4.29%,143000000.0,155000000.0,12457700.0,297000000.0
sz001234,泰慕士,33.1,10.00%,20.33%,110000000.00000001,76895100.0,33573900.0,187000000.0
sh603613,国联股份,38.28,10.00%,3.83%,519000000.00000006,525000000.0,6600200.0,1044000000.0
sh600127,金健米业,8.47,10.00%,15.93%,433000000.0,428000000.0,4690600.0,861999999.9999999
sz002630,华西能源,2.86,10.00%,17.10%,265000000.0,225000000.0,40015100.0,491000000.0
sz002229,鸿博股份,33.33,10.00%,8.89%,615000000.0,797000000.0,182000000.0,1412000000.0
sz000980,众泰汽车,4.4,10.00%,7.60%,667000000.0,726000000.0,59388400.0,1394000000.0
sh603116,红蜻蜓,7.37,10.00%,9.34%,179000000.0,206000000.0,26410700.0,385000000.0
sh603196,日播时尚,21.03,9.99%,6.05%,155000000.0,129000000.0,26045300.000000004,283000000.0
sh603868,飞科电器,77.26,9.99%,0.56%,93742300.0,84956200.00000001,8786100.0,179000000.0
sz002830,名雕股份,14.87,9.99%,6.82%,18295800.0,47757200.0,29461300.0,66053000.0
sz000721,西安饮食,15.3,9.99%,23.58%,809000000.0,723000000.0,86456400.0,1532000000.0
sz002561,徐家汇,11.35,9.98%,16.34%,387000000.0,340000000.0,47359100.0,727000000.0
sh601007,金陵饭店,10.03,9.98%,8.63%,125000000.0,206999999.99999997,81714100.0,332000000.0
sh600748,上实发展,5.07,9.98%,2.35%,107000000.0,106000000.0,677400.0,212000000.0
sh600369,西南证券,4.74,9.98%,6.63%,783000000.0,1155000000.0,372000000.0,1938000000.0
sz002824,和胜股份,21.6,9.98%,5.64%,133000000.0,94929200.0,37609300.0,227000000.0
sh601677,明泰铝业,15.77,9.97%,5.58%,400000000.0,443000000.0,42953500.0,843000000.0
sh605188,国光连锁,12.36,9.96%,8.02%,238000000.0,223000000.0,14245000.0,461000000.00000006
sz000656,金科股份,2.54,9.96%,25.24%,1621000000.0,1662000000.0,40228000.0,3283000000.0
sz002269,美邦服饰,2.1,9.95%,11.17%,287000000.0,276000000.0,10893100.0,563000000.0
sz000419,通程控股,6.53,9.93%,7.60%,137000000.0,124000000.0,13209200.0,261000000.0
sh601099,太平洋,4.0,9.89%,1.11%,0.0,303000000.0,303000000.0,303000000.0
sh688793,倍轻松,43.5,9.85%,8.82%,65665300.0,61494500.0,4170800.0,127000000.0
sz300175,朗源股份,4.5,9.76%,9.61%,111000000.00000001,92201600.0,19010300.0,202999999.99999997
sh601860,紫金银行,3.18,9.66%,15.41%,827999999.9999999,850000000.0,21858200.0,1677000000.0
sh600779,水井坊,75.34,9.51%,3.72%,659000000.0,702000000.0,42902299.99999999,1361000000.0
sz301349,信德新材,59.34,9.04%,14.81%,124000000.0,95138600.0,28578000.0,219000000.0
sz300027,华谊兄弟,3.15,9.00%,10.41%,468000000.0,278000000.0,190000000.0,746000000.0
sz300511,雪榕生物,7.79,8.95%,11.44%,221000000.0,133000000.0,88597300.0,354000000.0
sz300973,立高食品,72.92,8.90%,8.24%,181000000.0,239000000.0,58057299.99999999,419000000.00000006
sz301398,星源卓镁,75.15,8.83%,61.30%,453000000.0,419000000.00000006,34287500.0,872000000.0000001
sz300198,纳川股份,3.21,8.81%,11.97%,189000000.0,153000000.0,36025900.0,342000000.0
sh600155,华创云信,8.18,8.78%,5.05%,127000000.0,814000000.0,687000000.0,941000000.0
sz300820,英杰电气,74.35,8.30%,4.01%,196000000.0,109000000.00000001,86758700.00000001,305000000.0
sh688103,国力股份,65.69,8.29%,4.05%,95355100.0,62470600.00000001,32884400.0,158000000.0
sz002068,黑猫股份,12.73,8.25%,5.50%,294000000.0,213000000.0,80107100.0,507000000.0
sz301161,唯万密封,23.9,8.24%,29.27%,104000000.0,97020500.0,6609600.0,200999999.99999997
sz002069,獐子岛,4.95,8.08%,4.62%,72805300.0,87696200.00000001,14890900.0,161000000.0
sz300189,神农科技,3.88,8.08%,11.44%,272000000.0,150000000.0,122000000.0,422000000.0
sz000090,天健集团,6.16,8.07%,8.65%,500000000.0,505000000.0,4825100.0,1003999999.9999999
sz000700,模塑科技,7.12,8.04%,16.26%,555000000.0,507000000.0,47552400.0,1061999999.9999999
sz000625,长安汽车,16.03,8.02%,6.72%,4768000000.0,3379000000.0,1389000000.0,8145999999.999999
sz300759,康龙化成,28.3,7.89%,5.19%,1102000000.0,964000000.0,138000000.0,2066000000.0
sz002949,华阳国际,16.32,7.87%,8.79%,122000000.0,90092900.00000001,31947700.0,212000000.0
sz300492,华图山鼎,64.93,7.86%,0.91%,48466000.0,33905000.0,14561000.0,82371000.0
sz002941,新疆交建,15.72,7.82%,7.04%,323000000.0,381000000.0,58771000.0,704000000.0
sz300168,万达信息,10.84,7.75%,5.69%,401999999.99999994,421000000.0,18433300.0,823000000.0
sz301370,国科恒泰,19.06,7.74%,31.00%,212000000.0,168000000.0,44922000.0,380000000.0
sh600239,云南城投,2.65,7.72%,9.61%,206999999.99999997,199000000.0,8113700.0,405999999.99999994
sz000065,北方国际,16.28,7.67%,4.21%,390000000.0,220000000.00000003,169000000.0,610000000.0
sh600712,南宁百货,4.55,7.57%,9.17%,115999999.99999999,103000000.0,13115500.0,220000000.00000003
sh600340,华夏幸福,2.72,7.51%,10.63%,667000000.0,458000000.0,210000000.0,1125000000.0
sz300947,德必集团,18.3,7.46%,19.73%,176000000.0,153000000.0,23248700.0,330000000.0
sz301148,嘉戎技术,24.92,7.41%,18.05%,95834700.0,74201600.0,21633100.0,170000000.0
sz002236,大华股份,21.95,7.28%,5.65%,1516000000.0,888000000.0000001,627000000.0,2404000000.0
sh601116,三江购物,14.76,7.27%,8.53%,357000000.0,309000000.0,48699000.0,666000000.0
sz000716,黑芝麻,8.17,7.22%,21.03%,686000000.0,479000000.0,208000000.0,1165000000.0
sh600708,光明地产,3.0,7.14%,8.54%,308000000.0,248000000.0,59619300.0,556000000.0
sh688261,东微半导,133.75,7.10%,3.19%,152000000.0,97048000.0,55384600.0,249000000.00000003
sh688618,三旺通信,62.1,7.09%,3.02%,26425100.000000004,19865000.0,6560200.0,46290200.00000001
sz000514,渝开发,4.86,7.05%,5.84%,115999999.99999999,118000000.0,1474400.0,234000000.0
sh688579,山大地纬,15.04,7.05%,4.83%,150000000.0,136000000.0,13502600.0,286000000.0
sh603351,威尔药业,28.55,7.01%,3.94%,60318500.0,88862600.0,28544100.0,149000000.0
sz300174,元力股份,17.86,7.01%,3.06%,123000000.0,71767300.0,50958900.0,195000000.0
sz300564,筑博设计,15.0,6.99%,15.26%,125000000.0,119000000.0,6497300.0,244000000.0
sh601127,赛力斯,45.19,6.98%,6.68%,2283000000.0,2237000000.0,46892000.0,4520000000.0
sz300459,汤姆猫,6.28,6.98%,10.17%,1190000000.0,692000000.0,498000000.00000006,1882000000.0
sz002434,万里扬,9.4,6.94%,3.20%,238000000.0,150000000.0,88329900.0,388000000.0
