代码,股票简称,最新价,涨跌幅,换手率,流入资金(元),流出资金(元),净额(元),成交额(元)
sz301448,开创电气,39.98,120.28%,72.94%,313000000.0,241000000.0,71299000.0,557000000.0
sh688334,西高院,20.73,46.40%,71.70%,499000000.0,590000000.0,91329800.0,1089000000.0
sz300812,易天股份,26.99,20.01%,18.12%,156000000.0,210000000.0,54143000.0,367000000.0
sh688662,富信科技,72.73,20.00%,22.68%,405999999.99999994,432000000.0,26466700.0,838000000.0000001
sh688668,鼎通科技,102.6,20.00%,19.87%,445000000.0,432000000.0,13332500.0,877000000.0
sh688071,华依科技,58.22,19.99%,9.85%,80344400.0,123000000.0,42820300.0,204000000.0
sh688369,致远互联,61.04,19.99%,8.08%,295000000.0,242000000.0,52936100.0,537000000.0
sz300913,兆龙互连,69.86,19.99%,44.52%,619000000.0,614000000.0,4753000.0,1240000000.0
sz300378,鼎捷软件,32.95,19.99%,23.22%,948000000.0,977999999.9999999,29187000.0,1930000000.0
sz300302,同有科技,15.56,19.97%,31.68%,880000000.0000001,831000000.0,49445000.0,1720000000.0
sz301123,奕东电子,29.16,19.95%,29.85%,344000000.0,264000000.0,79415300.0,616000000.0
sz300042,朗科科技,46.8,17.38%,12.20%,567000000.0,391000000.0,176000000.0,964000000.0
sh688498,源杰科技,330.0,16.61%,24.88%,710000000.0,673000000.0,37490300.0,1383000000.0
sh688159,有方科技,39.19,16.33%,6.70%,136000000.0,83098100.0,53033600.0,219000000.0
sz300657,弘信电子,23.13,15.07%,11.88%,628000000.0,543000000.0,85258900.0,1176000000.0
sz300570,太辰光,63.25,15.02%,20.90%,1107000000.0,1228000000.0,121000000.0,2345000000.0
sz300502,新易盛,78.88,14.92%,12.96%,3107000000.0,2769000000.0,338000000.0,5898000000.0
sz300051,三五互联,14.22,14.59%,8.21%,264000000.0,146000000.0,117000000.0,412000000.0
sz301205,联特科技,255.61,14.44%,31.90%,732000000.0,618000000.0,113999999.99999999,1368000000.0
sh688118,普元信息,38.2,13.72%,11.95%,250000000.0,171000000.0,79710300.0,421000000.0
sh688095,福昕软件,227.91,13.05%,6.69%,324000000.0,258000000.0,66042800.0,583000000.0
sh688519,南亚新材,26.86,12.90%,10.35%,133000000.0,119000000.0,14164400.0,250999999.99999997
sz300576,容大感光,44.7,12.88%,24.48%,830000000.0000001,696000000.0,134000000.00000001,1539000000.0
sz300620,光库科技,73.9,12.79%,18.01%,1639999999.9999998,1395000000.0,245000000.00000003,3054000000.0
sz300394,天孚通信,121.02,12.79%,5.67%,1113000000.0,1159000000.0,46506000.0,2295000000.0
sh688031,星环科技,160.72,12.57%,9.31%,192000000.0,218000000.00000003,26163300.0,409999999.99999994
sz301221,光庭信息,61.46,12.24%,24.70%,339000000.0,324000000.0,15361600.0,668000000.0
sh688025,杰普特,76.5,12.06%,7.80%,275000000.0,169000000.0,105000000.0,444000000.00000006
