代码,股票简称,最新价,涨跌幅,换手率,流入资金(元),流出资金(元),净额(元),成交额(元)
sz301505,苏州规划,39.57,50.17%,72.87%,266000000.0,295000000.0,28980700.0,564000000.0
sz301218,华是科技,34.67,20.01%,51.43%,487000000.0,424000000.0,62664799.99999999,911000000.0
sz301315,威士顿,59.04,20.00%,33.94%,113999999.99999999,284000000.0,170000000.0,398000000.0
sz301152,天力锂能,49.5,19.85%,31.95%,250000000.0,162000000.0,88070900.0,416000000.0
sh688095,福昕软件,141.92,19.22%,10.56%,319000000.0,487000000.0,169000000.0,810000000.0
sz300989,蕾奥规划,23.48,15.89%,50.96%,260000000.0,198000000.0,61611800.0,462000000.0
sh688627,精智达,87.07,13.67%,59.85%,498000000.00000006,423000000.00000006,74778700.0,931000000.0
sz301338,凯格精机,53.93,13.30%,64.06%,449000000.0,360000000.0,89366000.0,817000000.0
sz301379,天山电子,47.5,11.35%,71.77%,404000000.0,404000000.0,161100.0,811000000.0
sz300864,南大环境,25.96,10.75%,26.48%,122000000.0,148000000.0,25557500.0,272000000.0
sh688535,华海诚科,116.05,10.52%,51.19%,520000000.0,423000000.00000006,97037900.00000001,947000000.0000001
sh600280,中央商场,3.8,10.14%,3.48%,65078900.0,82916299.99999999,17837400.0,148000000.0
sz301313,凡拓数创,44.02,10.13%,26.99%,160000000.0,132000000.0,28043300.0,298000000.0
sz000573,粤宏远A,3.81,10.12%,13.36%,182000000.0,132000000.0,50353500.0,314000000.0
sz002146,荣盛发展,1.96,10.11%,8.31%,386000000.0,225000000.0,162000000.0,611000000.0
sz000980,众泰汽车,4.36,10.10%,17.22%,1707000000.0,1372000000.0,334000000.0,3080000000.0
sh600610,中毅达,11.07,10.04%,7.07%,212000000.0,131000000.0,81269600.0,343000000.0
sz002694,顾地科技,7.57,10.03%,8.04%,179000000.0,143000000.0,35889200.0,322000000.0
sz002400,省广集团,6.04,10.02%,15.37%,746000000.0,713000000.0,32667300.0,1461000000.0
sh601900,南方传媒,20.35,10.00%,4.79%,441000000.0,404000000.0,36515000.0,844999999.9999999
sz002310,东方园林,1.87,10.00%,1.92%,34773600.0,56504300.0,21730800.0,91334200.0
sz001337,四川黄金,34.36,9.99%,35.31%,418000000.0,289000000.0,129000000.0,707000000.0
sz002943,宇晶股份,35.77,9.99%,12.60%,196000000.0,208000000.0,11570600.0,404000000.0
sz002336,人人乐,14.32,9.98%,4.68%,106000000.0,139000000.0,33367399.999999996,245000000.00000003
sz002355,兴民智通,6.17,9.98%,19.82%,286000000.0,459000000.0,173000000.0,745000000.0
sz002292,奥飞娱乐,11.25,9.97%,10.49%,430999999.99999994,681000000.0,250000000.0,1112000000.0
sh600135,乐凯胶片,8.4,9.95%,11.87%,229999999.99999997,315000000.0,84619500.0,545000000.0
sz002316,亚联发展,5.86,9.94%,14.07%,38722600.0,218000000.00000003,179000000.0,256999999.99999997
sz300868,杰美特,22.22,9.89%,30.68%,161000000.0,161000000.0,288800.0,324000000.0
sh688571,杭华股份,7.36,9.69%,7.21%,74533200.0,50784100.0,23749000.0,126000000.0
sz301252,同星科技,56.46,9.42%,44.38%,271000000.0,213000000.0,58353600.0,490000000.00000006
sz301353,普莱得,42.5,9.25%,28.51%,114999999.99999999,85226200.00000001,30067000.0,223000000.0
sh603767,中马传动,14.79,8.75%,13.09%,314000000.0,246000000.0,67066600.0,568000000.0
sz301049,超越科技,24.77,8.74%,27.81%,90422300.0,83238700.00000001,7183600.0,178000000.0
sz002877,智能自控,13.15,8.59%,32.33%,451000000.0,405000000.0,45873000.0,859000000.0
sz301262,海看股份,31.52,8.43%,30.66%,185000000.0,184000000.0,494500.0,376000000.0
sz000550,江铃汽车,18.71,8.21%,10.73%,526999999.99999994,483000000.0,43866300.0,1014000000.0
sz300945,曼卡龙,16.62,7.85%,19.68%,130000000.0,112999999.99999999,17088300.0,248000000.0
sz000922,佳电股份,14.2,7.74%,5.73%,265000000.0,212000000.0,52648000.0,476999999.99999994
sz300050,世纪鼎利,4.53,7.60%,11.68%,152000000.0,123000000.0,29226000.0,276000000.0
sh688369,致远互联,59.1,7.47%,3.89%,149000000.0,115999999.99999999,33017800.000000004,266000000.0
sz300800,力合科技,15.43,7.30%,7.94%,99579100.0,104000000.0,4641900.0,206000000.0
sh688035,德邦科技,68.51,7.25%,11.27%,141000000.0,89676100.0,50923500.0,231999999.99999997
sz002362,汉王科技,25.35,7.19%,11.07%,290000000.0,286000000.0,3466300.0,579000000.0
sh688147,微导纳米,53.21,7.15%,9.00%,105000000.0,85432700.0,19263700.0,192000000.0
sz301270,汉仪股份,50.08,7.10%,23.33%,110000000.00000001,130000000.0,19420900.0,241000000.0
sz300778,新城市,16.78,7.08%,8.89%,157000000.0,139000000.0,18381400.0,300000000.0
sh601949,中国出版,11.99,7.05%,4.67%,555000000.0,433000000.0,122000000.0,991000000.0
sz000506,中润资源,4.56,6.79%,15.77%,375000000.0,271000000.0,104000000.0,656000000.0
sh603730,岱美股份,18.69,6.74%,1.23%,155000000.0,126000000.0,28855700.0,281000000.0
sz301366,一博科技,46.73,6.67%,40.01%,341000000.0,278000000.0,62696899.99999999,631000000.0
sz301198,喜悦智行,16.16,6.67%,16.52%,107000000.0,95857200.0,10990800.0,204000000.0
sz300572,安车检测,20.3,6.67%,7.64%,158000000.0,122000000.0,35799900.0,284000000.0
sz300457,赢合科技,27.04,6.67%,13.23%,1117000000.0,866000000.0,250999999.99999997,1989000000.0
sz001328,登康口腔,33.84,6.45%,22.77%,183000000.0,140000000.0,43947000.0,324000000.0
sz001336,楚环科技,31.5,6.24%,43.47%,164000000.0,112000000.00000001,51163500.0,278000000.0
sz000681,视觉中国,19.88,5.97%,10.67%,813000000.0000001,590000000.0,223000000.0,1405000000.0
sz301323,新莱福,50.25,5.95%,41.67%,247000000.00000003,227999999.99999997,19604800.0,479000000.0
sz300170,汉得信息,12.13,5.94%,17.19%,1101000000.0,893000000.0,208000000.0,2005000000.0
sz300863,卡倍亿,58.95,5.91%,15.86%,157000000.0,151000000.0,5974000.0,310000000.0
sz300911,亿田智能,38.42,5.78%,11.77%,114999999.99999999,68909000.0,46403400.0,187000000.0
sz002649,博彦科技,14.36,5.67%,9.22%,394000000.0,297000000.0,97723700.00000001,692000000.0
sz300446,乐凯新材,14.46,5.62%,8.94%,117000000.0,132000000.0,15854700.0,250999999.99999997
sz300032,金龙机电,7.18,5.59%,13.55%,405999999.99999994,363000000.0,42791500.0,770000000.0
sz000826,启迪环境,3.03,5.57%,3.00%,72652800.0,57213800.0,15439100.0,130000000.0
sz000812,陕西金叶,5.53,5.53%,7.79%,186000000.0,145000000.0,40801300.0,332000000.0
sz002565,顺灏股份,3.25,5.52%,6.29%,131000000.0,81648200.0,48865600.00000001,215000000.0
sz301397,溯联股份,45.24,5.50%,20.70%,130000000.0,88505800.0,41314000.0,220000000.00000003
sz300628,亿联网络,39.85,5.40%,2.42%,397000000.0,295000000.0,101000000.0,694000000.0
sz002251,步步高,5.33,5.34%,15.94%,394000000.0,349000000.0,44841000.0,744000000.0
sh603683,晶华新材,12.08,5.32%,2.24%,26992600.000000004,29645200.0,2652600.0,56908600.0
sh603313,梦百合,11.68,5.32%,1.93%,72051100.0,34242300.0,37808700.0,108000000.0
sz300378,鼎捷软件,35.8,5.20%,16.35%,800000000.0,786000000.0,13429000.0,1593000000.0
sz301486,致尚科技,55.95,5.17%,19.74%,182000000.0,148000000.0,34809100.0,334000000.0
sh600112,ST天成,3.33,5.05%,1.00%,10507300.0,6189400.000000001,4317900.0,16697700.0
sz300192,科德教育,12.1,4.94%,10.63%,150000000.0,122000000.0,28483000.0,276000000.0
sh603208,江山欧派,36.48,4.89%,1.67%,64227100.0,42458600.0,21768500.0,107000000.0
sz300139,晓程科技,10.29,4.89%,14.32%,195000000.0,144000000.0,50271700.0,341000000.0
sz002309,ST中利,4.08,4.88%,4.12%,64186300.0,52438100.00000001,11748300.0,118000000.0
sz002354,天娱数科,6.89,4.87%,7.85%,501999999.99999994,361000000.0,141000000.0,869999999.9999999
sh601333,广深铁路,3.48,4.82%,2.56%,304000000.0,195000000.0,109000000.00000001,501999999.99999994
sz000609,中迪投资,5.22,4.82%,10.26%,90701600.0,64875800.0,25825800.0,156000000.0
sh600612,老凤祥,66.71,4.79%,0.81%,88120300.0,82018500.0,6101799.999999999,170000000.0
sh603619,中曼石油,20.38,4.78%,4.12%,164000000.0,167000000.0,3229800.0,333000000.0
sz300513,恒实科技,14.48,4.78%,9.16%,218000000.00000003,140000000.0,78409400.0,360000000.0
sz301386,未来电器,36.01,4.74%,48.85%,300000000.0,270000000.0,29742500.0,572000000.0
sz002043,兔宝宝,11.1,4.72%,7.18%,298000000.0,240000000.0,57923600.0,545000000.0
sz301107,瑜欣电子,37.35,4.71%,24.68%,98267800.0,92570600.0,5697300.0,193000000.0
sz002313,*ST日海,7.64,4.66%,2.01%,33214500.0,21174300.0,12040200.0,56225700.0
sz301330,熵基科技,37.11,4.65%,12.54%,115999999.99999999,92563600.0,23053300.0,211000000.0
sz002791,坚朗五金,54.64,4.63%,2.78%,131000000.0,104000000.0,26984300.0,247000000.00000003
sz000603,盛达资源,14.23,4.63%,6.53%,290000000.0,250000000.0,39611700.0,541000000.0
sh603029,天鹅股份,23.31,4.62%,12.27%,168000000.0,173000000.0,4499700.0,343000000.0
sz000786,北新建材,25.34,4.62%,0.53%,136000000.0,69781100.0,66473900.0,217000000.0
sz301255,通力科技,55.09,4.52%,30.14%,210000000.0,208000000.0,1753000.0,438000000.0
sh603801,志邦家居,22.72,4.51%,1.73%,97230600.0,66838900.0,30391700.0,167000000.0
sz300947,德必集团,15.39,4.48%,4.75%,35622400.0,29616300.0,6006100.0,69334800.0
sz000736,中交地产,14.0,4.48%,4.65%,275000000.0,171000000.0,105000000.0,448000000.00000006
sh600185,格力地产,6.13,4.43%,5.14%,308000000.0,281000000.0,27165600.0,596000000.0
sz300826,测绘股份,16.53,4.42%,5.50%,69404000.0,50807900.0,18596100.0,125000000.0
sz300730,科创信息,14.25,4.40%,6.13%,101000000.0,65770500.0,35111300.0,169000000.0
sh600449,宁夏建材,17.34,4.39%,11.66%,259000000.0,749000000.0,490000000.00000006,1008000000.0
sh600712,南宁百货,4.06,4.37%,4.33%,55414100.0,34786900.0,20627199.999999996,93315900.0
sz301132,满坤科技,36.56,4.34%,48.50%,339000000.0,297000000.0,42104600.0,640000000.0
sz000526,学大教育,28.89,4.33%,4.88%,95443799.99999999,65554300.0,29889500.0,163000000.0
sh605228,神通科技,11.41,4.30%,19.80%,109000000.00000001,104000000.0,4928800.0,216000000.0
sh603948,建业股份,29.48,4.28%,8.25%,211000000.0,165000000.0,46303600.0,378000000.0
sz000948,南天信息,18.93,4.24%,8.81%,324000000.0,307000000.0,17567200.0,634000000.0
sz000010,美丽生态,2.47,4.22%,7.12%,51893800.0,38538700.0,13355100.0,91181700.0
sz301387,光大同创,55.73,4.19%,19.82%,90783400.0,88364400.0,2419100.0,181000000.0
sh688160,步科股份,70.6,4.18%,11.73%,133000000.0,92471000.0,40133300.0,225000000.0
sz301196,唯科科技,36.41,4.18%,8.62%,65905700.0,50326200.0,15579500.0,118000000.0
sh600088,中视传媒,14.7,4.18%,5.77%,184000000.0,141000000.0,43108300.0,331000000.0
sz002211,宏达新材,4.25,4.17%,13.66%,131000000.0,113999999.99999999,17323300.0,246000000.0
sh603168,莎普爱思,9.0,4.17%,4.45%,76785200.0,50158200.0,26627000.0,128000000.0
sz000060,中金岭南,5.5,4.17%,2.79%,341000000.0,217000000.0,124000000.0,567000000.0
sh603833,欧派家居,93.71,4.15%,0.69%,209000000.0,180000000.0,29120300.000000004,393000000.0
sz300860,锋尚文化,62.79,4.13%,5.48%,69660600.0,71405600.0,1745000.0,142000000.0
sh600551,时代出版,12.25,4.08%,1.99%,64427299.99999999,52955800.0,11471400.000000002,117000000.0
sz002315,焦点科技,36.83,4.01%,6.15%,220000000.00000003,221000000.0,888900.0,444000000.00000006
sz003010,若羽臣,22.52,3.97%,12.46%,108000000.0,88850900.0,19093100.0,199000000.0
sh603039,泛微网络,80.47,3.97%,1.23%,115999999.99999999,146000000.0,30234400.0,263000000.0
sh601136,首创证券,15.19,3.97%,15.82%,358000000.0,286000000.0,72494500.0,648000000.0
sz002271,东方雨虹,27.08,3.95%,1.96%,620000000.0,386000000.0,233000000.0,1036999999.9999999
sz301171,易点天下,22.2,3.93%,9.54%,82923900.0,73973300.0,8950600.0,158000000.0
sz300159,ST新研,3.17,3.93%,2.23%,62494799.99999999,42086899.99999999,20407900.0,105000000.0
sz300517,海波重科,14.9,3.91%,3.29%,34190200.0,25496100.0,8694100.0,60240600.00000001
sh688111,金山办公,449.88,3.90%,1.96%,1973999999.9999998,2229000000.0,254999999.99999997,4215999999.9999995
sz000504,南华生物,11.78,3.88%,1.06%,21057100.0,17479700.0,3577400.0,38692300.0
sz000514,渝开发,4.05,3.85%,2.00%,47132100.0,20363200.0,26769000.0,67702700.0
sh601100,恒立液压,68.48,3.80%,0.40%,197000000.0,159000000.0,37478400.0,359000000.0
sz000678,襄阳轴承,7.93,3.80%,19.60%,342000000.0,346000000.0,4162799.9999999995,691000000.0
sz301177,迪阿股份,39.46,3.79%,5.12%,41559700.0,37509400.0,4050299.9999999995,80115000.0
sz002716,金贵银业,3.03,3.77%,2.50%,99538100.0,63976100.0,35562000.0,164000000.0
sh688127,蓝特光学,17.94,3.76%,3.84%,68175500.0,48112400.0,20063100.0,115999999.99999999
sz301259,艾布鲁,15.51,3.75%,14.57%,81525600.0,87931200.00000001,6405599.999999999,172000000.0
sh688590,新致软件,25.74,3.71%,7.46%,157000000.0,152000000.0,4923600.0,311000000.0
sz301231,荣信文化,33.57,3.71%,11.69%,45526700.0,34200000.0,11326700.0,82029900.0
sz300675,建科院,16.25,3.70%,6.49%,93900400.00000001,59194300.0,34706100.0,155000000.0
sz000503,国新健康,12.04,3.70%,2.14%,127000000.0,103000000.0,23321600.0,231999999.99999997
sh600963,岳阳林纸,7.35,3.67%,1.88%,142000000.0,98466600.0,43805300.0,244000000.0
sz002229,鸿博股份,28.98,3.65%,13.32%,1025000000.0,864000000.0,161000000.0,1894000000.0000002
sh605162,新中港,10.27,3.63%,15.23%,83800000.0,72735900.0,11064100.0,157000000.0
sh605081,太和水,14.01,3.62%,6.19%,41809000.0,31230900.0,10578000.0,73531300.0
sz301178,天亿马,34.62,3.59%,11.87%,93780100.0,82403200.0,11376900.0,177000000.0
sh688222,成都先导,15.86,3.59%,1.05%,27779800.0,25536900.0,2242900.0,55429799.99999999
sz300239,东宝生物,6.64,3.59%,2.40%,55802600.0,24216900.0,31585700.0,80857400.0
sh688352,颀中科技,15.04,3.58%,12.79%,150000000.0,136000000.0,13546700.0,288000000.0
