代码,股票简称,最新价,涨跌幅,换手率,流入资金(元),流出资金(元),净额(元),成交额(元)
sz301292,海科新源,29.7,48.57%,70.67%,403000000.0,522000000.0,119000000.0,925000000.0
sz300780,德恩精工,20.56,20.02%,37.91%,246000000.0,391000000.0,145000000.0,636000000.0
sz301192,泰祥股份,36.22,20.01%,80.05%,310000000.0,372000000.0,61788500.0,682000000.0
sz301398,星源卓镁,48.91,20.00%,63.37%,261000000.0,313000000.0,51671600.0,574000000.0
sz301016,雷尔伟,24.66,20.00%,27.87%,59116700.0,140000000.0,80781100.0,199000000.0
sz300879,大叶股份,21.29,14.59%,38.93%,225000000.0,224000000.00000003,965000.0,449000000.0
sz300270,中威电子,10.16,14.41%,38.10%,421000000.0,378000000.0,42433300.0,799000000.0
sz301298,东利机械,18.76,12.40%,20.21%,202000000.0,162000000.0,39963900.0,365000000.0
sz300817,双飞股份,20.23,12.14%,35.20%,330000000.0,340000000.0,10652900.0,670000000.0
sz300189,神农科技,3.65,11.96%,11.32%,245000000.00000003,147000000.0,97589400.0,392000000.0
sz301072,中捷精工,31.59,10.15%,45.77%,252999999.99999997,213000000.0,39880400.0,465000000.00000006
sz000570,苏常柴A,6.11,10.09%,15.43%,197000000.0,260000000.0,62980900.0,459999999.99999994
sz000767,晋控电力,3.49,10.09%,3.70%,68288100.0,304000000.0,235000000.0,373000000.0
sh600719,大连热电,6.46,10.05%,0.59%,0.0,15395600.0,15395600.0,15395600.0
sz000020,深华发A,14.47,10.04%,6.06%,64955100.0,90483400.0,25528400.0,155000000.0
sh601567,三星医疗,14.37,10.03%,0.39%,0.0,77736500.0,77736500.0,77736400.0
sh601116,三江购物,12.73,10.03%,4.81%,172000000.0,156000000.0,15699200.0,328000000.0
sh600313,农发种业,9.54,10.03%,13.44%,771000000.0,575000000.0,196000000.0,1345000000.0
sz001313,粤海饲料,8.79,10.01%,5.66%,24372800.000000004,82342600.0,57969799.99999999,107000000.0
sz003012,东鹏控股,8.9,10.01%,4.38%,114999999.99999999,133000000.0,17501500.0,248000000.0
sh603029,天鹅股份,22.42,10.01%,11.31%,152000000.0,143000000.0,9254800.0,295000000.0
sh603215,比依股份,24.18,10.01%,26.78%,206999999.99999997,223000000.0,15436800.0,430000000.0
sz002893,京能热力,12.42,10.01%,14.50%,109000000.00000001,247000000.00000003,137000000.0,356000000.0
sz002976,瑞玛精密,35.76,10.00%,2.33%,3576.0,53841500.0,53837900.0,53845100.0
sz002380,科远智慧,23.77,10.00%,16.97%,186000000.0,376000000.0,190000000.0,561000000.0
sz000537,广宇发展,13.42,10.00%,3.17%,429000000.0,346000000.0,83485900.0,776000000.0
sz001360,南矿集团,19.28,9.98%,25.16%,94159400.0,136000000.0,42328100.00000001,231999999.99999997
sz002616,长青集团,5.63,9.96%,2.31%,0.0,61032000.0,61032000.0,61031899.99999999
sh688327,云从科技,19.01,9.95%,12.93%,1015000000.0,791000000.0,224000000.00000003,1807000000.0
sh600257,大湖股份,6.74,9.95%,13.77%,244000000.0,187000000.0,56484900.0,430999999.99999994
sh600239,云南城投,2.34,9.86%,3.38%,35058600.0,89255100.0,54196500.0,124000000.0
sz301486,致尚科技,63.2,9.61%,70.05%,724000000.0,660000000.0,64625900.0,1384000000.0
sz300170,汉得信息,11.94,9.44%,15.73%,906000000.0,751000000.0,155000000.0,1655999999.9999998
sh688103,国力股份,62.11,8.77%,5.90%,129000000.0,88617600.0,40655800.0,218000000.00000003
sz300475,香农芯创,33.57,8.29%,11.25%,866000000.0,736000000.0,129000000.0,1602000000.0
sz300010,*ST豆神,2.9,8.21%,5.31%,68115700.0,50942000.0,17173800.0,119000000.0
sz301229,纽泰格,37.58,8.18%,30.27%,190000000.0,188000000.0,1959400.0,378000000.0
sz000037,深南电A,13.44,8.04%,29.67%,744000000.0,583000000.0,161000000.0,1327000000.0
sz300514,友讯达,15.4,7.99%,20.12%,252999999.99999997,218000000.00000003,34587500.0,471000000.0
sz301099,雅创电子,64.36,7.27%,34.62%,330000000.0,282000000.0,47157100.0,612000000.0
sh601600,中国铝业,6.06,7.26%,4.16%,1714999999.9999998,1561000000.0,154000000.0,3276000000.0
sz300875,捷强装备,42.99,7.21%,17.98%,182000000.0,166000000.0,16332600.0,349000000.0
sz300317,珈伟新能,5.97,7.18%,9.85%,296000000.0,182000000.0,113999999.99999999,476999999.99999994
sz002417,深南退,0.45,7.14%,13.22%,0.0,0.0,0.0,13467200.0
sz300979,华利集团,53.01,7.09%,2.67%,117000000.0,84863200.0,32205300.000000004,202000000.0
sh603277,银都股份,25.55,7.08%,1.53%,77841600.0,81628700.0,3787100.0,159000000.0
sz300994,久祺股份,16.89,7.03%,8.91%,63257500.0,51565900.0,11691600.0,114999999.99999999
sh605011,杭州热电,38.4,7.02%,16.00%,388000000.0,345000000.0,43185600.00000001,732000000.0
sh600133,东湖高新,7.49,7.00%,13.50%,451999999.99999994,340000000.0,112000000.00000001,792000000.0
sh688557,兰剑智能,36.93,6.92%,6.15%,52790200.00000001,45932600.0,6857600.0,98722800.0
sh688668,鼎通科技,103.04,6.83%,9.84%,231999999.99999997,221000000.0,11120900.0,454000000.0
sz002383,合众思壮,7.06,6.81%,10.47%,143000000.0,317000000.0,175000000.0,459999999.99999994
sz002010,传化智联,5.73,6.70%,2.83%,262000000.0,171000000.0,91203900.0,433000000.0
sz301233,盛帮股份,46.97,6.51%,23.05%,106000000.0,88214200.0,17447100.0,194000000.0
sz002428,云南锗业,16.86,6.44%,29.23%,1537000000.0,1555000000.0,17803000.0,3092000000.0
sh600162,香江控股,2.03,6.28%,3.74%,152000000.0,98858100.0,53132000.0,250999999.99999997
sh688667,菱电电控,84.09,6.27%,7.86%,69790400.0,60750400.0,9040000.0,131000000.0
sz301092,争光股份,30.3,6.24%,15.96%,108000000.0,94345700.0,14126900.0,202999999.99999997
sz301089,拓新药业,70.74,6.18%,12.62%,332000000.0,353000000.0,21150500.0,685000000.0
sh600729,重庆百货,33.82,6.05%,1.52%,103000000.0,96117700.0,7271900.000000001,202000000.0
sz301270,汉仪股份,56.1,5.89%,13.07%,72371600.0,70390500.0,1981100.0000000002,143000000.0
sz301163,宏德股份,35.22,5.80%,27.79%,162000000.0,163000000.0,1184700.0,325000000.0
sz301260,格力博,25.42,5.78%,16.36%,289000000.0,179000000.0,111000000.00000001,468000000.0
sz300549,优德精密,32.14,5.76%,25.95%,442000000.0,398000000.0,44599200.0,840000000.0
sz301187,欧圣电气,19.23,5.72%,15.39%,87716000.0,50887100.0,36828900.0,139000000.0
sz301361,众智科技,30.47,5.69%,43.34%,190000000.0,187000000.0,3557000.0,377000000.0
sz300639,凯普生物,10.6,5.68%,4.11%,164000000.0,111000000.00000001,53563600.0,275000000.0
sh605555,德昌股份,18.64,5.49%,8.29%,111000000.00000001,96898500.0,14265900.0,208000000.0
sz300094,国联水产,5.19,5.49%,13.56%,447000000.0,322000000.0,125000000.0,769000000.0
sz300548,博创科技,38.97,5.38%,22.27%,1019000000.0,953999999.9999999,64621000.0,1972000000.0
sz300960,通业科技,22.04,5.35%,21.62%,67886800.0,54386100.0,13500700.0,122000000.0
sh600290,*ST华仪,1.38,5.34%,2.69%,15654300.0,11442700.0,4211600.0,27096900.0
sz301181,标榜股份,32.56,5.30%,15.45%,107000000.0,86065100.0,20585900.0,193000000.0
sz301323,新莱福,45.09,5.23%,25.58%,155000000.0,110000000.00000001,45835600.00000001,265000000.0
sh605580,恒盛能源,14.83,5.18%,40.31%,235000000.0,186000000.0,48956500.0,421000000.0
sz300308,中际旭创,146.99,5.14%,6.77%,3670000000.0000005,3654999999.9999995,14894000.0,7325000000.0
sz000996,*ST中期,4.33,5.10%,0.07%,0.0,989300.0000000001,989300.0000000001,989300.0000000001
sz301107,瑜欣电子,34.27,5.09%,23.13%,96993300.0,71948700.0,25044600.0,169000000.0
sh688323,瑞华泰,23.81,5.08%,3.08%,34536000.0,35858300.0,1322300.0,70394300.0
sh688175,高凌信息,35.83,5.07%,3.98%,20734100.0,22994600.0,2260500.0,43728700.0
sh600748,上实发展,4.15,5.06%,5.07%,166000000.0,227999999.99999997,61837000.0,394000000.0
sz002089,*ST新海,1.05,5.00%,3.15%,27993900.0,13148300.0,14845600.0,41142100.0
sh603037,凯众股份,16.69,4.97%,20.06%,169000000.0,299000000.0,130000000.0,467000000.0
sh603030,*ST全筑,3.18,4.95%,5.26%,47090900.0,49348000.0,2257100.0,96439000.0
sh688535,华海诚科,70.01,4.93%,23.52%,142000000.0,124000000.0,17944600.0,266000000.0
sz301353,普莱得,39.93,4.91%,40.08%,165000000.0,138000000.0,26939000.0,303000000.0
sz000722,湖南发展,12.28,4.87%,6.09%,204999999.99999997,138000000.0,66679300.0,344000000.0
