代码,股票简称,最新价,涨跌幅,换手率,流入资金(元),流出资金(元),净额(元),成交额(元)
sz301533,威马农机,73.0,147.46%,78.88%,656000000.0,552000000.0,104000000.0,1212000000.0
sh688693,锴威特,85.5,109.40%,86.58%,626000000.0,561000000.0,65522700.00000001,1187000000.0
sh688573,信宇人,57.2,37.17%,87.98%,490000000.00000006,448000000.00000006,42564000.0,938000000.0000001
sh688285,高铁电气,10.37,20.02%,33.69%,121000000.0,181000000.0,60229000.0,301000000.0
sz301487,盟固利,73.3,20.01%,41.99%,893000000.0,700000000.0,193000000.0,1593000000.0
sz301203,国泰环保,47.86,20.01%,57.86%,179000000.0,275000000.0,96221299.99999999,454000000.0
sz300904,威力传动,114.0,20.00%,72.52%,671000000.0,648000000.0,22391000.0,1319000000.0
sh688671,碧兴物联,51.25,20.00%,14.75%,0.0,126000000.0,126000000.0,126000000.0
sz301210,金杨股份,58.8,20.00%,46.58%,139000000.0,291000000.0,153000000.0,430999999.99999994
sh688450,光格科技,55.26,20.00%,24.15%,15890200.0,181000000.0,165000000.0,197000000.0
sz300958,建工修复,23.22,20.00%,27.79%,193000000.0,269000000.0,75897400.0,463999999.99999994
sz301448,开创电气,41.3,19.99%,57.59%,204999999.99999997,220000000.00000003,15469200.0,425000000.0
sz301137,哈焊华通,21.5,19.05%,51.13%,195000000.0,268000000.00000003,73361500.0,480999999.99999994
sz301372,科净源,84.77,12.09%,60.93%,401000000.0,390000000.0,11584900.0,799000000.0
sh688485,九州一轨,16.72,11.32%,35.33%,102000000.0,94169800.0,7744900.0,196000000.0
sz001213,中铁特货,4.9,10.11%,8.44%,71976200.0,352000000.0,281000000.0,426000000.0
sz000010,美丽生态,3.16,10.10%,28.81%,222000000.00000003,229999999.99999997,8361500.0,453000000.0
sh603162,海通发展,20.63,10.03%,17.36%,78512100.0,138000000.0,59125600.00000001,217000000.0
sz001360,南矿集团,21.63,10.02%,32.54%,158000000.0,181000000.0,23026400.0,339000000.0
sz001202,炬申股份,17.46,10.02%,17.13%,49200100.0,66789300.0,17589100.0,117000000.0
sz000995,皇台酒业,18.89,10.02%,0.70%,0.0,23608700.0,23608700.0,23635200.0
sz003023,彩虹集团,21.96,10.02%,11.55%,45523800.0,81770100.0,36246300.0,127000000.0
sz001324,长青科技,34.96,10.01%,23.40%,3300400.0,272000000.0,269000000.0,277000000.0
sz002703,浙江世宝,17.48,10.01%,20.72%,1001000000.0,860000000.0,142000000.0,1894000000.0000002
sh603291,联合水务,18.37,10.00%,45.71%,168000000.0,177000000.0,8637400.0,344000000.0
sh600292,远达环保,6.6,10.00%,5.36%,114999999.99999999,154000000.0,38938500.0,269000000.0
sz001380,华纬科技,35.77,9.99%,17.23%,83436600.0,102000000.0,19030200.0,186000000.0
sh601022,宁波远洋,12.0,9.99%,39.73%,267000000.0,348000000.0,81225900.0,616000000.0
sz002724,海洋王,8.15,9.99%,2.17%,24752199.999999996,75619100.0,50866899.99999999,100000000.0
sz001299,美能能源,20.06,9.98%,36.09%,135000000.0,188000000.0,52414200.0,323000000.0
sz002527,新时达,13.67,9.98%,22.77%,556000000.0,1063000000.0000001,507000000.0,1621000000.0
sh605069,正和生态,10.37,9.97%,9.73%,32764500.0,49651300.0,16886800.0,82415800.0
sz000826,启迪环境,4.19,9.97%,11.82%,290000000.0,409999999.99999994,119000000.0,700000000.0
sh605001,威奥股份,8.2,9.63%,14.21%,200999999.99999997,252999999.99999997,52390000.0,454000000.0
sz301181,标榜股份,31.3,9.59%,19.09%,149000000.0,82176600.0,67197200.0,233000000.0
sz301255,通力科技,56.33,9.57%,61.33%,442000000.0,479000000.0,36504900.0,935000000.0
sz301016,雷尔伟,27.89,9.54%,47.72%,213000000.0,180000000.0,32830000.0,394000000.0
sh688588,凌志软件,15.76,9.44%,11.86%,252999999.99999997,312000000.0,59013500.0,564000000.0
sh688157,松井股份,54.03,9.39%,3.79%,69722300.0,49165100.0,20557300.0,119000000.0
sz301511,德福科技,47.85,9.15%,65.22%,955000000.0000001,872000000.0000001,82623200.0,1836000000.0
sz300906,日月明,26.98,8.62%,27.33%,132000000.0,109000000.00000001,23062000.0,243000000.00000003
sh688007,光峰科技,21.98,8.01%,3.23%,177000000.0,154000000.0,22590000.0,331000000.0
sh603767,中马传动,14.33,7.83%,20.34%,426999999.99999994,462000000.0,34918100.0,889000000.0
sz300742,*ST越博,6.27,7.73%,11.69%,42985500.0,38812200.0,4173300.0,82297700.0
sh688251,井松智能,29.95,7.58%,8.74%,43813700.0,50021000.0,6207300.0,93834800.0
sh603283,赛腾股份,45.1,7.51%,5.49%,231999999.99999997,217000000.0,14950800.0,450000000.0
sz002355,兴民智通,6.41,7.37%,24.25%,426000000.0,458000000.0,31971100.0,913000000.0000001
sh688548,广钢气体,12.75,7.32%,40.84%,712000000.0,569000000.0,143000000.0,1281000000.0
sz301288,清研环境,22.52,7.19%,29.84%,128000000.0,133000000.0,4699900.0,263000000.0
sh688448,磁谷科技,30.2,7.09%,14.69%,41740600.00000001,33875400.0,7865300.0,75616000.0
sz300690,双一科技,15.9,7.07%,7.18%,69901300.0,51204600.0,18696700.0,123000000.0
sh603722,阿科力,45.96,7.01%,3.77%,75143900.0,77913500.0,2769600.0,153000000.0
sh688478,晶升股份,44.6,6.90%,18.35%,123000000.0,112000000.00000001,11034700.0,236000000.0
sz300865,大宏立,23.28,6.89%,15.72%,63358800.0,36724700.0,26634100.0,100000000.0
sz300435,中泰股份,14.49,6.86%,8.56%,261000000.0,166000000.0,95695900.0,430000000.0
sz301156,美农生物,18.62,6.70%,18.06%,80236200.0,81919900.0,1683700.0,163000000.0
sh603195,公牛集团,107.6,6.57%,0.45%,272000000.0,155000000.0,115999999.99999999,426999999.99999994
sz301265,华新环保,12.67,6.38%,26.49%,155000000.0,96049599.99999999,59148400.0,254000000.0
sh688429,时创能源,26.55,6.33%,22.08%,117000000.0,56992400.0,60046800.0,174000000.0
sh605287,德才股份,19.22,6.19%,7.08%,63284100.0,55081800.0,8202300.0,118000000.0
sh688638,誉辰智能,72.44,6.09%,30.16%,115999999.99999999,84007900.00000001,31710600.0,200000000.0
sh603137,恒尚节能,22.65,6.09%,23.06%,40323900.0,121000000.0,80907600.0,171000000.0
sh688366,昊海生科,98.1,5.99%,2.05%,153000000.0,128000000.0,24680700.0,281000000.0
sz301082,久盛电气,17.28,5.82%,13.04%,79695600.0,71374000.0,8321500.0,151000000.0
sz301359,东南电子,27.67,5.81%,20.28%,70137300.0,48476200.0,21661100.0,119000000.0
sh688201,信安世纪,28.95,5.73%,10.90%,150000000.0,145000000.0,4621600.0,296000000.0
sz002310,东方园林,2.48,5.53%,10.89%,426999999.99999994,267000000.0,160000000.0,700000000.0
sh601606,长城军工,14.68,5.46%,11.33%,691000000.0,505000000.0,186000000.0,1198000000.0
sz002927,泰永长征,13.73,5.45%,12.15%,145000000.0,233000000.0,87979900.0,381000000.0
sh688282,理工导航,47.15,5.36%,10.87%,105000000.0,76001500.0,29305700.0,181000000.0
sz301386,未来电器,33.22,5.33%,37.44%,221000000.0,184000000.0,37059300.0,407000000.0
sh688701,卓锦股份,9.53,5.30%,6.67%,21269600.0,20854500.0,415100.0,42124100.0
sh688484,南芯科技,37.18,5.27%,7.24%,80790600.0,67493500.0,13297100.0,148000000.0
sh688435,英方软件,75.49,5.26%,11.15%,82093000.0,73338800.0,8754200.0,155000000.0
sz301053,远信工业,26.26,5.17%,23.08%,76624600.0,66130100.0,10494500.0,143000000.0
sz001331,胜通能源,19.34,5.11%,20.13%,85186700.0,75883400.0,9303400.0,161000000.0
sh601975,招商南油,3.5,5.11%,8.52%,852999999.9999999,585000000.0,268000000.00000003,1448000000.0
sh600589,*ST榕泰,3.09,5.10%,2.57%,30342399.999999996,20568900.0,9773600.0,54963900.0
sz002816,*ST和科,12.29,5.04%,2.83%,10890700.0,23674200.0,12783500.0,34590700.0
sh600070,ST富润,3.14,5.02%,2.37%,14961600.0,22217000.0,7255400.0,37353800.0
sz000525,ST红太阳,9.01,5.01%,0.40%,9326000.0,11517200.0,2191100.0,20881900.0
sz002776,*ST柏龙,1.89,5.00%,4.73%,26706100.0,19920600.0,6785500.0,47607800.0
sz301315,威士顿,85.9,4.96%,48.49%,470000000.0,394000000.0,75843800.0,867000000.0
sh688636,智明达,50.78,4.96%,9.15%,117000000.0,91315900.0,25611100.0,208000000.0
sh688106,金宏气体,25.38,4.96%,1.88%,142000000.0,92500000.0,49130500.0,234000000.0
sh688359,三孚新科,62.54,4.93%,3.19%,53397900.0,35714600.0,17683300.0,89112400.0
sz000615,*ST美谷,4.05,4.92%,5.05%,48341500.0,106000000.0,58111899.99999999,156000000.0
sh688458,美芯晟,81.96,4.78%,5.74%,43331300.0,41965000.0,1366300.0,85296400.0
sh600462,ST九有,2.19,4.78%,2.65%,13814500.0,20598600.0,6784000.0,34563100.0
sz300815,玉禾田,15.39,4.77%,2.42%,89726700.0,51187000.0,38539700.0,144000000.0
sz300542,新晨科技,15.82,4.77%,25.39%,491000000.0,469000000.00000006,21923300.0,971000000.0000001
sz300864,南大环境,23.98,4.76%,15.41%,74033400.0,68280800.0,5752600.0,143000000.0
sz301292,海科新源,27.15,4.62%,35.77%,220000000.00000003,184000000.0,36285500.0,415000000.00000006
sh688646,逸飞激光,47.75,4.60%,31.69%,160000000.0,114999999.99999999,44918500.0,275000000.0
sz000796,*ST凯撒,4.55,4.60%,2.08%,44835800.0,29816200.0,15019600.0,76584600.0
sz002485,*ST雪发,4.82,4.56%,1.29%,15325700.0,17961700.0,2636000.0,33633000.0
sz300551,古鳌科技,25.38,4.53%,4.11%,107000000.0,134000000.00000001,26341000.0,244000000.0
sh688459,哈铁科技,9.94,4.52%,18.13%,99315800.0,59206200.0,40109600.0,159000000.0
sz300948,冠中生态,15.25,4.45%,10.14%,60474300.0,46233400.0,14241000.0,107000000.0
sz301377,鼎泰高科,21.15,4.44%,10.22%,59043800.0,47144300.0,11899500.0,107000000.0
sz300998,宁波方正,30.52,4.38%,7.85%,48077000.0,34660300.0,13416700.0,83475300.0
sz001230,劲旅环境,25.7,4.34%,7.11%,46022600.0,25402199.999999996,20620400.0,71633300.0
