代码,股票简称,最新价,涨跌幅,换手率,流入资金(元),流出资金(元),净额(元),成交额(元)
sz300827,上能电气,42.0,16.50%,17.38%,1046000000.0000001,811000000.0,236000000.0,1857000000.0
sz300254,仟源医药,8.47,14.77%,21.94%,256000000.0,146000000.0,110000000.00000001,403000000.0
sz300282,*ST三盛,3.51,14.71%,9.56%,65151500.0,52625400.0,12526099.999999998,118000000.0
sh688663,新风光,36.24,14.00%,13.68%,275000000.0,139000000.0,136000000.0,413999999.99999994
sz300693,盛弘股份,41.85,13.35%,13.59%,836999999.9999999,554000000.0,283000000.0,1391000000.0
sz300340,科恒股份,14.29,11.90%,16.49%,239000000.0,199000000.0,39878500.0,438999999.99999994
sz301311,昆船智能,32.84,11.40%,55.10%,518000000.0,508000000.0,9888500.0,1025000000.0
sh688506,百利天恒,80.17,10.79%,5.98%,93643000.0,63232800.0,30410200.0,157000000.0
sz301255,通力科技,50.3,10.67%,54.55%,374000000.0,351000000.0,22094200.0,725000000.0
sh688032,禾迈股份,392.82,10.61%,6.48%,567000000.0,491000000.0,75839400.0,1057000000.0
sh688676,金盘科技,33.5,10.60%,5.90%,209000000.0,168000000.0,40723000.0,378000000.0
sz000980,众泰汽车,2.71,10.16%,4.42%,289000000.0,214000000.0,74832600.0,501999999.99999994
sz000859,国风新材,5.45,10.10%,2.53%,59026400.0,62329100.0,3302700.0,121000000.0
sz002356,赫美集团,4.8,10.09%,2.11%,69110700.0,57885800.0,11224900.0,127000000.0
sz002256,兆新股份,2.4,10.09%,4.04%,52318000.0,81040700.0,28722800.000000004,133000000.0
sz002037,保利联合,9.74,10.06%,2.33%,0.0,110000000.00000001,110000000.00000001,110000000.00000001
sz000928,中钢国际,10.62,10.05%,5.85%,443000000.0,335000000.0,108000000.0,777000000.0
sz002535,林州重机,4.6,10.05%,5.43%,41350700.0,101000000.0,59790800.0,142000000.0
sz000957,中通客车,11.62,10.04%,9.97%,304000000.0,358000000.0,53735900.0,662000000.0
