代码,股票简称,最新价,涨跌幅,换手率,流入资金(元),流出资金(元),净额(元),成交额(元)
sz300921,南凌科技,29.14,20.02%,32.35%,303000000.0,247000000.00000003,56230600.00000001,550000000.0
sz301202,朗威股份,43.3,20.01%,42.54%,200000000.0,357000000.0,157000000.0,558000000.0
sz301218,华是科技,43.9,20.01%,38.11%,398000000.0,484999999.99999994,86779200.0,882000000.0
sz301234,五洲医疗,47.64,20.00%,68.75%,285000000.0,294000000.0,8939000.0,579000000.0
sz300960,通业科技,25.0,17.26%,51.63%,142000000.0,187000000.0,45117800.0,330000000.0
sz301085,亚康股份,68.91,16.19%,23.94%,305000000.0,191000000.0,113999999.99999999,496000000.0
sh688321,微芯生物,23.57,13.48%,4.52%,238000000.0,194000000.0,44019100.0,430999999.99999994
sz300904,威力传动,94.3,12.33%,66.00%,523000000.00000006,498000000.00000006,24668100.0,1019999999.9999999
sz300659,中孚信息,26.34,12.04%,20.26%,429000000.0,366000000.0,63440800.0,795000000.0
sz301509,金凯生科,108.36,11.20%,51.93%,530000000.0,553000000.0,23127399.999999996,1083000000.0
sz300846,首都在线,14.49,11.12%,9.50%,289000000.0,181000000.0,108000000.0,470000000.0
sz300895,铜牛信息,35.31,10.41%,14.15%,208000000.0,114999999.99999999,93006700.0,323000000.0
sz300771,智莱科技,13.39,10.12%,24.01%,298000000.0,224000000.00000003,73799100.0,522000000.0
sz002480,新筑股份,5.35,10.08%,4.63%,58289900.0,129000000.0,71110600.0,188000000.0
sz000903,云内动力,3.28,10.07%,11.94%,336000000.0,391000000.0,54361700.0,727000000.0
sz002528,英飞拓,8.87,10.05%,11.21%,622000000.0,375000000.0,247000000.00000003,997000000.0000001
sz002451,摩恩电气,8.1,10.05%,1.50%,0.0,53424399.99999999,53424399.99999999,53424399.99999999
sz000428,华天酒店,4.93,10.04%,5.34%,114999999.99999999,147000000.0,32214899.999999996,261000000.0
sz002898,赛隆药业,13.04,10.04%,4.58%,11298000.0,48762299.99999999,37464300.0,60060300.0
sz000719,中原传媒,13.05,10.03%,12.14%,529000000.0,469000000.00000006,60400300.0,998000000.0
sh603569,长久物流,13.82,10.03%,4.31%,174000000.0,149000000.0,24197100.0,323000000.0
sh603153,上海建科,19.21,10.02%,23.44%,101000000.0,140000000.0,39037400.0,241000000.0
sz002777,久远银海,32.95,10.02%,7.11%,503000000.0,390000000.0,112999999.99999999,893000000.0
sz000411,英特集团,14.4,10.01%,8.98%,163000000.0,211000000.0,47690200.00000001,374000000.0
sz003005,竞业达,36.37,10.01%,22.83%,168000000.0,245000000.00000003,76948900.0,413000000.0
sh600633,浙数文化,15.27,10.01%,4.59%,533000000.0,323000000.0,210000000.0,856000000.0
sh603000,人民网,32.19,10.01%,8.83%,1796000000.0,1240000000.0,557000000.0,3036000000.0
sh600272,开开实业,12.97,10.01%,29.36%,281000000.0,302000000.0,21079899.999999996,583000000.0
sz002229,鸿博股份,37.35,10.01%,9.75%,592000000.0,1186000000.0,594000000.0,1779000000.0
sz001324,长青科技,23.87,10.00%,25.23%,45191899.99999999,157000000.0,111000000.00000001,202000000.0
sz002786,银宝山新,7.59,10.00%,15.29%,160000000.0,407000000.0,247000000.00000003,567000000.0
