行业代码,行业名称,涨跌幅%,日期,北向资金今日新增持股个数,北向资金今日总持股个数,北向资金今日新增市值,北向资金今日新增市值增幅%,行业总市值,北向资金今日买入该行业占今日行业资金比,北向资金今日买入该行业占北向资金比,北向累计今日总买入市值,北向累计今日总买入市值占累计北向资金比,北向累计今日总持股市值占板块市值比,北向今日增持最大市值股代码,北向今日增持最大市值股名称,北向今日减持最大市值股代码,北向今日减持最大市值股名称,北向今日增持最大比例股名称,北向今日增持最大比例股代码,北向今日减持最大比例股代码,北向今日减持最大比例股名称,北向累计持股市值最大股代码
16014,互联网服务,0.88,2023-07-28 00:00:00,51,77,1588086005.3444,4.15997491,1373491790009.05,0.001156239897,0.0008162506479999999,41338943962.37,0.021247551895,0.030097700083,300059,东方财富,600446.0,金证股份,彩讯股份,300634,金证股份,600446.0,300059
16031,酿酒行业,1.0,2023-07-28 00:00:00,18,30,1290748070.8639,0.5011274,4822217584117.85,0.000267666908,0.000663423735,265819750462.62,0.136627073679,0.055123964406,600519,贵州茅台,600702.0,舍得酒业,重庆啤酒,600132,舍得酒业,600702.0,600519
16070,汽车整车,3.75,2023-07-28 00:00:00,15,19,1089467374.786,2.56236782,1819233179512.14,0.000598860766,0.000559968697,44786632264.94,0.023019608195999998,0.024618412179999997,2594,比亚迪,601127.0,赛力斯,北汽蓝谷,600733,海马汽车,572.0,2594
16074,电池,1.49,2023-07-28 00:00:00,31,38,1055392294.8319,0.76451857,1985412962947.05,0.0005315731859999999,0.000542454654,140545879059.27,0.072238319915,0.070789242179,300750,宁德时代,300450.0,先导智能,赢合科技,300457,雄韬股份,2733.0,300750
16029,银行,1.2,2023-07-28 00:00:00,30,42,944066869.4113,0.57572269,10226636958360.7,9.2314499e-05,0.000485235177,170387084458.99,0.087576219231,0.016661106203,601166,兴业银行,2142.0,宁波银行,苏农银行,603323,西安银行,600928.0,600036
16057,软件开发,0.5,2023-07-28 00:00:00,60,93,877774603.4416,1.54547137,1827263654020.79,0.000480376546,0.000451162019,59904161632.13,0.030789774991,0.032783534823,300033,同花顺,600588.0,用友网络,同花顺,300033,财富趋势,688318.0,600570
16017,房地产开发,2.94,2023-07-28 00:00:00,38,58,598387534.4447,2.88861982,1268013701945.86,0.00047190936,0.000307561562,22119265413.42,0.011368946438999999,0.017444027126,2,万科A,600048.0,保利发展,中南建设,961,金科股份,656.0,2
16072,光伏设备,0.45,2023-07-28 00:00:00,33,43,589031091.9215,0.7030309,1716478099720.72,0.00034316260299999997,0.000302752501,85672816198.76,0.044034448722,0.049911977445,601012,隆基绿能,688599.0,天合光能,隆基绿能,601012,帝科股份,300842.0,601012
16033,钢铁行业,0.37,2023-07-28 00:00:00,33,38,581584318.2868,3.1165644,909965372278.04,0.000639127967,0.00029892498,19652978246.55,0.010101314527,0.021597501229,932,华菱钢铁,600507.0,方大特钢,常宝股份,2478,方大特钢,600507.0,600019
16078,消费电子,0.42,2023-07-28 00:00:00,31,48,486473759.9367,1.05022186,1443113328462.96,0.000337100178,0.000250039683,46771575628.51,0.024039837139,0.032410188934,688036,传音控股,21.0,深科技,中石科技,300684,漫步者,2351.0,2475
