,BOARD_CODE,BOARD_NAME,INDEX_CHANGE_RATIO,TRADE_DATE,COMPOSITION_QUANTITY_ADD,COMPOSITION_QUANTITY,ADD_MARKET_CAP,ADD_RATIO,BOARD_VALUE,ADD_BOARD_RATIO,ADD_HK_RATIO,HK_VALUE,BOARD_HK_RATIO,HK_BOARD_RATIO,MAXADD_SECURITY_CODE,MAXADD_SECUCODE,MAXADD_SECURITY_NAME,MINADD_SECURITY_CODE,MINADD_SECUCODE,MINADD_SECURITY_NAME,MAXADD_RATIO_SECURITY_NAME,MAXADD_RATIO_SECURITY_CODE,MAXADD_RATIO_SECUCODE,MINADD_RATIO_SECURITY_NAME,MINADD_RATIO_SECURITY_CODE,MINADD_RATIO_SECUCODE,IS_NEW,SECURITY_CODE,MAXHOLD_MARKETCAP_NAME,MAXHOLD_MARKETCAP_SECURITYCODE,MAXHOLD_MARKETCAP_SECUCODE
10,16008,交运设备,0.04,2023-06-27 00:00:00,15,18,211777783.3947,2.00026919,480445679924.19,0.000440794438,0.000110535581,11096417498.2,0.005791679094,0.023096091737,601766,601766.SH,中国中车,300351.0,300351.SZ,永贵电器,钱江摩托,913,000913.SZ,永贵电器,300351.0,300351.SZ,0,BK0429,601766.SH,601766,601766.SH
11,16029,银行,0.1,2023-06-27 00:00:00,28,42,191671136.5558,0.11874274,9979412293673.98,1.9206656e-05,0.000100041091,163089176438.85,0.085122984407,0.016342563233,601288,601288.SH,农业银行,600036.0,600036.SH,招商银行,江阴银行,2807,002807.SZ,苏农银行,603323.0,603323.SH,0,BK0475,600036.SH,600036,600036.SH
12,16011,煤炭行业,3.19,2023-06-27 00:00:00,19,28,178568020.5757,0.73215452,1456982565738.54,0.000122560163,9.3202033e-05,24986038498.1,0.013041246586,0.017149167798,601225,601225.SH,陕西煤业,601088.0,601088.SH,中国神华,平煤股份,601666,601666.SH,盘江股份,600395.0,600395.SH,0,BK0437,601088.SH,601088,601088.SH
13,16043,通用设备,0.7000000000000001,2023-06-27 00:00:00,43,64,176741604.9998,1.43156888,655319144389.15,0.0002697031,9.2248751e-05,12692356297.83,0.006624665541,0.019368206173,300024,300024.SZ,机器人,2639.0,002639.SZ,雪人股份,五洲新春,603667,603667.SH,雪人股份,2639.0,002639.SZ,0,BK0545,002747.SZ,2747,002747.SZ
14,16071,电机,1.18,2023-06-27 00:00:00,7,10,167329579.5599,6.60775256,153487234301.34,0.001090185645,8.7336226e-05,2689737844.96,0.001403885393,0.017524179501,603728,603728.SH,鸣志电器,3021.0,003021.SZ,兆威机电,八方股份,603489,603489.SH,兆威机电,3021.0,003021.SZ,0,BK1030,603489.SH,603489,603489.SH
15,16041,化学制品,-0.17,2023-06-27 00:00:00,59,70,150168151.5391,0.34087246,1155969160779.82,0.000129906711,7.8378967e-05,44442413672.97,0.02319633325,0.038446020170999996,688639,688639.SH,华恒生物,600309.0,600309.SH,万华化学,宁科生物,600165,600165.SH,天奈科技,688116.0,688116.SH,0,BK0538,600309.SH,600309,600309.SH
16,16033,钢铁行业,0.28,2023-06-27 00:00:00,31,38,141707821.3108,0.89494385,834943708061.11,0.00016972140699999998,7.3963171e-05,16290598625.34,0.008502736988,0.019511014297,629,000629.SZ,钒钛股份,600019.0,600019.SH,宝钢股份,八一钢铁,600581,600581.SH,常宝股份,2478.0,002478.SZ,0,BK0479,600019.SH,600019,600019.SH
17,16058,多元金融,0.05,2023-06-27 00:00:00,17,17,139967294.6389,5.3571965,348684068269.26,0.000401415801,7.3054718e-05,2808683802.05,0.001465968207,0.008055096454,617,000617.SZ,中油资本,,,,陕国投A,563,000563.SZ,,,,0,BK0738,002423.SZ,2423,002423.SZ
18,16056,通信服务,-1.18,2023-06-27 00:00:00,8,12,139632218.4141,1.6035099700000002,2863956262866.94,4.8755011e-05,7.2879828e-05,9127963166.13,0.004764261389,0.00318718665,600050,600050.SH,中国联通,2929.0,002929.SZ,润建股份,二六三,2467,002467.SZ,润建股份,2929.0,002929.SZ,0,BK0736,600050.SH,600050,600050.SH
19,16064,采掘行业,0.5700000000000001,2023-06-27 00:00:00,11,11,129714472.738,2.25829208,251092483486.75,0.000516600381,6.7703347e-05,5998222976.62,0.003130720579,0.023888500736,600339,600339.SH,中油工程,,,,中油工程,600339,600339.SH,,,,0,BK1017,600583.SH,600583,600583.SH
20,16004,水泥建材,-0.14,2023-06-27 00:00:00,18,18,128777988.337,2.0944638,388630917131.68,0.00033136320999999997,6.7214557e-05,6460659434.17,0.003372085287,0.016624151989,600477,600477.SH,杭萧钢构,,,,杭萧钢构,600477,600477.SH,,,,0,BK0424,600585.SH,600585,600585.SH
21,16016,航运港口,0.67,2023-06-27 00:00:00,26,27,118959319.0476,1.08339029,836726644445.11,0.000142172261,6.2089787e-05,11234447196.06,0.005863722501,0.013426663618999999,600026,600026.SH,中远海能,601919.0,601919.SH,中远海控,厦门港务,905,000905.SZ,中远海控,601919.0,601919.SH,0,BK0450,601919.SH,601919,601919.SH
22,16051,化肥行业,-0.31,2023-06-27 00:00:00,16,19,110020526.6898,2.25666632,329722933687.16,0.000333675688,5.7424262e-05,5048962396.61,0.002635262233,0.015312742551,600096,600096.SH,云天化,792.0,000792.SZ,盐湖股份,云天化,600096,600096.SH,盐湖股份,792.0,000792.SZ,0,BK0731,000792.SZ,792,000792.SZ
23,16059,工程机械,0.58,2023-06-27 00:00:00,12,19,96562416.6941,0.28727386,542842470231.87,0.000177882944,5.0399918e-05,33997303275.92,0.017744598261,0.062628304048,157,000157.SZ,中联重科,680.0,000680.SZ,山推股份,诺力股份,603611,603611.SH,山推股份,680.0,000680.SZ,0,BK0739,600031.SH,600031,600031.SH
24,16048,环保行业,0.43,2023-06-27 00:00:00,30,31,96468341.5127,2.69866435,302875340990.74,0.000318508404,5.0350815999999996e-05,3701890530.2,0.001932169729,0.012222489022,2266,002266.SZ,浙富控股,300055.0,300055.SZ,万邦达,启迪环境,826,000826.SZ,万邦达,300055.0,300055.SZ,0,BK0728,603279.SH,603279,603279.SH
25,16010,纺织服装,-0.39,2023-06-27 00:00:00,20,24,93669129.9476,2.39542616,301520601249.03,0.000310655821,4.8889792e-05,4131221715.49,0.0021562554259999997,0.013701291713999999,2154,002154.SZ,报喜鸟,300979.0,300979.SZ,华利集团,报喜鸟,2154,002154.SZ,遥望科技,2291.0,002291.SZ,0,BK0436,002563.SZ,2563,002563.SZ
26,16021,仪器仪表,-0.2,2023-06-27 00:00:00,12,19,87904621.0935,5.51147017,207131537884.53,0.000424390327,4.5881055999999996e-05,1681657425.31,0.000877726542,0.00811878984,603662,603662.SH,柯力传感,2819.0,002819.SZ,东方中科,柯力传感,603662,603662.SH,容知日新,688768.0,688768.SH,0,BK0458,300567.SZ,300567,300567.SZ
27,16050,农药兽药,0.17,2023-06-27 00:00:00,17,21,86880541.9607,3.00148503,229173876662.34,0.000379103165,4.5346547e-05,3033762444.48,0.001583446056,0.013237819636,2215,002215.SZ,诺普信,301035.0,301035.SZ,润丰股份,诺普信,2215,002215.SZ,润丰股份,301035.0,301035.SZ,0,BK0730,600486.SH,600486,600486.SH
28,16065,橡胶制品,0.18,2023-06-27 00:00:00,11,14,84189334.253,2.60300652,200973275467.78,0.000418908106,4.3941895e-05,3394525757.84,0.001771743346,0.016890433566,601966,601966.SH,玲珑轮胎,601058.0,601058.SH,赛轮轮胎,震安科技,300767,300767.SZ,彤程新材,603650.0,603650.SH,0,BK1018,601966.SH,601966,601966.SH
