行业代码,行业名称,涨跌幅%,日期,北向资金今日新增持股个数,北向资金今日总持股个数,北向资金今日新增市值,北向资金今日新增市值增幅%,行业总市值,北向资金今日买入该行业占今日行业资金比,北向资金今日买入该行业占北向资金比,北向累计今日总买入市值,北向累计今日总买入市值占累计北向资金比,北向累计今日总持股市值占板块市值比,北向今日增持最大市值股代码,北向今日增持最大市值股名称,北向今日减持最大市值股代码,北向今日减持最大市值股名称,北向今日增持最大比例股名称,北向今日增持最大比例股代码,北向今日减持最大比例股代码,北向今日减持最大比例股名称,北向累计持股市值最大股代码
16027,证券,-1.03,2023-08-11 00:00:00,41,48,2467269380.0934,3.6181123299999998,3110474928768.55,0.000793213074,0.001276741789,67837988329.97,0.035104231134,0.021809527446,601688.0,华泰证券,2926,华西证券,国元证券,728.0,华西证券,2926,600030
16047,医疗服务,-0.55,2023-08-11 00:00:00,7,29,218855862.7437,0.51056272,879942292855.9,0.000248716154,0.00011325169,42545210386.65,0.022015937321,0.048350000599,603259.0,药明康德,300015,爱尔眼科,药明康德,603259.0,诺泰生物,688076,603259
16028,保险,-0.99,2023-08-11 00:00:00,4,6,177636694.6914,0.33970613,2613323785910.79,6.7973473e-05,9.1921941e-05,50491576113.09,0.026127955764,0.019320826751,601336.0,新华保险,601318,中国平安,天茂集团,627.0,中国平安,601318,601318
16081,中药,0.53,2023-08-11 00:00:00,25,42,162658302.4604,0.61745127,940602849781.64,0.000172929842,8.4171049e-05,26376654148.13,0.013649168946999999,0.028042286024,538.0,云南白药,600566,济川药业,亚宝药业,600351.0,精华制药,2349,538
16058,多元金融,-1.33,2023-08-11 00:00:00,12,17,91929906.0571,2.09189669,373391216621.43,0.000246202647,4.7571114e-05,4367960485.64,0.002260295422,0.011698080435,987.0,越秀资本,617,中油资本,爱建集团,600643.0,经纬纺机,666,600705
16044,玻璃玻纤,0.11,2023-08-11 00:00:00,5,14,65936763.3538,0.24002017,369981851729.02,0.00017821620999999998,3.4120401e-05,27069775849.72,0.014007839731,0.073165145056,600660.0,福耀玻璃,601636,旗滨集团,金刚光伏,300093.0,金晶科技,600586,600660
16068,小金属,-0.36,2023-08-11 00:00:00,11,29,51622942.5079,0.33953993,617718590408.83,8.3570324e-05,2.6713406e-05,14926737685.5,0.007724162563,0.024164300569,2428.0,云南锗业,2738,中矿资源,云南锗业,2428.0,中矿资源,2738,603993
16018,塑料制品,0.08,2023-08-11 00:00:00,5,21,47643251.6233,1.15402229,194018309160.66,0.000245560596,2.4654029e-05,4149190315.81,0.002147088076,0.02138556064,300487.0,蓝晓科技,600143,金发科技,蓝晓科技,300487.0,国恩股份,2768,300487
16024,化学制药,0.28,2023-08-11 00:00:00,58,94,33283530.7902,0.09873408,1448844995085.41,2.2972458e-05,1.7223281e-05,33372523166.63,0.017269332355,0.023033880974,603456.0,九洲药业,600276,恒瑞医药,振东制药,300158.0,翰宇药业,300199,600276
16059,工程机械,0.26,2023-08-11 00:00:00,5,19,2312644.8494,0.00660091,537426877006.95,4.30318e-06,1.196728e-06,33981843819.48,0.017584638476999998,0.063230637084,425.0,徐工机械,600031,三一重工,柳工,528.0,大连重工,2204,600031
16045,装修装饰,0.86,2023-08-11 00:00:00,3,6,-477109.3867,-0.07302319,47422769329.64,-1.0060766e-05,-2.46891e-07,640343238.96,0.000331359429,0.013502864720999999,2081.0,金螳螂,2047,宝鹰股份,金螳螂,2081.0,宝鹰股份,2047,2081
16060,教育,1.58,2023-08-11 00:00:00,1,3,-3758466.9793,-1.2104559,38098173326.7,-9.8652157e-05,-1.9449000000000002e-06,302366209.04,0.000156465921,0.007936501481,600880.0,博瑞传播,2607,中公教育,博瑞传播,600880.0,传智教育,3032,2607
16043,通用设备,0.68,2023-08-11 00:00:00,26,66,-9658531.889,-0.08922407,625817765627.76,-1.5433458e-05,-4.998016e-06,10573082696.04,0.005471269828,0.0168948267,811.0,冰轮环境,300083,创世纪,汇洲智能,2122.0,东睦股份,600114,2747
16071,电机,0.67,2023-08-11 00:00:00,2,10,-14595824.6405,-0.61267744,139669804657.37,-0.000104502363,-7.552924e-06,2312582848.64,0.001196695905,0.016557500415,603728.0,鸣志电器,600416,湘电股份,鸣志电器,603728.0,佳电股份,922,603489
16080,电子化学品,-0.48,2023-08-11 00:00:00,6,16,-16463518.5896,-0.68429571,160246506620.33,-0.00010273870499999999,-8.519403e-06,2335083708.53,0.001208339461,0.014571822861,300576.0,容大感光,300481,濮阳惠成,容大感光,300576.0,濮阳惠成,300481,300054
16063,汽车服务,0.48,2023-08-11 00:00:00,4,7,-17899671.0414,-3.17500104,79156817848.59,-0.00022612923999999998,-9.262570999999999e-06,531081372.64,0.000274819518,0.006709230955,300825.0,阿尔特,600297,广汇汽车,阿尔特,300825.0,广汇汽车,600297,300825
16053,包装材料,0.55,2023-08-11 00:00:00,2,10,-18990045.7957,-2.24869149,70650400599.3,-0.000268788933,-9.826809e-06,807674119.25,0.000417948404,0.01143198216,2014.0,永新股份,2191,劲嘉股份,永新股份,2014.0,东风股份,601515,2701
16054,珠宝首饰,0.31,2023-08-11 00:00:00,2,7,-20761686.26,-0.9237529,128118439082.04,-0.000162050728,-1.0743583e-05,2199313299.08,0.001138082132,0.017166251125,605599.0,菜百股份,600916,中国黄金,菜百股份,605599.0,中国黄金,600916,600655
16036,商业百货,0.96,2023-08-11 00:00:00,11,31,-21483795.4122,-0.5217322600000001,363739569960.06,-5.9063674e-05,-1.1117254e-05,4020363495.91,0.002080423858,0.011052862618999999,601933.0,永辉超市,600415,小商品城,永辉超市,601933.0,步步高,2251,600415
16050,农药兽药,-0.17,2023-08-11 00:00:00,3,22,-29386556.3343,-0.87523476,241719101911.78,-0.000121573165,-1.5206708e-05,3278367545.24,0.00169646204,0.013562716059,600486.0,扬农化工,2250,联化科技,扬农化工,600486.0,联化科技,2250,600486
16006,公用事业,0.27,2023-08-11 00:00:00,1,9,-29459312.8536,-1.97596493,119509568691.26,-0.000246501708,-1.5244357e-05,1433283651.55,0.000741683558,0.011993045136,605011.0,杭州热电,600008,首创环保,杭州热电,605011.0,江南水务,601199,598
16046,工程咨询服务,0.05,2023-08-11 00:00:00,2,9,-30347816.7812,-2.85071841,64694974220.89,-0.000469090793,-1.5704133e-05,1018957464.01,0.000527281531,0.015750179613,3013.0,地铁设计,603959,百利科技,地铁设计,3013.0,百利科技,603959,603357
16021,仪器仪表,0.49,2023-08-11 00:00:00,4,18,-34579290.5564,-2.80196893,158317867133.96,-0.000218416855,-1.78938e-05,1176663849.01,0.000608890103,0.007432287147,688768.0,容知日新,301303,真兰仪表,容知日新,688768.0,真兰仪表,301303,601222
16010,纺织服装,1.0,2023-08-11 00:00:00,6,23,-34666293.1866,-0.7267032999999999,302695688676.83,-0.000114525229,-1.7938822e-05,4688302547.92,0.002426063336,0.015488501235,300979.0,华利集团,2291,遥望科技,报喜鸟,2154.0,遥望科技,2291,2563
16084,专业服务,0.09,2023-08-11 00:00:00,4,11,-40053473.2041,-0.74874367,127546468980.61,-0.000314030436,-2.0726534e-05,5191669635.96,0.002686541499,0.040704142400000004,300887.0,谱尼测试,300012,华测检测,谱尼测试,300887.0,华测检测,300012,300012
16001,航空机场,-0.37,2023-08-11 00:00:00,3,13,-40103252.3958,-0.20659812,791117368359.46,-5.0691912e-05,-2.0752293e-05,19079594658.43,0.009873148029999999,0.024117274404,600009.0,上海机场,600115,中国东航,上海机场,600009.0,华夏航空,2928,600009
16086,房地产服务,-2.23,2023-08-11 00:00:00,2,7,-41256323.8384,-4.95279312,65987542109.6,-0.000625213829,-2.1348975e-05,786313047.63,0.000406894657,0.011916083285999999,600658.0,电子城,2146,荣盛发展,电子城,600658.0,荣盛发展,2146,2285
16013,家用轻工,0.77,2023-08-11 00:00:00,0,9,-42816765.401,-1.25923368,107390675767.61,-0.000398700959,-2.2156458999999998e-05,3298539362.25,0.001706900382,0.030715323641,,,603899,晨光股份,,,浙江永强,2489,603899
16055,计算机设备,0.97,2023-08-11 00:00:00,5,21,-46886667.1183,-0.48092329,782970592479.95,-5.988305e-05,-2.4262518e-05,9403713589.64,0.004866154547,0.012010302405,603019.0,中科曙光,300551,古鳌科技,中科曙光,603019.0,古鳌科技,300551,2415
16042,综合行业,-0.03,2023-08-11 00:00:00,0,9,-49998175.2602,-3.26205532,113907714424.17,-0.000438935813,-2.5872635e-05,1456952618.12,0.000753931576,0.012790640435999999,,,9,中国宝安,,,泰达股份,652,9
16030,装修建材,0.12,2023-08-11 00:00:00,6,23,-53343833.0409,-0.16557613000000002,444401567256.02,-0.00012003520499999999,-2.7603918e-05,31386410848.18,0.016241575672,0.070626237981,786.0,北新建材,603737,三棵树,蒙娜丽莎,2918.0,万里石,2785,2271
16025,造纸印刷,0.65,2023-08-11 00:00:00,3,15,-57657858.2957,-1.79187886,176167620737.34,-0.00032728976,-2.9836303e-05,3088521054.96,0.001598221876,0.017531718042,603429.0,集友股份,2229,鸿博股份,集友股份,603429.0,鸿博股份,2229,2831
16032,有色金属,-0.16,2023-08-11 00:00:00,14,49,-58426705.5265,-0.25485491,890455226379.89,-6.5614423e-05,-3.0234159999999996e-05,22400491432.26,0.011591617737,0.025156224332,601168.0,西部矿业,933,神火股份,西部矿业,601168.0,明泰铝业,601677,807
