行业代码,行业名称,涨跌幅%,日期,北向资金今日新增持股个数,北向资金今日总持股个数,北向资金今日新增市值,北向资金今日新增市值增幅%,行业总市值,北向资金今日买入该行业占今日行业资金比,北向资金今日买入该行业占北向资金比,北向累计今日总买入市值,北向累计今日总买入市值占累计北向资金比,北向累计今日总持股市值占板块市值比,北向今日增持最大市值股代码,北向今日增持最大市值股名称,北向今日减持最大市值股代码,北向今日减持最大市值股名称,北向今日增持最大比例股名称,北向今日增持最大比例股代码,北向今日减持最大比例股代码,北向今日减持最大比例股名称,北向累计持股市值最大股代码
16027,证券,-1.08,2023-07-26 00:00:00,47,48,1655960668.2297,3.04993298,2888641595167.57,0.000573266227,0.000860044451,56020969277.29,0.029095210229999998,0.019393534100000002,600030.0,中信证券,750,国海证券,西南证券,600369.0,国海证券,750,600030
16031,酿酒行业,0.9,2023-07-26 00:00:00,18,30,924815550.7656,0.36275547,4664939308466.77,0.000198248142,0.00048031484,255491120728.34,0.132692596457,0.054768369712,600519.0,贵州茅台,600702,舍得酒业,金种子酒,600199.0,舍得酒业,600702,600519
16015,通信设备,-0.91,2023-07-26 00:00:00,20,63,708683965.8465,2.694166,1164888999465.31,0.000608370382,0.00036806412399999997,26448181753.08,0.013736203037,0.022704465202,63.0,中兴通讯,2465,海格通信,新易盛,300502.0,上海瀚讯,300762,63
16074,电池,-0.77,2023-07-26 00:00:00,18,38,625591196.5863,0.46334465,1965509168400.17,0.000318284548,0.000324908826,135781477965.48,0.070519855291,0.06908208832,300750.0,宁德时代,300457,赢合科技,科达利,2850.0,赢合科技,300457,300750
16087,游戏,-0.97,2023-07-26 00:00:00,13,19,414239957.7572,2.06119534,366866754820.89,0.001129129179,0.000215140845,19882820699.39,0.010326398412,0.054196299987,2555.0,三七互娱,2624,完美世界,三七互娱,2555.0,完美世界,2624,2555
16082,医疗器械,-0.51,2023-07-26 00:00:00,54,73,356358848.7173,0.52024652,1348780828556.6,0.000264208121,0.000185079547,69445723917.49,0.036067529052,0.051487775069,300760.0,迈瑞医疗,300633,开立医疗,正海生物,300653.0,福瑞股份,300049,300760
16030,装修建材,-1.2,2023-07-26 00:00:00,15,23,242194674.0644,0.79833435,456294962752.81,0.000530785334,0.000125786916,30857320464.84,0.016026145881,0.067625818788,2271.0,东方雨虹,603833,欧派家居,志邦家居,603801.0,蒙娜丽莎,2918,2271
16005,工程建设,-1.01,2023-07-26 00:00:00,25,43,209940863.5185,0.661802,1574901345613.08,0.000133304136,0.000109035485,31866162378.77,0.016550100892,0.020233751446,601668.0,中国建筑,600970,中材国际,上海建工,600170.0,新疆交建,2941,601668
16009,农牧饲渔,-0.5700000000000001,2023-07-26 00:00:00,30,39,149153235.6888,0.78820775,877530028100.27,0.000169969381,7.7464649e-05,19192702463.97,0.009967976639,0.021871277164,2714.0,牧原股份,998,隆平高科,平潭发展,592.0,中宠股份,2891,2714
16041,化学制品,-0.97,2023-07-26 00:00:00,37,72,143398118.1064,0.30208775,1219947198969.3,0.000117544528,7.447565499999999e-05,47755710542.3,0.024802541902,0.039145719243,600309.0,万华化学,605589,圣泉集团,浙江龙盛,600352.0,信德新材,301349,600309
16085,生物制品,-0.29,2023-07-26 00:00:00,33,42,138238310.3371,1.00310833,1059807143042.81,0.000130437232,7.179584299999999e-05,14227742124.23,0.007389360689999999,0.013424840753,2007.0,华兰生物,300122,智飞生物,华兰生物,2007.0,舒泰神,300204,2007
16056,通信服务,-0.9400000000000001,2023-07-26 00:00:00,5,13,135407612.8508,1.11590439,2857752150468.77,4.738256e-05,7.032568399999999e-05,12073786741.8,0.0062706762849999995,0.004224924383,600941.0,中国移动,2467,二六三,梦网科技,2123.0,二六三,2467,600050
