行业代码,行业名称,涨跌幅%,日期,北向资金今日新增持股个数,北向资金今日总持股个数,北向资金今日新增市值,北向资金今日新增市值增幅%,行业总市值,北向资金今日买入该行业占今日行业资金比,北向资金今日买入该行业占北向资金比,北向累计今日总买入市值,北向累计今日总买入市值占累计北向资金比,北向累计今日总持股市值占板块市值比,北向今日增持最大市值股代码,北向今日增持最大市值股名称,北向今日减持最大市值股代码,北向今日减持最大市值股名称,北向今日增持最大比例股名称,北向今日增持最大比例股代码,北向今日减持最大比例股代码,北向今日减持最大比例股名称,北向累计持股市值最大股代码
16047,医疗服务,3.04,2023-08-08 00:00:00,10,29,-200703365.5511,-0.49278517,856804539927.92,-0.000234246384,-0.000102991283,40392755547.68,0.020727613235,0.047143489169,603882.0,金域医学,300015.0,爱尔眼科,诚达药业,301201.0,润达医疗,603108.0,603259
16005,工程建设,-0.46,2023-08-08 00:00:00,14,43,-220303035.2751,-0.65963518,1599302367343.1,-0.000137749459,-0.000113048888,33045767080.19,0.016957493239,0.020662613746,2941.0,新疆交建,601668.0,中国建筑,新疆交建,2941.0,中化岩土,2542.0,601668
16028,保险,-0.25,2023-08-08 00:00:00,0,6,-221302080.4869,-0.41807764000000003,2701219822236.54,-8.192672e-05,-0.00011356154999999999,52329720773.97,0.026853087842,0.019372625783,,,601318.0,中国平安,,,天茂集团,627.0,601318
16070,汽车整车,-0.53,2023-08-08 00:00:00,8,20,-224127561.3513,-0.48151213,1838010314480.98,-0.00012194031799999999,-0.000115011451,45791416257.48,0.023497945431,0.02491357959,625.0,长安汽车,2594.0,比亚迪,赛力斯,601127.0,中国重汽,951.0,2594
16035,汽车零部件,-1.45,2023-08-08 00:00:00,16,67,-238627258.8082,-0.77311068,1107238960505.24,-0.000215515591,-0.000122451996,30372923177.76,0.015585918709999999,0.027431226918,2472.0,双环传动,601689.0,拓普集团,双环传动,2472.0,信质集团,2664.0,338
16074,电池,-0.5700000000000001,2023-08-08 00:00:00,15,40,-251664979.6692,-0.16329013,2078005494477.45,-0.00012110890999999999,-0.000129142325,153702441791.1,0.078872677132,0.073966330792,688063.0,派能科技,300750.0,宁德时代,派能科技,688063.0,雄韬股份,2733.0,300750
16087,游戏,-3.26,2023-08-08 00:00:00,3,19,-316791791.6997,-1.59442934,384947309722.68,-0.0008229484499999999,-0.000162562263,19404627739.32,0.009957518701,0.050408529295,2602.0,世纪华通,2624.0,完美世界,盛天网络,300494.0,姚记科技,2605.0,2555
16077,半导体,-1.17,2023-08-08 00:00:00,32,90,-371164827.2544,-0.64425299,2664756441768.06,-0.00013928658599999998,-0.00019046388099999999,57070977017.33,0.029286071785,0.021416958084,688002.0,睿创微纳,2156.0,通富微电,国芯科技,688262.0,通富微电,2156.0,603501
16078,消费电子,-1.54,2023-08-08 00:00:00,14,48,-491116825.0737,-0.99723662,1521006483989.32,-0.00032288936999999996,-0.000252017459,48564914185.13,0.024921170749,0.03192945901,600745.0,闻泰科技,2475.0,立讯精密,精研科技,300709.0,立讯精密,2475.0,2475
16082,医疗器械,1.6600000000000001,2023-08-08 00:00:00,44,73,-560853935.2569,-0.9295758900000001,1236988987657.81,-0.000453402529,-0.000287803179,60126194382.23,0.030853861926,0.048606895439,600529.0,山东药玻,300760.0,迈瑞医疗,迪瑞医疗,300396.0,迈瑞医疗,300760.0,300760
16031,酿酒行业,-0.44,2023-08-08 00:00:00,11,30,-622896982.1192,-0.23270935,4764572103751.5,-0.00013073513599999999,-0.000319640677,267175610523.12,0.137101632354,0.056075467997,600519.0,贵州茅台,858.0,五粮液,古越龙山,600059.0,老白干酒,600559.0,600519
16072,光伏设备,-0.67,2023-08-08 00:00:00,12,43,-1108960922.5337,-1.29971881,1693008927478.41,-0.0006550236709999999,-0.000569065239,83820371859.43,0.043012570586,0.049509704585,688556.0,高测股份,601012.0,隆基绿能,高测股份,688556.0,隆基绿能,601012.0,601012
16029,银行,0.15,2023-08-08 00:00:00,22,42,-1123026605.306,-0.66984219,10000583562230.0,-0.000112296107,-0.000576283069,165638187616.69,0.084997526001,0.016562852216,600919.0,江苏银行,600036.0,招商银行,张家港行,2839.0,招商银行,600036.0,600036
