行业代码,行业名称,涨跌幅%,日期,北向资金今日新增持股个数,北向资金今日总持股个数,北向资金今日新增市值,北向资金今日新增市值增幅%,行业总市值,北向资金今日买入该行业占今日行业资金比,北向资金今日买入该行业占北向资金比,北向累计今日总买入市值,北向累计今日总买入市值占累计北向资金比,北向累计今日总持股市值占板块市值比,北向今日增持最大市值股代码,北向今日增持最大市值股名称,北向今日减持最大市值股代码,北向今日减持最大市值股名称,北向今日增持最大比例股名称,北向今日增持最大比例股代码,北向今日减持最大比例股代码,北向今日减持最大比例股名称,北向累计持股市值最大股代码
16015,通信设备,0.74,2023-08-25 00:00:00,34,63,809132330.4721,3.60714069,1010650032689.43,0.000800605852,0.000430175022,22066692527.47,0.011731752133,0.021834158031,300308,中际旭创,603118,共进股份,新易盛,300502,共进股份,603118,63
16057,软件开发,-0.39,2023-08-25 00:00:00,50,94,761286136.2147,1.36304862,1693275171114.36,0.000449593869,0.000404737604,54704845708.73,0.029083818951,0.032307120923,2230,科大讯飞,300803,指南针,万兴科技,300624,南天信息,948,600570
16029,银行,1.58,2023-08-25 00:00:00,38,42,582267178.1106,0.39025923,9828550518190.72,5.9242426e-05,0.000309562215,151152470633.49,0.08036017711,0.015378917811999999,601166,兴业银行,2142,宁波银行,紫金银行,601860,宁波银行,2142,600036
16077,半导体,-0.07,2023-08-25 00:00:00,53,91,525353066.3361,1.01658804,2390976410379.57,0.000219723233,0.00027930383999999996,51285522585.62,0.027265936579999997,0.021449614627,2049,紫光国微,600584,长电科技,紫光国微,2049,华峰测控,688200,603501
16007,电力行业,0.47000000000000003,2023-08-25 00:00:00,54,65,517379458.8464,0.90995655,2631084620461.43,0.000196641132,0.000275064673,58211073124.37,0.03094790397,0.022124363721,600900,长江电力,600011,华能国际,宝新能源,690,协鑫能科,2015,600900
16055,计算机设备,0.9,2023-08-25 00:00:00,12,21,300421480.5352,3.48173365,722550354275.82,0.0004157793,0.000159719013,8527305187.37,0.0045335398899999995,0.011801676017,34,神州数码,300130,新国都,神州数码,34,新国都,300130,2415
16048,环保行业,2.06,2023-08-25 00:00:00,24,32,190505700.4875,4.9366512,316953250750.82,0.000601052995,0.00010128231299999999,4008889858.71,0.002131325394,0.012648205529,300355,蒙草生态,603279,景津装备,蒙草生态,300355,景津装备,603279,603279
16058,多元金融,2.55,2023-08-25 00:00:00,14,17,92328909.9539,2.13317225,346671146405.53,0.000266329952,4.9086644e-05,4412534705.39,0.002345923086,0.012728301017,600390,五矿资本,2961,瑞达期货,渤海租赁,415,瑞达期货,2961,415
16006,公用事业,0.54,2023-08-25 00:00:00,8,9,88384996.054,6.09818976,121050115613.96,0.000730152099,4.6989863e-05,1571015061.38,0.000835229805,0.012978220246999999,685,中山公用,600461,洪城环境,中山公用,685,洪城环境,600461,600008
16004,水泥建材,2.23,2023-08-25 00:00:00,14,18,83746015.1953,1.46053075,397101898470.83,0.00021089301099999998,4.452355e-05,5871736831.54,0.00312170757,0.014786473835,600585,海螺水泥,600425,青松建化,塔牌集团,2233,青松建化,600425,600585
16016,航运港口,1.3900000000000001,2023-08-25 00:00:00,20,27,82631665.4221,0.70666231,811546530549.02,0.000101819997,4.3931106e-05,11724653423.38,0.0062334093629999995,0.014447296589999999,600026,中远海能,601919,中远海控,海航科技,600751,中远海特,600428,601919
16002,铁路公路,1.07,2023-08-25 00:00:00,14,19,68864198.8717,2.84089493,304715519972.7,0.000225995049,3.6611636e-05,2511036718.61,0.001334992108,0.008240593451999999,600269,赣粤高速,885,城发环境,赣粤高速,600269,城发环境,885,1965
16020,电网设备,0.84,2023-08-25 00:00:00,28,61,67332219.8698,0.12382546,880299872754.58,7.6487822e-05,3.579716e-05,54069015502.48,0.028745779965,0.06142113293,300360,炬华科技,601567,三星医疗,炬华科技,300360,海兴电力,603556,600406
16033,钢铁行业,1.71,2023-08-25 00:00:00,25,38,44656580.046,0.23412726,843310694830.36,5.2953888e-05,2.3741661e-05,19243490105.5,0.010230797198,0.022818980268,709,河钢股份,600010,包钢股份,广大特材,688186,常宝股份,2478,600019
16023,石油行业,1.62,2023-08-25 00:00:00,7,9,42758175.1934,0.19499675,3165296792214.33,1.3508425e-05,2.2732373999999998e-05,22035682405.59,0.011715265609,0.0069616481019999996,600938,中国海油,600028,中国石化,新潮能源,600777,中国石化,600028,600028
16026,化纤行业,1.29,2023-08-25 00:00:00,8,17,40193874.4803,0.4571555,522335627753.51,7.6950283e-05,2.1369064e-05,8833533308.18,0.004696346002,0.016911604032,603225,新凤鸣,301,东方盛虹,新凤鸣,603225,泰和新材,2254,2493
