行业代码,行业名称,涨跌幅%,日期,北向资金今日新增持股个数,北向资金今日总持股个数,北向资金今日新增市值,北向资金今日新增市值增幅%,行业总市值,北向资金今日买入该行业占今日行业资金比,北向资金今日买入该行业占北向资金比,北向累计今日总买入市值,北向累计今日总买入市值占累计北向资金比,北向累计今日总持股市值占板块市值比,北向今日增持最大市值股代码,北向今日增持最大市值股名称,北向今日减持最大市值股代码,北向今日减持最大市值股名称,北向今日增持最大比例股名称,北向今日增持最大比例股代码,北向今日减持最大比例股代码,北向今日减持最大比例股名称,北向累计持股市值最大股代码
16020,电网设备,0.67,2023-06-29 00:00:00,46,59,227913531.9608,0.4058023,948701934713.84,0.000240237237,0.000119686995,56941921337.25,0.029902601227999998,0.060020876161,601877,正泰电器,2028,思源电气,智光电气,2169,中熔电气,301031,600406
16079,光学光电子,2.16,2023-06-29 00:00:00,36,46,207681455.1164,0.970777,754763386607.57,0.00027516100899999997,0.000109062279,21584744911.6122,0.01133505868,0.028598028594,100,TCL科技,725,京东方A,莱宝高科,2106,联特科技,301205,725
16068,小金属,1.21,2023-06-29 00:00:00,21,29,207425241.2815,1.45134336,610993892394.25,0.00033948824,0.000108927731,14560194551.34,0.007646171419,0.023830343859,300748,金力永磁,603993,洛阳钼业,金力永磁,300748,云南锗业,2428,603993
16043,通用设备,0.78,2023-06-29 00:00:00,45,64,196081330.6686,1.5484484200000002,670159371771.79,0.000292589105,0.000102970565,13067996332.97,0.0068625552849999995,0.019499833746,2444,巨星科技,688017,绿的谐波,震裕科技,300953,绿的谐波,688017,2747
16008,交运设备,0.24,2023-06-29 00:00:00,16,18,160726920.7549,1.44667145,484854116009.37,0.000331495424,8.4404476e-05,11393283483.54,0.00598309303,0.023498374268,601766,中国中车,603529,爱玛科技,春风动力,603129,爱玛科技,603529,601766
16082,医疗器械,0.53,2023-06-29 00:00:00,45,73,140692148.9656,0.20126444000000002,1341219036422.22,0.000104898712,7.3883373e-05,69964141163.5,0.036741117340999996,0.052164590021,300760,迈瑞医疗,300406,九强生物,福瑞股份,300049,九强生物,300406,300760
16034,航天航空,1.78,2023-06-29 00:00:00,16,22,131381434.7057,2.5069542,674167274801.53,0.000194879579,6.8993925e-05,5396842273.78,0.002834109187,0.008005197634999999,600893,航发动力,688239,航宇科技,新余国科,300722,航宇科技,688239,600893
16009,农牧饲渔,1.27,2023-06-29 00:00:00,26,39,107742960.0647,0.588283,847867412643.35,0.000127075246,5.6580366e-05,18403804885.33,0.009664613094,0.021705993898,300498,温氏股份,2714,牧原股份,新五丰,600975,天邦食品,2124,2714
16075,电源设备,1.28,2023-06-29 00:00:00,11,15,97378297.2687,1.48089997,304442295190.48,0.000319857979,5.1137445e-05,6701538944.41,0.003519260361,0.022012509596,300593,新雷能,300693,盛弘股份,新雷能,300593,盛弘股份,300693,2851
16081,中药,1.15,2023-06-29 00:00:00,25,43,90668306.1682,0.35018178,1003895648278.56,9.031646499999999e-05,4.7613746e-05,26512467405.81,0.013922813312,0.026409584952,423,东阿阿胶,600436,片仔癀,东阿阿胶,423,九芝堂,989,600436
16049,船舶制造,-0.13,2023-06-29 00:00:00,5,9,84139047.3679,2.27462868,407198105965.35,0.00020662926999999998,4.4184957999999996e-05,3797866784.54,0.001994419811,0.009326828217,600150,中国船舶,600072,中船科技,亚星锚链,601890,天海防务,300008,600150
16056,通信服务,0.47000000000000003,2023-06-29 00:00:00,10,12,80064935.0325,0.90909418,2838627989610.8,2.8205505e-05,4.204547e-05,8910273013.22,0.004679159651,0.003138936502,600941,中国移动,2093,国脉科技,润建股份,2929,国脉科技,2093,600050
16007,电力行业,-0.6000000000000001,2023-06-29 00:00:00,33,64,79512919.5275,0.13180852,2796224755797.41,2.8435811e-05,4.1755583e-05,59666539980.3,0.031333413236,0.021338248957,539,粤电力A,600900,长江电力,豫能控股,1896,三峡水利,600116,600900
16021,仪器仪表,1.01,2023-06-29 00:00:00,13,19,79153355.1595,4.86726578,211736327871.96,0.000373829829,4.1566760999999996e-05,1738380523.4,0.000912896832,0.008210119354,300567,精测电子,603662,柯力传感,禾川科技,688320,柯力传感,603662,300567
16077,半导体,1.23,2023-06-29 00:00:00,53,88,74139002.4942415,0.13217435,2640212339376.64,2.8080697e-05,3.8933513e-05,56187285972.89,0.029506310414,0.021281351176,600584,长电科技,603986,兆易创新,赛微电子,300456,通富微电,2156,603501
16018,塑料制品,1.99,2023-06-29 00:00:00,16,21,70727918.5473,1.87296958,194522050816.17,0.00036359846199999997,3.7142208999999996e-05,3828712835.26,0.002010618371,0.019682667436,2324,普利特,603181,皇马科技,普利特,2324,皇马科技,603181,300487
16084,专业服务,0.62,2023-06-29 00:00:00,10,12,69778424.9216,1.25307133,142790109194.79,0.00048867828,3.6643589999999995e-05,5633019206.88,0.002958135642,0.039449645628,2057,中钢天源,300012,华测检测,中钢天源,2057,阿拉丁,688179,300012
16010,纺织服装,2.2800000000000002,2023-06-29 00:00:00,18,24,62036145.6497,1.4769198700000001,300537394653.55,0.000206417393,3.2577793e-05,4269485721.89,0.002242086779,0.014206171338,2154,报喜鸟,300979,华利集团,报喜鸟,2154,康隆达,603665,2563
16048,环保行业,1.17,2023-06-29 00:00:00,21,31,56303362.2789,1.51227313,303909056725.49,0.000185263851,2.9567267e-05,3779186596.52,0.001984610057,0.012435254932,603279,景津装备,2717,岭南股份,华宏科技,2645,岭南股份,2717,603279
16085,生物制品,0.79,2023-06-29 00:00:00,25,41,49208450.7185,0.35360343,983848357220.64,5.0016296e-05,2.584143e-05,14011382607.73,0.007357967152,0.014241404689,2007,华兰生物,300601,康泰生物,万泽股份,534,康泰生物,300601,2007
16047,医疗服务,1.04,2023-06-29 00:00:00,14,29,42406982.7024,0.1139669,825817968874.72,5.1351489e-05,2.2269693e-05,36728424035.8,0.019287642424,0.044475205699,300759,康龙化成,600763,通策医疗,康龙化成,300759,润达医疗,603108,603259
16069,燃气,0.16,2023-06-29 00:00:00,12,16,42140516.3034,0.8968910800000001,237267776370.3,0.000177607414,2.212976e-05,4643526897.07,0.002438511554,0.019570828235,300435,中泰股份,603393,新天然气,中泰股份,300435,新天然气,603393,600803
16033,钢铁行业,1.18,2023-06-29 00:00:00,12,38,39684371.7698,0.24400936,832148734829.3,4.7689037e-05,2.0839935e-05,16205035022.73,0.008509946429,0.019473724281,600295,鄂尔多斯,600019,宝钢股份,鄂尔多斯,600295,八一钢铁,600581,600019
16065,橡胶制品,1.62,2023-06-29 00:00:00,12,14,35929337.7757,1.03922028,201181888597.23,0.000178591314,1.8868009e-05,3485390242.75,0.001830325217,0.017324572639,601966,玲珑轮胎,601058,赛轮轮胎,贵州轮胎,589,赛轮轮胎,601058,601966
