股票简称,1日净买入率总和,1日最新价涨跌幅,1日净买入率/涨跌幅
固高科技,6.7%,0.0%,inf
盛邦安全,5.09%,0.0%,inf
翔腾新材,5.05%,0.0%,inf
康力源,4.89%,0.0%,inf
开创电气,4.58%,0.0%,inf
宝丽迪,3.9%,0.0%,inf
彩蝶实业,3.72%,0.0%,inf
天元宠物,3.56%,0.0%,inf
辉丰股份,3.36%,0.0%,inf
通达创智,3.16%,0.0%,inf
常青科技,3.08%,0.0%,inf
大湖股份,3.06%,0.0%,inf
荣盛发展,2.91%,0.0%,inf
戎美股份,2.84%,0.0%,inf
嘉曼服饰,2.8%,0.0%,inf
中央商场,2.73%,0.0%,inf
太平洋,2.73%,0.0%,inf
*ST越博,2.62%,0.0%,inf
南王科技,2.54%,0.0%,inf
普莱得,2.46%,0.0%,inf
恒工精密,2.4%,0.0%,inf
华通线缆,2.33%,0.0%,inf
达嘉维康,2.28%,0.0%,inf
恒银科技,2.08%,0.0%,inf
亿田智能,2.02%,0.0%,inf
科净源,1.99%,0.0%,inf
南矿集团,1.98%,0.0%,inf
信达证券,1.78%,0.0%,inf
扬州金泉,1.69%,0.0%,inf
云中马,1.69%,0.0%,inf
玉马遮阳,1.62%,0.0%,inf
威士顿,1.62%,0.0%,inf
乐心医疗,1.57%,0.0%,inf
人民网,1.56%,0.0%,inf
威力传动,1.55%,0.0%,inf
中农联合,1.53%,0.0%,inf
浙江震元,1.49%,0.0%,inf
华是科技,1.49%,0.0%,inf
炜冈科技,1.48%,0.0%,inf
朗坤环境,1.45%,0.0%,inf
恒尚节能,1.44%,0.0%,inf
中超控股,1.42%,0.0%,inf
汇隆新材,1.42%,0.0%,inf
首创证券,1.36%,0.0%,inf
天力锂能,1.34%,0.0%,inf
川宁生物,1.33%,0.0%,inf
赛维时代,1.31%,0.0%,inf
合富中国,1.27%,0.0%,inf
华康医疗,1.26%,0.0%,inf
特一药业,1.21%,0.0%,inf
大理药业,1.21%,0.0%,inf
满坤科技,1.2%,0.0%,inf
名雕股份,1.19%,0.0%,inf
亨迪药业,1.17%,0.0%,inf
百利电气,1.15%,0.0%,inf
亚华电子,1.14%,0.0%,inf
*ST吉药,1.1%,0.0%,inf
中重科技,1.1%,0.0%,inf
新莱福,1.09%,0.0%,inf
御银股份,1.03%,0.0%,inf
聚杰微纤,1.01%,0.0%,inf
