微博id,微博内容,微博发布时间
N5YUs8ym4,本周只有三个交易日，目前量已经有逐步恢复的态势，如果这三天能继续保持在万亿级别，那么博弈一点也没啥问题，反正每次节假都是要博弈一下的。外事方面，双方外长会已经出了通稿，都说得很清楚，建议看原文。关键还是看美方能否回到上一次巴厘岛会晤的既定方向上来。总理上任以来第一次出访，参加中...全文 ,2023-06-19 08:17
N5Jfu7atU,高速增长期，就好像一群猴子到了蟠桃园，没有猴子会关心谁吃的桃子大，谁吃的桃子多。即使是一个猴子抢了另一个猴子的桃子，被抢的最多也就是瞪一眼，继续摘别的去，互相折腾耽误事，桃子有的是。中速增长，就好比从蟠桃园回到了花果山，一年下来，只有那么些桃子，堆在山洞当间。谁先拿谁后拿，谁拿...全文 ,2023-06-17 16:24
N5GOE5vGw,乐观主义，未来会是越来越稀缺的品质。如果你遇到一个乐观主义者，请不要着急定义他是个傻逼。往往可能是因为他看到了比你悲观预期还悲观的可能，转而回头支持一些看起来不甚理想的解决方案，并乐见其成。鲁迅的说法是：真的勇士敢于直面惨淡的人生，而不溺死在众人的悲观里。  ,2023-06-17 10:13
N5zhVaWS5,这周还行，五个交易日都没亏钱，就是做得很累。希望再辛苦一两周，市场能进入一个轻松点的阶段。周末愉快  ,2023-06-16 15:03
N5x2MvNbS,"转发理由:对AI和机器人的关联性判断，在盘面反馈是对的。但配的票没有配到市场最兴奋的点。有点类似当年，市场狂炒N型电池时，去看了钙钛矿。还是需要修正到市场均值预期上。  
原始用户: 唐史主任司马迁
转发内容: 最近市场炒了不少科技概念的东西，其实这些东西也不是全虚头巴脑，而是会组成下一个技术生态。比如说单看脑机接口没啥意思，但脑机接口如果+MR，那么现在的面部表情识别和眼球追踪等人体追踪，就会被脑机强赋能，因为脑机高出一个纬度。当脑机+MR后，甚至手势识别都不用了，看官可能觉得这个科幻，实...全文 ",2023-06-16 09:20
N5wyKD6M7,昨天盘面还是持续过万亿，这是一个好迹象，只要量稳定在万亿之上，市场就至少可以容纳三个主要板块的轮动。从轮动的角度看，昨天主要是新能源拉升，并且导致了部分AI股的回调，汽车整体还是呈现良性趋势。这种切换是市场面向二季报，对确定性的内生需求导致的，和AI本身没啥关系。从既往经验看，即使是...全文 ,2023-06-16 08:06
N5owxqQnz,"转发理由:本来不想转发的，看到这个评论，忍不住了//@向愚XY:在疫情期间制作基于马克马洪线地图的海报，并因此被英国大使馆关注  
原始用户: 韬闻
转发内容: 绝顶高手，不服不行  原图 ",2023-06-15 11:39
N5ow1cd3b,想赚快钱，有想赚大钱，也有想赚又大又快的钱，小作文的大计算器里才有。你赚盈利，他嘎本金，皆大欢喜。  ,2023-06-15 11:38
N5okyvsP9,K型复苏--优势产业率先复苏--全面复苏这三段分，目前看是有效的，可以预判盘面运动方向。  ,2023-06-15 11:09
N5oan5SDk,赛道和AI已经不冲突一周了，不要用老观点看。首先买AI的人，好多也是赛道出来的，临近中报，回归自己的持仓很正常，相比一季报，股价更低，业绩更好，确定性更高。此外，中美关系唯一没有掀桌子的便是在新能源--气候上的合作，交易缓和，也会反馈在这一方向。AI还在疯狗浪，但能疯多久不知道。利好...全文 ,2023-06-15 10:44
N5nolFODE,从现在向后的一年，是很重要的转折时间。我们一定要去看一个变化，就是房子这个居民储蓄的主要投向，预期被打破了。从房子永远涨，到一线永远涨，到核心豪宅不会跌，现在已经到了“人有多大胆，价有多大砍”。且不说上海，北京豪宅市场被砍掉2000-3000万价格空间的有的是。这种预期的扭转，是在低利...全文 ,2023-06-15 08:46
N5nfz8LUk,联储昨晚说了一大堆，意思是我们6月不加，不代表后面不加。说后面要加，也不代表一定加，还是老规矩，一期一期讨论过去。这通话反馈在掉期利率上，当前显示是今年还会加。真的说预期管理，没有比联储做得更好的了，老奸巨猾，长袖善舞。最近出来的很多数据，大家比较关心的是进出口这种。昨天出来了...全文 ,2023-06-15 08:24
N5h4X2HSh,接了电信诈骗电话，和诈骗人员好好讲了一番道理，将来AI会取代他们，男怕入错行，诈骗人员也表示认同。聊久了点，民警就打电话来了，我一再表示不会被骗，他一再担心我会被骗。然后我只能说，我是炒股的，A股每天加班加点发明诈骗小作文，也没能把我骗了。要不来管管小作文吧！民警表示，这事他们管...全文 ,2023-06-14 16:42
N5g80jqcu,涨了三天，又有大IPO，所以博弈一下很正常，不用到处找原因。关键是，自己持仓的核心筹码，能见度好的，别被震走了。  ,2023-06-14 14:16
N5dQG5XzK,晚间AMD发布了MI300X，可运行800亿参数模型，其HBM密度最高是英伟达AI芯片H100的2.4倍，其HBM带宽最高是H100的1.6倍。股价反馈上，AMD收跌，NV收涨且重新站上一万亿。议息方面符合市场预期，后续是否会继续加，美股多头大多表示谨慎。从衰退的角度来看，由于美国经济中的服务业占比较大，所以反馈衰退...全文 ,2023-06-14 08:28
N55qW43CT,盘面轮动比较快，赚钱效应也还行。就看量能否继续配合了。  ,2023-06-13 11:03
N54Y5oSQs,"转发理由:充换电昨天市场没反馈，今天有效修正  
原始用户: 唐史主任司马迁
转发内容: 明早有点事情，先码一下。今天成交量有所恢复，过了9500亿，市场交投活跃，汽车、新能源这种传统赛道和AI呈现了良性上涨，不再跟以前似的抽血。从市场的整体预期来看，交易复苏线，已经逐步成为了共识。之前咱们也聊过，交易复苏先是交易K型复苏，然后才交易优势行业率先转好，最后才可能基于前面二...全文 ",2023-06-13 09:52
N54MNFgCZ,央行今日进行20亿元7天期逆回购操作，中标利率为1.90%，此前为2.00%。  ,2023-06-13 09:24
N54yZCQNd,"转发理由:外盘涨得很好，尊重市场很大程度上便是尊重流动性这个基本要素。  
原始用户: 唐史主任司马迁
转发内容: 明早有点事情，先码一下。今天成交量有所恢复，过了9500亿，市场交投活跃，汽车、新能源这种传统赛道和AI呈现了良性上涨，不再跟以前似的抽血。从市场的整体预期来看，交易复苏线，已经逐步成为了共识。之前咱们也聊过，交易复苏先是交易K型复苏，然后才交易优势行业率先转好，最后才可能基于前面二...全文 ",2023-06-13 08:50
N4ZTQok5m,明早有点事情，先码一下。今天成交量有所恢复，过了9500亿，市场交投活跃，汽车、新能源这种传统赛道和AI呈现了良性上涨，不再跟以前似的抽血。从市场的整体预期来看，交易复苏线，已经逐步成为了共识。之前咱们也聊过，交易复苏先是交易K型复苏，然后才交易优势行业率先转好，最后才可能基于前面二...全文 ,2023-06-12 20:58
N4VTqvEkj,"转发理由:早上也说了，全城全域放开FSD概率不大，其实真看汽车的，都知道这个传闻概率不大。但盘面还是涨，那说明人心思涨。更多看德国方向吧，跟踪下来有催化，但我不方便讨论。  
原始用户: 唐史主任司马迁
转发内容: 本周有13家IPO，募集1400+亿。大块头的先正达、华电新能、华虹半导体陆续上来，堪称这几年IPO的高潮。按照以往的惯例，市场对这种集中发行，持负面态度。但抽血结束后，市场会进入修复期。从资金消耗的角度看，一般不怎么炒，触发绿鞋的，消耗活跃资金少一些。但热炒导致顶部放量被套的，对市场影响较...全文 ",2023-06-12 10:46
N4VFF6KbE,汽车今天还行，延续了周五的走法。今年整车除了T系和客车外，利润被压制是肯定的。所以走备货逻辑和智能化逻辑，是正确的。这个行业比半导体还白，研究过度了，跟着数据转正走趋势的概率大。但不排除一些细分逻辑被游资做妖股，比如之前的汽车外贸。  ,2023-06-12 10:12
N4UYIcFRp,本周有13家IPO，募集1400+亿。大块头的先正达、华电新能、华虹半导体陆续上来，堪称这几年IPO的高潮。按照以往的惯例，市场对这种集中发行，持负面态度。但抽血结束后，市场会进入修复期。从资金消耗的角度看，一般不怎么炒，触发绿鞋的，消耗活跃资金少一些。但热炒导致顶部放量被套的，对市场影响较...全文 ,2023-06-12 08:26
N4GyZbu52,"转发理由:转发微博  
原始用户: 中国政府网
转发内容: 【李强在辽宁调研时强调 大力优化营商环境 增强发展动力活力 推动东北全面振兴取得新突破】李强在辽宁调研时强调：大力优化营商环境 增强发展动力活力 推动东北全面振兴取得新突破  原图 ",2023-06-10 19:44
N4DgWgfQf,分享图片  [组图共3张] 原图 ,2023-06-10 11:21
N4vhko8Ux,周末愉快  ,2023-06-09 15:00
N4tybF22x,最近市场炒了不少科技概念的东西，其实这些东西也不是全虚头巴脑，而是会组成下一个技术生态。比如说单看脑机接口没啥意思，但脑机接口如果+MR，那么现在的面部表情识别和眼球追踪等人体追踪，就会被脑机强赋能，因为脑机高出一个纬度。当脑机+MR后，甚至手势识别都不用了，看官可能觉得这个科幻，实...全文 ,2023-06-09 10:36
N4sofhm8M,今天早上有点事情要办，就不码字了。创板已经三年新低了，沪深300继续下探，也基本到之前极度恐慌的位置。再跌会跌出机会了，配置方向选好票等进入区间。至于短线交易，高位票得不到成交量支持，只能是抱团。一旦市场出现反转，抱团的资金反而会夺门而出。耐心+信心。  ,2023-06-09 07:39
N4kaBDplH,除了MR发布那个早上搞点空间计算这几天还行外，其他的都很卷，AI也开始卷。虽然这个时候应该保持耐心，但真的被卷得很烦。  ,2023-06-08 10:43
N4jfJkXMl,成交量又回到了八千亿附近，不管是什么板块，大票自然比较难以上涨。所以“股价自主可控”的小盘股再度为资金热捧。上个月，某报还写了一篇文章说不必过度关注成交量。是的，我们也不用过度关注自己的血量，水库也不必过度关注库容水位，开飞机都不用检查燃油表。曾几何时，我们3000个股票能有一万多亿...全文 ,2023-06-08 08:23
N4ctHjgx9,虽然当现金配的部分，今天遭受了不少冲击，但收盘净值还行。从配置角度看，6月前五个交易日还是可以的。虽然从博弈的角度，可能还要互相掐巴到月中或者下旬，但就净值来感受，调整接近尾声了。  ,2023-06-07 15:09
N4af41Vha,今天再跌，会尽一下多头义务。盘中看有啥砸过头的。  ,2023-06-07 09:27
N49ELzPMs,最近不少朋友反馈评论区的质量快速下降，这很正常，咱们这扎堆的人群，马上满十年了。大浪淘沙，该跑出来的，基本都过了30-50M的水线了，过了这个水线后，反馈会变成简明扼要的要点反馈。至于更好一些的，已然有微博以外的交集。也有人问我为啥每天都写点东西，甚至大佬们会教育我，写了别发微博，发群...全文 ,2023-06-07 07:58
N451WgJ4f,下午跌麻了，痛定思痛，复盘了一下持仓的盈亏根源，挺有意思的。自2017年开始统计，主仓迄今赚钱前五的票，持股都炒过300个交易日。当然，持股周期长，不是死拿不动，一般只要节奏看得准，都会根据行业和个股兑现点做做波段。主仓亏损最多的五个票，基本持股都在40-70个交易日。一个是基本面出问题，...全文 ,2023-06-06 20:11
N41mJcM8p,盘面走得很零散，量也不够，所以资金推小票的居多。看下午有啥能聚焦的东西吧。  ,2023-06-06 10:51
N40ee4pIi,Vision Pro发布了，从传统消电视角看，玩个游戏，看个电影以及部分办公功能都是满足的，符合预期。但产品发布的重点在空间计算，不算是配属的两个新票还是镜面像素，都支持后续开发出更强的，基于空间计算的应用。比如说我们现在医疗系统的内窥镜成像，是在屏幕显示的，如果使用空间计算，戴上眼镜就可...全文 ,2023-06-06 07:57
N3UWJyqlB,想把恋爱虚拟人训练好，需要喂杀猪盘的语料。  ,2023-06-05 18:31
N3TOuF7iM,警告⚠️护盾融化50%，启动紧急降温！警告⚠️启动紧急降温失败，距离最近的阴凉处约120米。警告❗️护盾完全融化，生命值降低10%，距离目的地95米。警告‼️生命值降低50%，距离目的地80米。警告⚠️⚠️⚠️三成熟，距离目的地60米。警告‼️‼️七成熟，距离目的地40米。任务失败，选择黑...全文 ,2023-06-05 15:38
N3S1VaQb6,今天科创板的指数ETF期权上线，看了一下，以588000为例，发行这么久后，总盘子其实挺大了，对应的ETF期权交投目前还有待提升。估计是产品的对应策略还没有调整。等对冲逐步到位后，应该会好些。有对冲工具，对于大资金来说，出入会顺畅些。这方面可以关注，等看后续有啥对应的生态变化。  原图 ,2023-06-05 11:05
N3RjECPgb,@猎聘APP 你们是有病吗？准点9:15给一个做交易的人打电话套信息，不怕在工信部投诉是吗？  ,2023-06-05 09:16
