wid,weibo_link,content,img_urls,origin_img_urls,is_origin,location,publish_time,publish_tool,like_num,forward_num,comment_num
N6k1Grb3J,https://weibo.cn/comment/N6k1Grb3J?uid=7751678845&rl=0#cmtfrm,"转发理由:而10亿至15亿总市值之间的有73家。  
原始用户: 广西小wu
转发内容: 截止目前两市总市值低于10亿的上市公司公司有20家，是清一色的ST类股。  ",无,,False,无,2023-06-21 14:02,微博网页版,3172,6,46
N6iNkD26T,https://weibo.cn/comment/N6iNkD26T?uid=7751678845&rl=0#cmtfrm,密集的新股发行节奏，使得市场缺乏信心。  ,,无,True,无,2023-06-21 10:54,微博网页版,4817,8,138
N6iMgEUjM,https://weibo.cn/comment/N6iMgEUjM?uid=7751678845&rl=0#cmtfrm,CPO板块疯狂过后，不排除市场资金会挖掘一些，技术面造好的滞涨品种。  ,,无,True,无,2023-06-21 10:51,微博网页版,4450,6,78
N6iJY19ro,https://weibo.cn/comment/N6iJY19ro?uid=7751678845&rl=0#cmtfrm,某特从上市后的低点37.11元，借CPO风口今天冲到了295元，累计涨幅达6.94倍；与该板块最牛的某桥累计上涨8倍不相上下。整体看自3月份以来，确实是CPO板块最牛。如此疯狂的背后，使得我们越看越不懂。  ,,无,True,无,2023-06-21 10:46,微博网页版,4311,9,96
N6iE5En3r,https://weibo.cn/comment/N6iE5En3r?uid=7751678845&rl=0#cmtfrm,"转发理由:说得很清楚：科技类股将由分化变成调整...........收到请回复666   
原始用户: 广西小wu
转发内容: 按短线技术面看，今天大盘指数参考3206--3256之间，科技类股将由分化变成调整，大家注意今天市场有没有新的热点接力，这是行情发展的关键.....收到请回复666  ",无,,False,无,2023-06-21 10:31,微博网页版,4332,8,435
N6iBisJCs,https://weibo.cn/comment/N6iBisJCs?uid=7751678845&rl=0#cmtfrm,指数试3216.2点后，中特估出现拉起，指数也出现反抽，大家注意看力度。今天区间是3206--3256之间，暂时不变，收到请回复666  ,,无,True,无,2023-06-21 10:24,微博网页版,4224,9,365
N6iAR1coh,https://weibo.cn/comment/N6iAR1coh?uid=7751678845&rl=0#cmtfrm,特斯拉自101.81美元反弹到217.65美元后，看回撤160/150区域是机会（实际试了152.38美元），之后看新一反击，目标是300方向（截止昨晚试了274.75美元）。按技术图看，走得很技术。  ,,无,True,无,2023-06-21 10:23,微博网页版,3452,12,67
N6ivTrTPb,https://weibo.cn/comment/N6ivTrTPb?uid=7751678845&rl=0#cmtfrm,"转发理由:截止目前看，暂时试了3216.20点。  
原始用户: 广西小wu
转发内容: 按短线技术面看，今天大盘指数参考3206--3256之间，科技类股将由分化变成调整，大家注意今天市场有没有新的热点接力，这是行情发展的关键.....收到请回复666  ",无,,False,无,2023-06-21 10:11,微博网页版,3449,5,139
N6iqPlsk1,https://weibo.cn/comment/N6iqPlsk1?uid=7751678845&rl=0#cmtfrm,"转发理由:截止目前看，暂时试了3224.50点。  
原始用户: 广西小wu
转发内容: 按短线技术面看，今天大盘指数参考3206--3256之间，科技类股将由分化变成调整，大家注意今天市场有没有新的热点接力，这是行情发展的关键.....收到请回复666  ",无,,False,无,2023-06-21 09:59,微博网页版,3726,2,165
N6hf4eYeg,https://weibo.cn/comment/N6hf4eYeg?uid=7751678845&rl=0#cmtfrm,"转发理由:特斯拉再创本轮新高，目前试了274.75美元。 //@广西小wu:今晚冲250美元，然后到300美元左右，完成三个小浪的反弹！//@广西小wu:特斯拉二次探底时回过152.37美元，昨晚已经到了235美元，按力度看应该会冲250至300方向！//@广西小wu:接下来，最好再回170/165美元区域。  
原始用户: 广西小wu
转发内容: 特斯拉砸到过101.81美元，符合前面一百美元附近的预期，反弹看150美元左右！猜猜而已，不一定每次都能对。  ",无,,False,无,2023-06-21 06:57,无,3025,6,85
N6h6dgOF5,https://weibo.cn/comment/N6h6dgOF5?uid=7751678845&rl=0#cmtfrm,"转发理由:第一次见，美丽！  
原始用户: 幽默状元
转发内容: 美丽的鸭兰花！  [组图共9张] 原图 ",无,http://ww3.sinaimg.cn/large/7ad0ea13ly1heqc84a6emj20u0190gt9.jpg http://ww1.sinaimg.cn/large/7ad0ea13ly1heqc84m5djj20u0190102.jpg http://ww1.sinaimg.cn/large/7ad0ea13ly1heqc8juta9j20ow11cwk7.jpg http://ww1.sinaimg.cn/large/7ad0ea13ly1hepzjqq8dij20qa0ym43v.jpg http://ww4.sinaimg.cn/large/7ad0ea13ly1heqc82k6wtj20jp0y9qkg.jpg http://ww3.sinaimg.cn/large/7ad0ea13ly1heqc83xfn2j20jw0yc4f2.jpg http://ww3.sinaimg.cn/large/7ad0ea13ly1heqc83kwc1j20jl0y3h36.jpg http://ww4.sinaimg.cn/large/7ad0ea13ly1heqc83c4lhj20jw0xydwd.jpg http://ww3.sinaimg.cn/large/7ad0ea13ly1heqc82udztj20jx0yidw6.jpg,False,无,2023-06-21 06:35,无,2544,80,181
N6h3WBpyw,https://weibo.cn/comment/N6h3WBpyw?uid=7751678845&rl=0#cmtfrm,"转发理由:小吃货！  
原始用户: 人民网
转发内容: 【萌！#小兔子吧唧吧唧吃荔枝#】哪个品种的荔枝好吃呀？ 人民网的微博视频  ",无,,False,无,2023-06-21 06:29,无,2506,25,157
N6e6AqbA0,https://weibo.cn/comment/N6e6AqbA0?uid=7751678845&rl=0#cmtfrm,铁1至金4，所有人……今晚点名了，所有在线的老铁点个赞……晚安，明天大A市场见！ 🙏 🙏🙏   ,,无,True,无,2023-06-20 22:58,无,3773,2,281
N6dQbBI3w,https://weibo.cn/comment/N6dQbBI3w?uid=7751678845&rl=0#cmtfrm,目前美国股市下跌！  ,,无,True,无,2023-06-20 22:17,无,3002,1,80
N6dJ31mCZ,https://weibo.cn/comment/N6dJ31mCZ?uid=7751678845&rl=0#cmtfrm,6月20日电，昆仑万维公告，股东李琼拟减持不超过3586.86万股，即不超过公司总股本的3%。同日公告，李琼同时为支持公司AGI和AIGC业务长期发展，将减持股份税后所得的50%以上金额出借给公司，借款利息为年利率2.5%。香港联交所资料显示，太平资产管理有限公司(下称“太平人资产”)于6月14日减持工商银...全文 ,,无,True,无,2023-06-20 22:00,无,2790,10,113
N6dIAi9cU,https://weibo.cn/comment/N6dIAi9cU?uid=7751678845&rl=0#cmtfrm,隆基绿能公告，拟以境内新增A股股票为基础证券在境外发行全球存托凭证并在瑞士证券交易所上市，本次发行GDR所代表的新增基础证券A股股票不超过本次发行前公司普通股总股本的8%。本次发行拟募集资金总额预计不超过199.96亿元。  ,,无,True,无,2023-06-20 21:59,无,2473,14,59
N6dvboUJo,https://weibo.cn/comment/N6dvboUJo?uid=7751678845&rl=0#cmtfrm,欧洲股市目前是迷路了，等它爹的脸色！  ,,无,True,无,2023-06-20 21:26,无,2593,0,53
N6dhGdV5a,https://weibo.cn/comment/N6dhGdV5a?uid=7751678845&rl=0#cmtfrm,转发微博已被删除,无,,False,无,2023-06-20 20:52,无,1437,1,11
N6bNwFbXe,https://weibo.cn/comment/N6bNwFbXe?uid=7751678845&rl=0#cmtfrm,今天北向资金净买入17.42亿元……洋葱有点积极！  ,,无,True,无,2023-06-20 17:05,无,3644,7,93
N6bMmuQrf,https://weibo.cn/comment/N6bMmuQrf?uid=7751678845&rl=0#cmtfrm,印度股市创新高！  ,,无,True,无,2023-06-20 17:02,无,3276,7,157
N6bp9s51w,https://weibo.cn/comment/N6bp9s51w?uid=7751678845&rl=0#cmtfrm,"转发理由:收到请回复666  
原始用户: 广西小wu
转发内容: 今天大盘指数小幅度调整，盘中试了3237.79点，收在3240.36点；四大指数是2红2绿，盘中算力，芯片，CPO，软件等科技类股布局走强，整体分化。机器人概念，工业母机，国防军工等板块涨幅领先。按热点节奏看，科技类股的分化，明天会更加严重。指数方面观察3168和3180连线的支持，注意此条短线趋势线的得...全文 ",无,,False,无,2023-06-20 16:05,无,2808,4,280
N6b0ckMFN,https://weibo.cn/comment/N6b0ckMFN?uid=7751678845&rl=0#cmtfrm,今天大盘指数小幅度调整，盘中试了3237.79点，收在3240.36点；四大指数是2红2绿，盘中算力，芯片，CPO，软件等科技类股布局走强，整体分化。机器人概念，工业母机，国防军工等板块涨幅领先。按热点节奏看，科技类股的分化，明天会更加严重。指数方面观察3168和3180连线的支持，注意此条短线趋势线的得...全文 ,,无,True,无,2023-06-20 15:04,微博网页版,3941,18,440
N6aWUDsRG,https://weibo.cn/comment/N6aWUDsRG?uid=7751678845&rl=0#cmtfrm,尾盘几只CPO龙有进一步拉高，看看主力介入太深，出不来啊！  ,,无,True,无,2023-06-20 14:56,微博网页版,3856,4,122
