股票简称,10日净买入率总和,10日最新价涨跌幅,10日净买入率/涨跌幅
铭普光磁,3.05%,0.28%,10.775214285714243
伟测科技,2.25%,0.23%,9.78656250000021
金新农,1.17%,-0.14%,8.178300000000174
君逸数码,9.9%,1.42%,6.963000000000066
炬申股份,1.21%,0.19%,6.239566666666802
源飞宠物,5.34%,-1.27%,4.210590000000014
祖名股份,1.52%,0.37%,4.102311111111118
华软科技,1.03%,0.25%,4.058200000000086
步科股份,4.21%,1.26%,3.3482493827160407
梦网科技,3.48%,-1.12%,3.093333333333338
赛隆药业,1.23%,-0.62%,1.9855714285714208
浙江荣泰,12.0%,-6.7%,1.7908860759493688
天元股份,1.37%,-0.81%,1.694233333333303
双枪科技,1.5%,1.0%,1.4952272727272804
智翔金泰,2.44%,1.76%,1.3860156862745057
爱慕股份,1.07%,-0.82%,1.3054000000000274
宁波方正,7.2%,6.85%,1.050654028436019
数字认证,1.12%,1.13%,0.9904432432432311
新易盛,1.99%,2.01%,0.9882482142857102
经纬股份,4.32%,4.93%,0.8756233183856517
中科蓝讯,1.18%,-1.36%,0.8697221052631552
新华都,1.68%,1.94%,0.8651999999999991
中百集团,3.26%,3.79%,0.8596105263157878
荣旗科技,2.46%,2.86%,0.8589335999999997
四方新材,1.39%,1.74%,0.7969333333333347
弘业期货,13.02%,16.5%,0.7889237288135597
国联水产,2.1%,2.92%,0.7181999999999983
国泰集团,1.32%,-1.96%,0.6724666666666678
重庆银行,1.79%,2.71%,0.6606727272727253
瑞松科技,1.52%,-2.3%,0.6604507042253513
福莱新材,4.59%,-6.96%,0.6590229357798167
欧亚集团,2.58%,4.13%,0.6250415094339631
沃特股份,1.32%,2.17%,0.6088499999999967
源杰科技,5.96%,-10.4%,0.573176675369887
亚盛集团,1.37%,2.52%,0.5428624999999995
青云科技,1.25%,2.47%,0.5052752293578001
宁波建工,1.97%,4.14%,0.47575499999999965
古鳌科技,4.74%,10.12%,0.4683119999999999
辽港股份,1.46%,3.14%,0.4642800000000017
泰慕士,18.33%,39.67%,0.462035734870317
挖金客,2.48%,5.39%,0.4603630252100835
超捷股份,1.4%,-3.18%,0.4405977011494266
深城交,3.2%,7.29%,0.438750000000001
苏豪弘业,1.87%,4.31%,0.43414324324324205
弘业股份,1.87%,4.31%,0.43414324324324205
广百股份,1.27%,2.97%,0.42817142857142865
开开实业,1.11%,2.64%,0.42041249999999963
天迈科技,1.76%,-4.28%,0.4110117647058815
兰州黄河,1.23%,3.02%,0.407129999999999
海辰药业,1.54%,3.79%,0.40624137931034426
华旺科技,3.1%,7.66%,0.4048476821192049
建研院,1.83%,4.87%,0.37591249999999954
三力士,1.01%,2.83%,0.3563857142857151
西部黄金,2.32%,6.53%,0.3551384615384615
宝新能源,1.08%,3.06%,0.35315999999999964
普邦股份,1.22%,3.48%,0.3503142857142842
瑞康医药,1.39%,4.03%,0.3445214285714294
三只松鼠,1.29%,3.76%,0.34269868421052724
友阿股份,1.2%,3.51%,0.34199999999999964
软控股份,1.38%,4.3%,0.32073103448275864
神农集团,1.03%,3.25%,0.3169653333333333
三生国健,2.02%,6.4%,0.3158226086956526
申华控股,2.8%,8.9%,0.3145882352941174
金种子酒,1.38%,4.46%,0.3091663865546215
华铁应急,1.05%,3.41%,0.3080000000000001
华升股份,1.14%,3.75%,0.3037764705882354
宁波联合,1.12%,3.74%,0.29920000000000074
吉视传媒,1.71%,5.73%,0.29847272727272767
亚通股份,2.76%,9.32%,0.2960727272727274
南钢股份,2.07%,7.02%,0.2949749999999997
立达信,1.13%,3.85%,0.29320526315789464
百普赛斯,3.5%,11.94%,0.2931799163179916
好当家,1.39%,4.84%,0.2872666666666664
冠捷科技,1.4%,4.89%,0.28636363636363665
雪迪龙,2.33%,8.32%,0.2799477611940299
保力新,3.61%,13.04%,0.2767666666666667
方正科技,1.14%,4.14%,0.27512000000000014
天宸股份,1.33%,4.86%,0.27384918032786915
耐普矿机,1.58%,-5.9%,0.267933734939759
永泰能源,1.88%,7.04%,0.26695999999999975
北京人力,1.38%,5.18%,0.2665190839694659
海南椰岛,1.76%,6.76%,0.26048000000000004
华丽家族,2.66%,10.49%,0.2535866666666664
南山控股,3.21%,12.68%,0.2531522727272728
